L1,L1名,对比,a,b,每侧抽样n,AUC,零分布95分位,p,两侧可分(p<0.05)
QUOTE_LOOKUP,查询可报价品种实时行情与价格,界面·头部层,2026搜索,助手头部1k,400,0.704,0.542,0.01,True
QUOTE_LOOKUP,查询可报价品种实时行情与价格,界面·随机层,2026搜索随机1w,助手随机1k,79,0.66,0.601,0.02,True
QUOTE_LOOKUP,查询可报价品种实时行情与价格,深度·搜索内,2026搜索,2026搜索随机1w,400,0.769,0.544,0.01,True
QUOTE_LOOKUP,查询可报价品种实时行情与价格,深度·助手内,助手头部1k,助手随机1k,79,0.793,0.595,0.01,True
QUOTE_LOOKUP,查询可报价品种实时行情与价格,时间·头部层,2025搜索,2026搜索,400,0.496,0.543,0.545,False
QUOTE_LOOKUP,查询可报价品种实时行情与价格,时间·随机层,2025搜索随机1w,2026搜索随机1w,400,0.508,0.541,0.337,False
QUOTE_LOOKUP,查询可报价品种实时行情与价格,输入方式·头部层,助手头部1k,助手语音头部1k,400,0.662,0.545,0.01,True
PAGE_NAV,打开目标页面或获取官方应用入口,深度·搜索内,2026搜索,2026搜索随机1w,320,0.771,0.55,0.01,True
PAGE_NAV,打开目标页面或获取官方应用入口,时间·头部层,2025搜索,2026搜索,400,0.6,0.544,0.01,True
PAGE_NAV,打开目标页面或获取官方应用入口,时间·随机层,2025搜索随机1w,2026搜索随机1w,320,0.556,0.55,0.05,True
FX_CONVERT,查询汇率并换算外币金额,界面·头部层,2026搜索,助手头部1k,84,0.535,0.587,0.287,False
FX_CONVERT,查询汇率并换算外币金额,深度·搜索内,2026搜索,2026搜索随机1w,400,0.856,0.545,0.01,True
FX_CONVERT,查询汇率并换算外币金额,时间·头部层,2025搜索,2026搜索,400,0.502,0.537,0.485,False
FX_CONVERT,查询汇率并换算外币金额,时间·随机层,2025搜索随机1w,2026搜索随机1w,400,0.516,0.552,0.277,False
FX_CONVERT,查询汇率并换算外币金额,输入方式·头部层,助手头部1k,助手语音头部1k,74,0.696,0.615,0.01,True
