sid,_row,source,query,bu_leaf,td_l2,抽样权重,叶名
VER0000,111,2025search,同宇新材值得申购吗?,30,VERDICT_QUESTION__1,1.0,股票行情与选股建议查询
VER0001,193,2025search,今天港股休市吗,30,VERDICT_QUESTION__1,1.0,股票行情与选股建议查询
VER0002,425,2025search,港股今天休市吗,30,VERDICT_QUESTION__1,1.0,股票行情与选股建议查询
VER0003,837,2025search,众安保险可靠吗?能买吗?,18,VERDICT_QUESTION__1,1.0,查询保险相关业务
VER0004,1140,2025search,港股7月1号休市吗,30,VERDICT_QUESTION__1,1.0,股票行情与选股建议查询
VER0005,1896,2025search,车损险有必要买吗,19,VERDICT_QUESTION__1,1.0,车险购买与理赔咨询
VER0006,2374,2025search,银行卡到期了还能正常使用吗,48,VERDICT_QUESTION__2,1.0,银行卡业务查询与办理指导
VER0007,2445,2025search,银行卡过期后还能继续使用吗,48,VERDICT_QUESTION__2,1.0,银行卡业务查询与办理指导
VER0008,2513,2025search,汇正财经服务费能退吗,10,VERDICT_QUESTION__2,1.0,查询转账与账户业务可行性
VER0009,2553,2025search,拍拍贷正规合法的吗,15,VERDICT_QUESTION__2,1.0,查询借款平台正规性
VER0010,2572,2025search,花呗分期可以提前还款吗,9,VERDICT_QUESTION__2,1.0,贷款提前还款查询
VER0011,2793,2025search,余额宝存钱安全可靠吗,10,VERDICT_QUESTION__2,1.0,查询转账与账户业务可行性
VER0012,2856,2025search,申能财产保险是正规公司吗,17,VERDICT_QUESTION__1,1.0,查询保险公司信息
VER0013,3034,2025search,定期存款可以提前取吗,70,VERDICT_QUESTION__2,1.0,查询定期存款利率
VER0014,3160,2025search,汇正财经炒股帮可靠吗,10,VERDICT_QUESTION__1,1.0,查询转账与账户业务可行性
VER0015,3585,2025search,银行卡丢了可以补办原卡号吗,48,VERDICT_QUESTION__2,1.0,银行卡业务查询与办理指导
VER0016,3628,2025search,招商银行是国企还是私企,49,VERDICT_QUESTION__2,1.0,银行信息查询
VER0017,3669,2025search,收款码可以发给别人吗安全吗,10,VERDICT_QUESTION__2,1.0,查询转账与账户业务可行性
VER0018,3842,2025search,7月1号港股休市吗,30,VERDICT_QUESTION__1,1.0,股票行情与选股建议查询
VER0019,3870,2025search,支付宝余额宝有没有风险,44,VERDICT_QUESTION__1,1.0,支付宝相关操作查询
VER0020,3918,2025search,未成年可以办银行卡吗,48,VERDICT_QUESTION__2,1.0,银行卡业务查询与办理指导
