层级,类,类名,快照,n,子群,stratum_share,query,typicality_pct,length_pct,pv_raw
L1意图,QUOTE_LOOKUP,查询可报价品种实时行情与价格,2025搜索,5018,查询股票信息,0.3495,股票,1.0,0.002,16048.0
L1意图,QUOTE_LOOKUP,查询可报价品种实时行情与价格,2025搜索,5018,股票代码查询,0.1242,600281,0.442,0.526,474.0
L1意图,QUOTE_LOOKUP,查询可报价品种实时行情与价格,2025搜索,5018,查询股份公司及股票信息,0.0512,共进股份,0.643,0.075,957.0
L1意图,QUOTE_LOOKUP,查询可报价品种实时行情与价格,2025搜索,5018,查询黄金价格,0.045,黄金金价,0.103,0.075,2253.0
L1意图,QUOTE_LOOKUP,查询可报价品种实时行情与价格,2025搜索,5018,科技类股票信息查询,0.0444,晶科科技股票,0.871,0.526,164.0
L1意图,QUOTE_LOOKUP,查询可报价品种实时行情与价格,2025搜索,5018,查询300开头股票代码与行情,0.0397,300300,0.172,0.526,218.0
L1意图,QUOTE_LOOKUP,查询可报价品种实时行情与价格,2025搜索,5018,查询市场行情,0.0363,今日股市行情最新行情,0.429,0.945,211.0
L1意图,QUOTE_LOOKUP,查询可报价品种实时行情与价格,2025搜索,5018,实时行情查询,0.0333,金价实时行情,0.295,0.526,619.0
L1意图,PAGE_NAV,打开目标页面或获取官方应用入口,2025搜索,1381,证券股吧查询,0.5923,股吧,1.0,0.0,1968.0
L1意图,PAGE_NAV,打开目标页面或获取官方应用入口,2025搜索,1381,下载安装金融类App,0.1115,手机银行app下载安装官方免费下载,0.066,0.974,345.0
L1意图,PAGE_NAV,打开目标页面或获取官方应用入口,2025搜索,1381,查询财经门户与市场行情,0.0644,东方财富网官网首页,0.194,0.669,660.0
L1意图,PAGE_NAV,打开目标页面或获取官方应用入口,2025搜索,1381,查询股份股票及股吧信息,0.055,鸿博股份股吧,0.956,0.297,430.0
L1意图,FX_CONVERT,查询汇率并换算外币金额,2025搜索,985,查询人民币兑外币汇率,0.4518,人民币汇率兑美元,0.999,0.375,247.0
L1意图,FX_CONVERT,查询汇率并换算外币金额,2025搜索,985,货币兑换金额换算查询,0.3239,韩币1万等于多少人民币,0.643,0.744,365.0
L1意图,FX_CONVERT,查询汇率并换算外币金额,2025搜索,985,货币兑换查询,0.0985,人民币美币兑换,0.945,0.26,536.0
L1意图,RESOLVE_BARE_ENTITY,解析裸非可报价名称,2025搜索,725,查询财经门户与市场行情,0.2207,金融,0.939,0.051,797.0
L1意图,RESOLVE_BARE_ENTITY,解析裸非可报价名称,2025搜索,725,银行信息查询,0.1462,银行,0.999,0.051,855.0
L1意图,RESOLVE_BARE_ENTITY,解析裸非可报价名称,2025搜索,725,证券股票信息查询,0.0759,证券,0.926,0.051,550.0
L1意图,RESOLVE_BARE_ENTITY,解析裸非可报价名称,2025搜索,725,查询保险相关业务,0.0593,保险,0.808,0.051,849.0
L1意图,RESOLVE_BARE_ENTITY,解析裸非可报价名称,2025搜索,725,查询贷款信息,0.0469,贷款,0.597,0.051,1898.0
L1意图,RESOLVE_BARE_ENTITY,解析裸非可报价名称,2025搜索,725,查询保险公司信息,0.0441,保险公司,0.839,0.481,304.0
L1意图,RESOLVE_BARE_ENTITY,解析裸非可报价名称,2025搜索,725,人民币及货币信息查询,0.0386,派币,0.452,0.051,252.0
L1意图,RESOLVE_BARE_ENTITY,解析裸非可报价名称,2025搜索,725,农业银行及农村信用社服务信息查询,0.0372,农业银行,0.906,0.481,7829.0
L1意图,OTHER_INTENT,其他非金融意图或无明确意图,2025搜索,204,蚂蚁庄园今日答案查询,0.5637,蚂蚁庄园今日答案,0.968,0.314,32445.0
L1意图,OTHER_INTENT,其他非金融意图或无明确意图,2025搜索,204,查询财经门户与市场行情,0.0735,no钱包,0.373,0.096,461.0
L1意图,OTHER_INTENT,其他非金融意图或无明确意图,2025搜索,204,下载安装金融类App,0.0588,fil币怎么交易买卖.极速下载.中国,0.331,0.961,160.0
L1意图,OTHER_INTENT,其他非金融意图或无明确意图,2025搜索,204,人民币及货币信息查询,0.0294,第四套人民币图片,0.282,0.314,238.0
L1意图,OTHER_INTENT,其他非金融意图或无明确意图,2025搜索,204,车险购买与理赔咨询,0.0294,车损险,0.076,0.032,205.0
L1意图,OTHER_INTENT,其他非金融意图或无明确意图,2025搜索,204,查询价格与金额,0.0245,钱能钱包,0.395,0.096,538.0
L1意图,OTHER_INTENT,其他非金融意图或无明确意图,2025搜索,204,查询市场行情,0.0196,徐小明今日股市直播,0.424,0.466,155.0
L1意图,OTHER_INTENT,其他非金融意图或无明确意图,2025搜索,204,查询保险公司信息,0.0147,保险公司排行榜前十名,0.243,0.615,713.0
L1意图,CONTACT_BRANCH_LOOKUP,查询机构联系方式、网点信息及号码归属,2025搜索,576,银行客服电话查询,0.4236,工商银行客服电话24小时人工,0.987,0.853,203.0
L1意图,CONTACT_BRANCH_LOOKUP,查询机构联系方式、网点信息及号码归属,2025搜索,576,查询电话号码归属,0.191,95595是什么电话,0.404,0.499,223.0
L1意图,CONTACT_BRANCH_LOOKUP,查询机构联系方式、网点信息及号码归属,2025搜索,576,保险公司电话查询,0.1146,人保保险车险电话,0.294,0.257,10744.0
L1意图,CONTACT_BRANCH_LOOKUP,查询机构联系方式、网点信息及号码归属,2025搜索,576,银行信息查询,0.0885,工商银行几点上下班时间,0.128,0.605,279.0
L1意图,CONCEPT_EXPLAIN,解释金融术语与交易/业务规则,2025搜索,266,查询金融术语含义,0.4511,xd股票是什么意思?,0.998,0.637,279.0
L1意图,CONCEPT_EXPLAIN,解释金融术语与交易/业务规则,2025搜索,266,股票行情与选股建议查询,0.1278,港股交易时间和规则,0.329,0.485,552.0
L1意图,CONCEPT_EXPLAIN,解释金融术语与交易/业务规则,2025搜索,266,银行信息查询,0.0602,四大银行是哪几个,0.442,0.32,1099.0
L1意图,CONCEPT_EXPLAIN,解释金融术语与交易/业务规则,2025搜索,266,计算存贷款利息,0.0526,等本等息与等额本息的区别,0.385,0.852,161.0
L1意图,CONCEPT_EXPLAIN,解释金融术语与交易/业务规则,2025搜索,266,车险购买与理赔咨询,0.0489,车损险包括哪些内容,0.077,0.485,227.0
L1意图,CONCEPT_EXPLAIN,解释金融术语与交易/业务规则,2025搜索,266,股指行情查询,0.0263,上证指数!,0.216,0.026,206.0
L1意图,CONCEPT_EXPLAIN,解释金融术语与交易/业务规则,2025搜索,266,查询贷款信息,0.0226,贷款需要什么条件才可以贷款,0.4,0.908,162.0
L1意图,CONCEPT_EXPLAIN,解释金融术语与交易/业务规则,2025搜索,266,个人征信报告查询与影响咨询,0.0226,征信多久更新一次,0.051,0.32,269.0
L1意图,RATE_CALC,查询利率、费率、限额并试算利息/还款,2025搜索,233,利率查询与计算,0.3305,银行贷款利率2025最新利率,0.976,0.833,351.0
L1意图,RATE_CALC,查询利率、费率、限额并试算利息/还款,2025搜索,233,计算存贷款利息,0.1931,银行利息1万元一年多少利息,0.672,0.738,350.0
L1意图,RATE_CALC,查询利率、费率、限额并试算利息/还款,2025搜索,233,查询定期存款利率,0.0901,定期存款利率,0.659,0.099,552.0
