L1,L1名,对比,a,b,n_a,n_b,咨询/求建议_a%,咨询/求建议_b%,咨询/求建议_差pp,事件与进度_a%,事件与进度_b%,事件与进度_差pp,问原因_a%,问原因_b%,问原因_差pp,实体绑定_a%,实体绑定_b%,实体绑定_差pp,时效_a%,时效_b%,时效_差pp,是非核实_a%,是非核实_b%,是非核实_差pp,问句_a%,问句_b%,问句_差pp,第一人称_a%,第一人称_b%,第一人称_差pp
QUOTE_LOOKUP,查询可报价品种实时行情与价格,界面·头部层,2026搜索,助手头部1k,6282,456,0.2,3.3,"+3.1 [+1.8, +5.1]*",0.4,2.2,"+1.8 [+0.8, +3.6]*",0.0,0.0,"+0.0 [-0.1, +0.8]",74.4,48.5,"-25.9 [-30.6, -21.2]*",13.6,20.6,"+7.0 [+3.5, +11.1]*",0.0,0.0,"-0.0 [-0.1, +0.8]",2.8,6.6,"+3.8 [+1.8, +6.5]*",0.0,0.2,"+0.2 [-0.0, +1.2]"
QUOTE_LOOKUP,查询可报价品种实时行情与价格,界面·随机层,2026搜索随机1w,助手随机1k,1667,79,3.1,17.7,"+14.7 [+7.7, +24.5]*",4.6,2.5,"-2.1 [-4.2, +4.2]",0.0,0.0,"+0.0 [-0.2, +4.6]",55.7,32.9,"-22.8 [-32.5, -11.6]*",20.8,13.9,"-6.9 [-13.2, +2.6]",0.5,2.5,"+2.0 [+0.1, +8.2]*",11.2,34.2,"+23.0 [+13.4, +34.1]*",0.1,1.3,"+1.2 [+0.1, +6.8]*"
QUOTE_LOOKUP,查询可报价品种实时行情与价格,深度·搜索内,2026搜索,2026搜索随机1w,6282,1667,0.2,3.1,"+2.8 [+2.1, +3.8]*",0.4,4.6,"+4.3 [+3.3, +5.4]*",0.0,0.0,"+0.0 [-0.1, +0.2]",74.4,55.7,"-18.6 [-21.2, -16.0]*",13.6,20.8,"+7.2 [+5.2, +9.4]*",0.0,0.5,"+0.5 [+0.2, +1.0]*",2.8,11.2,"+8.4 [+6.9, +10.0]*",0.0,0.1,"+0.0 [-0.1, +0.3]"
QUOTE_LOOKUP,查询可报价品种实时行情与价格,深度·助手内,助手头部1k,助手随机1k,456,79,3.3,17.7,"+14.4 [+7.3, +24.4]*",2.2,2.5,"+0.3 [-2.2, +6.7]",0.0,0.0,"+0.0 [-0.8, +4.6]",48.5,32.9,"-15.6 [-26.0, -3.7]*",20.6,13.9,"-6.7 [-13.8, +3.2]",0.0,2.5,"+2.5 [+0.5, +8.8]*",6.6,34.2,"+27.6 [+17.7, +38.7]*",0.2,1.3,"+1.0 [-0.4, +6.6]"
QUOTE_LOOKUP,查询可报价品种实时行情与价格,时间·头部层,2025搜索,2026搜索,5018,6282,0.2,0.2,"+0.0 [-0.2, +0.2]",0.5,0.4,"-0.2 [-0.4, +0.1]",0.0,0.0,"+0.0 [-0.1, +0.1]",73.9,74.4,"+0.5 [-1.2, +2.1]",14.1,13.6,"-0.5 [-1.8, +0.8]",0.1,0.0,"-0.0 [-0.1, +0.1]",2.1,2.8,"+0.7 [+0.1, +1.2]*",0.0,0.0,"-0.0 [-0.1, +0.1]"
QUOTE_LOOKUP,查询可报价品种实时行情与价格,时间·随机层,2025搜索随机1w,2026搜索随机1w,1049,1667,3.1,3.1,"-0.1 [-1.5, +1.2]",4.4,4.6,"+0.2 [-1.4, +1.8]",0.1,0.0,"-0.1 [-0.5, +0.1]",53.7,55.7,"+2.1 [-1.8, +5.9]",17.3,20.8,"+3.6 [+0.5, +6.5]*",0.6,0.5,"-0.0 [-0.7, +0.5]",8.6,11.2,"+2.6 [+0.2, +4.8]*",0.4,0.1,"-0.3 [-0.9, +0.0]"
QUOTE_LOOKUP,查询可报价品种实时行情与价格,输入方式·头部层,助手头部1k,助手语音头部1k,456,700,3.3,0.1,"-3.1 [-5.2, -1.7]*",2.2,0.0,"-2.2 [-4.0, -1.1]*",0.0,0.0,"+0.0 [-0.8, +0.5]",48.5,68.4,"+20.0 [+14.2, +25.6]*",20.6,13.9,"-6.8 [-11.4, -2.3]*",0.0,0.0,"+0.0 [-0.8, +0.5]",6.6,6.0,"-0.6 [-3.6, +2.2]",0.2,0.0,"-0.2 [-1.2, +0.4]"
PAGE_NAV,打开目标页面或获取官方应用入口,深度·搜索内,2026搜索,2026搜索随机1w,1591,320,0.0,0.3,"+0.3 [-0.0, +1.7]",0.1,0.9,"+0.9 [+0.2, +2.7]*",0.0,0.0,"+0.0 [-0.2, +1.2]",92.2,66.6,"-25.6 [-31.1, -20.5]*",0.3,2.2,"+1.9 [+0.7, +4.2]*",0.0,0.3,"+0.3 [-0.0, +1.7]",0.1,5.6,"+5.6 [+3.5, +8.7]*",0.0,0.6,"+0.6 [+0.1, +2.2]*"
PAGE_NAV,打开目标页面或获取官方应用入口,时间·头部层,2025搜索,2026搜索,1381,1591,0.0,0.0,"+0.0 [-0.3, +0.2]",0.0,0.1,"+0.1 [-0.2, +0.4]",0.0,0.0,"+0.0 [-0.3, +0.2]",83.1,92.2,"+9.1 [+6.7, +11.5]*",0.7,0.3,"-0.5 [-1.1, +0.0]",0.0,0.0,"+0.0 [-0.3, +0.2]",0.4,0.1,"-0.4 [-0.9, +0.0]",0.1,0.0,"-0.1 [-0.4, +0.2]"
PAGE_NAV,打开目标页面或获取官方应用入口,时间·随机层,2025搜索随机1w,2026搜索随机1w,338,320,0.3,0.3,"+0.0 [-1.4, +1.5]",1.2,0.9,"-0.2 [-2.2, +1.7]",0.0,0.0,"+0.0 [-1.1, +1.2]",60.9,66.6,"+5.6 [-1.7, +12.9]",4.1,2.2,"-2.0 [-4.9, +0.8]",0.3,0.3,"+0.0 [-1.4, +1.5]",5.6,5.6,"+0.0 [-3.6, +3.7]",0.0,0.6,"+0.6 [-0.6, +2.2]"
FX_CONVERT,查询汇率并换算外币金额,界面·头部层,2026搜索,助手头部1k,717,84,0.0,0.0,"+0.0 [-0.5, +4.4]",0.0,0.0,"+0.0 [-0.5, +4.4]",0.0,0.0,"+0.0 [-0.5, +4.4]",0.7,0.0,"-0.7 [-1.6, +3.7]",6.0,0.0,"-6.0 [-8.0, -1.4]*",0.0,0.0,"+0.0 [-0.5, +4.4]",19.9,15.5,"-4.5 [-11.4, +5.2]",0.0,0.0,"+0.0 [-0.5, +4.4]"
FX_CONVERT,查询汇率并换算外币金额,深度·搜索内,2026搜索,2026搜索随机1w,717,627,0.0,0.3,"+0.3 [-0.3, +1.2]",0.0,0.5,"+0.5 [-0.1, +1.4]",0.0,0.3,"+0.3 [-0.3, +1.2]",0.7,6.1,"+5.4 [+3.5, +7.5]*",6.0,5.6,"-0.4 [-2.9, +2.2]",0.0,1.0,"+1.0 [+0.2, +2.1]*",19.9,59.6,"+39.7 [+34.7, +44.4]*",0.0,0.0,"+0.0 [-0.5, +0.6]"
FX_CONVERT,查询汇率并换算外币金额,时间·头部层,2025搜索,2026搜索,985,717,0.0,0.0,"+0.0 [-0.4, +0.5]",0.0,0.0,"+0.0 [-0.4, +0.5]",0.0,0.0,"+0.0 [-0.4, +0.5]",0.8,0.7,"-0.1 [-1.0, +0.9]",8.3,6.0,"-2.3 [-4.8, +0.2]",0.0,0.0,"+0.0 [-0.4, +0.5]",30.5,19.9,"-10.5 [-14.6, -6.4]*",0.0,0.0,"+0.0 [-0.4, +0.5]"
FX_CONVERT,查询汇率并换算外币金额,时间·随机层,2025搜索随机1w,2026搜索随机1w,584,627,0.9,0.3,"-0.5 [-1.7, +0.4]",0.3,0.5,"+0.1 [-0.8, +1.1]",0.2,0.3,"+0.1 [-0.7, +1.0]",6.8,6.1,"-0.8 [-3.6, +2.0]",5.0,5.6,"+0.6 [-2.0, +3.2]",1.5,1.0,"-0.6 [-2.0, +0.7]",62.7,59.6,"-3.0 [-8.5, +2.5]",0.0,0.0,"+0.0 [-0.7, +0.6]"
FX_CONVERT,查询汇率并换算外币金额,输入方式·头部层,助手头部1k,助手语音头部1k,84,74,0.0,0.0,"+0.0 [-4.4, +4.9]",0.0,0.0,"+0.0 [-4.4, +4.9]",0.0,0.0,"+0.0 [-4.4, +4.9]",0.0,1.4,"+1.4 [-3.2, +7.3]",0.0,5.4,"+5.4 [-0.1, +13.1]",0.0,0.0,"+0.0 [-4.4, +4.9]",15.5,20.3,"+4.8 [-7.1, +17.0]",0.0,0.0,"+0.0 [-4.4, +4.9]"
