L1,L1名,对比,a,b,方向,词,a中次数,b中次数,z
QUOTE_LOOKUP,查询可报价品种实时行情与价格,界面·头部层,2026搜索,助手头部1k,偏a,股票,3050,177,-7.77
QUOTE_LOOKUP,查询可报价品种实时行情与价格,界面·头部层,2026搜索,助手头部1k,偏a,股份,486,31,-2.22
QUOTE_LOOKUP,查询可报价品种实时行情与价格,界面·头部层,2026搜索,助手头部1k,偏b,的,35,13,5.84
QUOTE_LOOKUP,查询可报价品种实时行情与价格,界面·头部层,2026搜索,助手头部1k,偏b,三大,12,10,4.87
QUOTE_LOOKUP,查询可报价品种实时行情与价格,界面·头部层,2026搜索,助手头部1k,偏b,美国股市,14,10,4.68
QUOTE_LOOKUP,查询可报价品种实时行情与价格,界面·头部层,2026搜索,助手头部1k,偏b,预测,1,10,4.58
QUOTE_LOOKUP,查询可报价品种实时行情与价格,界面·头部层,2026搜索,助手头部1k,偏b,吗,2,0,4.56
QUOTE_LOOKUP,查询可报价品种实时行情与价格,界面·头部层,2026搜索,助手头部1k,偏b,走势,73,20,4.04
QUOTE_LOOKUP,查询可报价品种实时行情与价格,界面·头部层,2026搜索,助手头部1k,偏b,是,21,4,4.03
QUOTE_LOOKUP,查询可报价品种实时行情与价格,界面·头部层,2026搜索,助手头部1k,偏b,上市,8,6,3.88
QUOTE_LOOKUP,查询可报价品种实时行情与价格,界面·头部层,2026搜索,助手头部1k,偏b,股市行情,37,13,3.86
QUOTE_LOOKUP,查询可报价品种实时行情与价格,界面·头部层,2026搜索,助手头部1k,偏b,人民币,1,0,3.86
QUOTE_LOOKUP,查询可报价品种实时行情与价格,界面·头部层,2026搜索,助手头部1k,偏b,美国,24,10,3.77
QUOTE_LOOKUP,查询可报价品种实时行情与价格,界面·头部层,2026搜索,助手头部1k,偏b,吧,4,0,3.75
QUOTE_LOOKUP,查询可报价品种实时行情与价格,界面·头部层,2026搜索,助手头部1k,偏b,股市,52,15,3.65
QUOTE_LOOKUP,查询可报价品种实时行情与价格,界面·头部层,2026搜索,助手头部1k,偏b,什么,7,2,3.62
QUOTE_LOOKUP,查询可报价品种实时行情与价格,界面·头部层,2026搜索,助手头部1k,偏b,美股,84,20,3.46
QUOTE_LOOKUP,查询可报价品种实时行情与价格,界面·随机层,2026搜索随机1w,助手随机1k,偏a,股票,425,12,-3.61
QUOTE_LOOKUP,查询可报价品种实时行情与价格,界面·随机层,2026搜索随机1w,助手随机1k,偏a,今日,146,2,-3.04
QUOTE_LOOKUP,查询可报价品种实时行情与价格,界面·随机层,2026搜索随机1w,助手随机1k,偏a,基金,71,1,-2.16
QUOTE_LOOKUP,查询可报价品种实时行情与价格,界面·随机层,2026搜索随机1w,助手随机1k,偏a,净值,69,2,-2.06
QUOTE_LOOKUP,查询可报价品种实时行情与价格,界面·随机层,2026搜索随机1w,助手随机1k,偏a,实时,73,1,-2.05
QUOTE_LOOKUP,查询可报价品种实时行情与价格,界面·随机层,2026搜索随机1w,助手随机1k,偏a,股票行情,57,0,-1.98
QUOTE_LOOKUP,查询可报价品种实时行情与价格,界面·随机层,2026搜索随机1w,助手随机1k,偏b,8,1,11,4.43
QUOTE_LOOKUP,查询可报价品种实时行情与价格,界面·随机层,2026搜索随机1w,助手随机1k,偏b,如何,5,7,4.26
QUOTE_LOOKUP,查询可报价品种实时行情与价格,界面·随机层,2026搜索随机1w,助手随机1k,偏b,吗,8,1,3.72
QUOTE_LOOKUP,查询可报价品种实时行情与价格,界面·随机层,2026搜索随机1w,助手随机1k,偏b,预测,11,7,3.32
QUOTE_LOOKUP,查询可报价品种实时行情与价格,界面·随机层,2026搜索随机1w,助手随机1k,偏b,是,46,9,3.14
QUOTE_LOOKUP,查询可报价品种实时行情与价格,界面·随机层,2026搜索随机1w,助手随机1k,偏b,2026,43,14,3.1
QUOTE_LOOKUP,查询可报价品种实时行情与价格,界面·随机层,2026搜索随机1w,助手随机1k,偏b,怎么,3,1,3.0
QUOTE_LOOKUP,查询可报价品种实时行情与价格,界面·随机层,2026搜索随机1w,助手随机1k,偏b,人民币,4,0,3.0
QUOTE_LOOKUP,查询可报价品种实时行情与价格,界面·随机层,2026搜索随机1w,助手随机1k,偏b,银行,9,1,2.91
QUOTE_LOOKUP,查询可报价品种实时行情与价格,界面·随机层,2026搜索随机1w,助手随机1k,偏b,26,3,3,2.49
QUOTE_LOOKUP,查询可报价品种实时行情与价格,界面·随机层,2026搜索随机1w,助手随机1k,偏b,什么,20,3,2.17
QUOTE_LOOKUP,查询可报价品种实时行情与价格,界面·随机层,2026搜索随机1w,助手随机1k,偏b,的,71,10,2.12
QUOTE_LOOKUP,查询可报价品种实时行情与价格,界面·随机层,2026搜索随机1w,助手随机1k,偏b,月,57,13,2.1
QUOTE_LOOKUP,查询可报价品种实时行情与价格,界面·随机层,2026搜索随机1w,助手随机1k,偏b,走势,61,14,2.08
QUOTE_LOOKUP,查询可报价品种实时行情与价格,界面·随机层,2026搜索随机1w,助手随机1k,偏b,我,0,1,2.04
QUOTE_LOOKUP,查询可报价品种实时行情与价格,深度·搜索内,2026搜索,2026搜索随机1w,偏a,股票,3050,425,-23.16
QUOTE_LOOKUP,查询可报价品种实时行情与价格,深度·搜索内,2026搜索,2026搜索随机1w,偏a,股份,486,84,-7.31
QUOTE_LOOKUP,查询可报价品种实时行情与价格,深度·搜索内,2026搜索,2026搜索随机1w,偏a,国际,165,15,-5.58
QUOTE_LOOKUP,查询可报价品种实时行情与价格,深度·搜索内,2026搜索,2026搜索随机1w,偏a,科技,331,64,-5.48
QUOTE_LOOKUP,查询可报价品种实时行情与价格,深度·搜索内,2026搜索,2026搜索随机1w,偏a,实时,356,73,-5.41
QUOTE_LOOKUP,查询可报价品种实时行情与价格,深度·搜索内,2026搜索,2026搜索随机1w,偏a,黄金,266,48,-5.21
QUOTE_LOOKUP,查询可报价品种实时行情与价格,深度·搜索内,2026搜索,2026搜索随机1w,偏a,大盘,137,18,-4.52
QUOTE_LOOKUP,查询可报价品种实时行情与价格,深度·搜索内,2026搜索,2026搜索随机1w,偏a,金价,250,56,-4.06
QUOTE_LOOKUP,查询可报价品种实时行情与价格,深度·搜索内,2026搜索,2026搜索随机1w,偏a,行情,409,113,-3.72
QUOTE_LOOKUP,查询可报价品种实时行情与价格,深度·搜索内,2026搜索,2026搜索随机1w,偏a,新材,51,5,-3.03
QUOTE_LOOKUP,查询可报价品种实时行情与价格,深度·搜索内,2026搜索,2026搜索随机1w,偏a,指数,146,34,-2.94
QUOTE_LOOKUP,查询可报价品种实时行情与价格,深度·搜索内,2026搜索,2026搜索随机1w,偏a,克,69,12,-2.72
QUOTE_LOOKUP,查询可报价品种实时行情与价格,深度·搜索内,2026搜索,2026搜索随机1w,偏a,线图,34,1,-2.64
QUOTE_LOOKUP,查询可报价品种实时行情与价格,深度·搜索内,2026搜索,2026搜索随机1w,偏a,上证指数,39,4,-2.62
QUOTE_LOOKUP,查询可报价品种实时行情与价格,深度·搜索内,2026搜索,2026搜索随机1w,偏a,伦敦,32,2,-2.58
QUOTE_LOOKUP,查询可报价品种实时行情与价格,深度·搜索内,2026搜索,2026搜索随机1w,偏b,基金,27,71,8.27
QUOTE_LOOKUP,查询可报价品种实时行情与价格,深度·搜索内,2026搜索,2026搜索随机1w,偏b,股价,78,105,8.01
QUOTE_LOOKUP,查询可报价品种实时行情与价格,深度·搜索内,2026搜索,2026搜索随机1w,偏b,的,35,71,7.94
QUOTE_LOOKUP,查询可报价品种实时行情与价格,深度·搜索内,2026搜索,2026搜索随机1w,偏b,年,3,69,7.7
QUOTE_LOOKUP,查询可报价品种实时行情与价格,深度·搜索内,2026搜索,2026搜索随机1w,偏b,月,5,57,7.44
QUOTE_LOOKUP,查询可报价品种实时行情与价格,深度·搜索内,2026搜索,2026搜索随机1w,偏b,净值,40,69,7.25
QUOTE_LOOKUP,查询可报价品种实时行情与价格,深度·搜索内,2026搜索,2026搜索随机1w,偏b,是,21,46,6.58
QUOTE_LOOKUP,查询可报价品种实时行情与价格,深度·搜索内,2026搜索,2026搜索随机1w,偏b,2026,3,43,6.2
QUOTE_LOOKUP,查询可报价品种实时行情与价格,深度·搜索内,2026搜索,2026搜索随机1w,偏b,多少,163,128,5.83
QUOTE_LOOKUP,查询可报价品种实时行情与价格,深度·搜索内,2026搜索,2026搜索随机1w,偏b,日,14,35,5.74
QUOTE_LOOKUP,查询可报价品种实时行情与价格,深度·搜索内,2026搜索,2026搜索随机1w,偏b,6,2,32,5.21
QUOTE_LOOKUP,查询可报价品种实时行情与价格,深度·搜索内,2026搜索,2026搜索随机1w,偏b,上市,8,22,4.63
QUOTE_LOOKUP,查询可报价品种实时行情与价格,深度·搜索内,2026搜索,2026搜索随机1w,偏b,什么,7,20,4.62
QUOTE_LOOKUP,查询可报价品种实时行情与价格,深度·搜索内,2026搜索,2026搜索随机1w,偏b,7,5,18,4.33
QUOTE_LOOKUP,查询可报价品种实时行情与价格,深度·搜索内,2026搜索,2026搜索随机1w,偏b,1,9,20,4.24
