意图,意图名,叶,叶名,意图内行数,占该意图%,叶总行数,该意图占叶%,叶主导意图,主导占叶%,cos_意图内vs叶其余,cos_同叶基线,cos差,意图内中心例子,叶其余中心例子
COMPARISON_DECISION,比较两个金融对象并给出取舍,65,计算存贷款利息,34,11.8,720,4.7,查询利率、费率、限额并试算利息/还款,75.3,0.734,0.985,-0.251,等额本金和等额本息哪个利率更高一些,银行利息1万元一年多少利息
COMPARISON_DECISION,比较两个金融对象并给出取舍,49,银行信息查询,31,10.8,1941,1.6,查询机构联系方式、网点信息及号码归属,45.1,0.817,0.97,-0.153,齐鲁银行和常熟银行哪个好,工商银行在
COMPARISON_DECISION,比较两个金融对象并给出取舍,48,银行卡业务查询与办理指导,26,9.0,1069,2.4,获取银行/支付业务办理步骤与所需资料,35.9,0.768,0.977,-0.209,一类银行卡和二类银行卡的区别,办银行卡立马拿到卡吗
COMPARISON_DECISION,比较两个金融对象并给出取舍,70,查询定期存款利率,25,8.7,350,7.1,查询利率、费率、限额并试算利息/还款,39.4,0.876,0.978,-0.102,大额存单和定期存款哪个更划算,银行定期存款利率是多少
COMPARISON_DECISION,比较两个金融对象并给出取舍,19,车险购买与理赔咨询,21,7.3,491,4.3,对“是不是/是A还是B”给出裁决结论,33.8,0.871,0.965,-0.094,找人买车险和去保险公司买哪个便宜,车险司机责任险要买吗
COMPARISON_DECISION,比较两个金融对象并给出取舍,18,查询保险相关业务,20,6.9,658,3.0,解析裸非可报价名称,21.6,0.898,0.969,-0.071,女人买什么保险好又保障,保险靠不靠谱
COMPARISON_DECISION,比较两个金融对象并给出取舍,30,股票行情与选股建议查询,14,4.9,2240,0.6,查询可报价品种实时行情与价格,24.6,0.761,0.91,-0.149,人事股和基础教育股哪个更厉害,a股上市第一天涨幅最大的股票
COMPARISON_DECISION,比较两个金融对象并给出取舍,17,查询保险公司信息,10,3.5,539,1.9,解析裸非可报价名称,18.6,0.829,0.933,-0.105,车险哪几家保险公司比较好,中华保险公司是大公司还是小公司
COMPARISON_DECISION,比较两个金融对象并给出取舍,47,查询办理信用卡业务,10,3.5,561,1.8,获取银行/支付业务办理步骤与所需资料,20.1,0.877,0.951,-0.073,信用卡选哪个卡种最好,信用卡也要激活吗
CONCEPT_EXPLAIN,解释金融术语与交易/业务规则,11,查询金融术语含义,719,25.8,820,87.7,解释金融术语与交易/业务规则,87.7,0.914,0.997,-0.083,带资入股是什么意思,hkd是什么币种
CONCEPT_EXPLAIN,解释金融术语与交易/业务规则,30,股票行情与选股建议查询,473,17.0,2240,21.1,查询可报价品种实时行情与价格,24.6,0.912,0.996,-0.084,新股上市后前几个交易日不设涨停,a股上市第一天涨幅最大的股票
CONCEPT_EXPLAIN,解释金融术语与交易/业务规则,10,查询转账与账户业务可行性,105,3.8,1087,9.7,对“是不是/是A还是B”给出裁决结论,36.4,0.931,0.987,-0.056,股票账户转出的钱多久到账,有现金可以给其它人转账吗
CONCEPT_EXPLAIN,解释金融术语与交易/业务规则,7,基金净值查询,100,3.6,578,17.3,查询可报价品种实时行情与价格,51.0,0.837,0.992,-0.155,基金刚买入都会跌么,基金净值010793
CONCEPT_EXPLAIN,解释金融术语与交易/业务规则,49,银行信息查询,95,3.4,1941,4.9,查询机构联系方式、网点信息及号码归属,45.1,0.887,0.99,-0.103,那五大银行是国家的银行,浙商银行
CONCEPT_EXPLAIN,解释金融术语与交易/业务规则,18,查询保险相关业务,89,3.2,658,13.5,解析裸非可报价名称,21.6,0.951,0.992,-0.04,当兵退伍后交的保险是啥保险,保险靠不靠谱
CONCEPT_EXPLAIN,解释金融术语与交易/业务规则,8,查询贷款信息,85,3.0,845,10.1,对“是不是/是A还是B”给出裁决结论,25.1,0.938,0.99,-0.052,个人贷款叫什么贷款,有车贷款还能在银行申请经营贷款吗
CONCEPT_EXPLAIN,解释金融术语与交易/业务规则,14,个人征信报告查询与影响咨询,85,3.0,381,22.3,解释金融术语与交易/业务规则,22.3,0.969,0.993,-0.024,征信有贷后管理是上征信了吗,个人征信报告查询
CONCEPT_EXPLAIN,解释金融术语与交易/业务规则,65,计算存贷款利息,79,2.8,720,11.0,查询利率、费率、限额并试算利息/还款,75.3,0.826,0.992,-0.166,等额本息是先还利息吗,银行利息1万元一年多少利息
CONCEPT_EXPLAIN,解释金融术语与交易/业务规则,12,金融业务操作与问题处理方法查询,78,2.8,805,9.7,获取银行/支付业务办理步骤与所需资料,56.6,0.887,0.988,-0.101,股票怎么看筹码峰,陌生人转钱到我银行怎么办
CONCEPT_EXPLAIN,解释金融术语与交易/业务规则,19,车险购买与理赔咨询,68,2.4,491,13.8,对“是不是/是A还是B”给出裁决结论,33.8,0.924,0.988,-0.064,车损保险具体都包括什么,车险司机责任险要买吗
CONCEPT_EXPLAIN,解释金融术语与交易/业务规则,28,股指行情查询,59,2.1,566,10.4,查询可报价品种实时行情与价格,80.9,0.943,0.989,-0.046,股票指数指的是哪些指标,股票指数
CONCEPT_EXPLAIN,解释金融术语与交易/业务规则,48,银行卡业务查询与办理指导,48,1.7,1069,4.5,获取银行/支付业务办理步骤与所需资料,35.9,0.914,0.987,-0.072,银行卡卡行信息是什么,办银行卡立马拿到卡吗
CONCEPT_EXPLAIN,解释金融术语与交易/业务规则,25,查询股票信息,47,1.7,5023,0.9,查询可报价品种实时行情与价格,95.5,0.885,0.985,-0.1,股票ⅩD代表什么,哔哩哔哩股票
CONCEPT_EXPLAIN,解释金融术语与交易/业务规则,17,查询保险公司信息,44,1.6,539,8.2,解析裸非可报价名称,18.6,0.95,0.983,-0.033,公司上市说明什么问题,中华保险公司是大公司还是小公司
CONCEPT_EXPLAIN,解释金融术语与交易/业务规则,47,查询办理信用卡业务,42,1.5,561,7.5,获取银行/支付业务办理步骤与所需资料,20.1,0.949,0.987,-0.039,信用卡是干什么用的,信用卡没还完去查信用吗
CONCEPT_EXPLAIN,解释金融术语与交易/业务规则,43,支付方式使用与设置查询,40,1.4,366,10.9,获取银行/支付业务办理步骤与所需资料,36.1,0.905,0.981,-0.075,什么是连连支付,微信小程序未支付订单再支付
CONCEPT_EXPLAIN,解释金融术语与交易/业务规则,31,查询财经门户与市场行情,40,1.4,1464,2.7,查询可报价品种实时行情与价格,32.1,0.829,0.958,-0.129,期货交易规则和操作方法,东方财富网官方首页财经
CONCEPT_EXPLAIN,解释金融术语与交易/业务规则,70,查询定期存款利率,37,1.3,350,10.6,查询利率、费率、限额并试算利息/还款,39.4,0.952,0.984,-0.033,银行存单到期支取的具体规定,银行定期存款利率是多少
CONCEPT_EXPLAIN,解释金融术语与交易/业务规则,68,利率查询与计算,35,1.3,341,10.3,查询利率、费率、限额并试算利息/还款,80.4,0.869,0.984,-0.114,长期债券利率,银行贷款利率2025最新利率
CONCEPT_EXPLAIN,解释金融术语与交易/业务规则,32,证券股票信息查询,33,1.2,479,6.9,解析裸非可报价名称,36.5,0.926,0.985,-0.058,国信证券和国都证券关系,证券股票
CONCEPT_EXPLAIN,解释金融术语与交易/业务规则,22,查询科技股与科创板信息,29,1.0,418,6.9,查询可报价品种实时行情与价格,30.9,0.753,0.967,-0.214,科创板股票卖出规则,再升科技是老登股吗
CONCEPT_EXPLAIN,解释金融术语与交易/业务规则,27,查询市场行情,27,1.0,835,3.2,查询可报价品种实时行情与价格,87.1,0.808,0.973,-0.166,股市几点钟闭市,股市行情今日行情
CONCEPT_EXPLAIN,解释金融术语与交易/业务规则,64,查询金融业务数值与代码,27,1.0,296,9.1,查询利率、费率、限额并试算利息/还款,51.0,0.921,0.975,-0.054,一手是多少股,-30bp是多少利率
CONCEPT_EXPLAIN,解释金融术语与交易/业务规则,71,查询价格与金额,26,0.9,503,5.2,查询利率、费率、限额并试算利息/还款,43.3,0.876,0.969,-0.093,比炒股那台强出多少？,多肉币能卖多少钱
CONCEPT_EXPLAIN,解释金融术语与交易/业务规则,44,支付宝相关操作查询,23,0.8,778,3.0,获取银行/支付业务办理步骤与所需资料,53.5,0.926,0.979,-0.053,支付宝清除数据有什么后果,淘宝用支付宝登录
CONCEPT_EXPLAIN,解释金融术语与交易/业务规则,58,查询黄金价格,22,0.8,857,2.6,查询可报价品种实时行情与价格,87.9,0.825,0.98,-0.155,央行增持黄金的历史数据,黄金多少价格一克
CONCEPT_EXPLAIN,解释金融术语与交易/业务规则,36,人民币及货币信息查询,21,0.8,425,4.9,查询汇率并换算外币金额,45.2,0.854,0.965,-0.11,辅币是主币的,人民币
CONCEPT_EXPLAIN,解释金融术语与交易/业务规则,9,贷款提前还款查询,19,0.7,314,6.1,获取银行/支付业务办理步骤与所需资料,26.8,0.919,0.966,-0.047,短期借款是一次还本付息吗,还贷款提前还款划算吗
CONCEPT_EXPLAIN,解释金融术语与交易/业务规则,13,花呗操作查询,18,0.6,299,6.0,获取银行/支付业务办理步骤与所需资料,27.1,0.932,0.962,-0.03,花呗能拖多久还款,花呗停催
CONCEPT_EXPLAIN,解释金融术语与交易/业务规则,50,农业银行及农村信用社服务信息查询,17,0.6,632,2.7,查询机构联系方式、网点信息及号码归属,51.7,0.898,0.965,-0.067,农业银行里的小额账管是什么,附近的农业银行
CONCEPT_EXPLAIN,解释金融术语与交易/业务规则,33,查询人民币兑外币汇率,17,0.6,1227,1.4,查询汇率并换算外币金额,95.8,0.717,0.975,-0.258,宽松的汇率政策,人民币汇率兑美元
CONCEPT_EXPLAIN,解释金融术语与交易/业务规则,20,查询交强险保费、赔偿与投保规定,16,0.6,122,13.1,查询利率、费率、限额并试算利息/还款,31.1,0.953,0.981,-0.028,车辆交强险保什么内容,今年交强险多少
CONCEPT_EXPLAIN,解释金融术语与交易/业务规则,63,查询价格走势图,15,0.5,512,2.9,查询可报价品种实时行情与价格,87.1,0.742,0.968,-0.226,底部两阳夹一阴后期k线走势,金价走势最新走势图
CONCEPT_EXPLAIN,解释金融术语与交易/业务规则,53,中国银行服务信息查询,14,0.5,407,3.4,查询机构联系方式、网点信息及号码归属,36.4,0.872,0.964,-0.092,中国四大银行有哪四个,中国银行系统
CONCEPT_EXPLAIN,解释金融术语与交易/业务规则,45,查询股份公司及股票信息,14,0.5,808,1.7,查询可报价品种实时行情与价格,82.5,0.902,0.974,-0.072,拓邦股份是否高壁垒,领先股份
CONCEPT_EXPLAIN,解释金融术语与交易/业务规则,67,贷款月供计算,11,0.4,222,5.0,查询利率、费率、限额并试算利息/还款,71.6,0.82,0.95,-0.13,资本公积增加是借还是贷,贷款25万10年每月还贷款多少
CONCEPT_EXPLAIN,解释金融术语与交易/业务规则,66,金融行情数据查询,11,0.4,481,2.3,查询个股与公司层面的消息、公告与进度,30.1,0.909,0.943,-0.035,2025年美国到期的国债规模是,硫酸价格2025年与2026年对比行情
CONTACT_BRANCH_LOOKUP,查询机构联系方式、网点信息及号码归属,49,银行信息查询,876,28.3,1941,45.1,查询机构联系方式、网点信息及号码归属,45.1,0.939,0.998,-0.059,工商银行闲林支行行号,浙商银行
CONTACT_BRANCH_LOOKUP,查询机构联系方式、网点信息及号码归属,55,银行客服电话查询,615,19.9,641,95.9,查询机构联系方式、网点信息及号码归属,95.9,0.889,0.997,-0.109,交行客服人工电话,华鑫信托客服电话人工服务怎么转接
CONTACT_BRANCH_LOOKUP,查询机构联系方式、网点信息及号码归属,50,农业银行及农村信用社服务信息查询,327,10.6,632,51.7,查询机构联系方式、网点信息及号码归属,51.7,0.933,0.996,-0.063,农业银行龙口支行行号,农业银行
CONTACT_BRANCH_LOOKUP,查询机构联系方式、网点信息及号码归属,3,查询电话号码归属,282,9.1,308,91.6,查询机构联系方式、网点信息及号码归属,91.6,0.821,0.997,-0.176,95595是什么电话,95508
