sid,_row,source,query,bu_leaf,td_l2,抽样权重,叶名
INV0000,534,2025search,稳定币股票有哪些龙头,30,INVEST_ADVICE__3,1.0,股票行情与选股建议查询
INV0001,666,2025search,创新药龙头有哪些好股票,30,INVEST_ADVICE__3,1.0,股票行情与选股建议查询
INV0002,741,2025search,固态电池龙头股,30,INVEST_ADVICE__3,1.0,股票行情与选股建议查询
INV0003,747,2025search,军工股票推荐,25,INVEST_ADVICE__2,1.0,查询股票信息
INV0004,902,2025search,海洋经济的龙头股票有哪些,30,INVEST_ADVICE__3,1.0,股票行情与选股建议查询
INV0005,1053,2025search,光刻机概念股的龙头股,30,INVEST_ADVICE__3,1.0,股票行情与选股建议查询
INV0006,1431,2025search,伯25转债值得申购吗,10,INVEST_ADVICE__1,1.0,查询转账与账户业务可行性
INV0007,1471,2025search,固态电池龙头股票前十名,30,INVEST_ADVICE__3,1.0,股票行情与选股建议查询
INV0008,1550,2025search,博众投资399元给的股票咋样,30,INVEST_ADVICE__2,1.0,股票行情与选股建议查询
INV0009,1569,2025search,301630值得申购吗,1,INVEST_ADVICE__1,1.0,查询300开头股票代码与行情
INV0010,1935,2025search,统一大巿场概念股龙头股票有哪些,30,INVEST_ADVICE__3,1.0,股票行情与选股建议查询
INV0011,2040,2025search,同宇新材值得申购吗,30,INVEST_ADVICE__1,1.0,股票行情与选股建议查询
INV0012,2351,2025search,可控核聚变概念股龙头,30,INVEST_ADVICE__3,1.0,股票行情与选股建议查询
INV0013,2501,2025search,预计明天大盘走势如何,63,INVEST_ADVICE__2,1.0,查询价格走势图
INV0014,2550,2025search,军工股票龙头股有哪些,30,INVEST_ADVICE__3,1.0,股票行情与选股建议查询
INV0015,2649,2025search,金价还会下跌吗,62,INVEST_ADVICE__4,1.0,查询金价
INV0016,2806,2025search,科技股票有哪些龙头股,23,INVEST_ADVICE__3,1.0,科技类股票信息查询
INV0017,2841,2025search,车险怎么买最划算2025年,66,INVEST_ADVICE__1,1.0,金融行情数据查询
INV0018,3410,2025search,人工智能股票龙头前十名,30,INVEST_ADVICE__3,1.0,股票行情与选股建议查询
INV0019,3423,2025search,军工股票排行榜前十名,25,INVEST_ADVICE__3,1.0,查询股票信息
INV0020,3929,2025search,汇正财经投资选股可靠吗,10,INVEST_ADVICE__2,1.0,查询转账与账户业务可行性
INV0021,4407,2025search,光刻机龙头股排名前十名,30,INVEST_ADVICE__3,1.0,股票行情与选股建议查询
INV0022,4591,2025search,算力概念龙头股票,30,INVEST_ADVICE__3,1.0,股票行情与选股建议查询
INV0023,4829,2025search,车保险怎么买最划算2025年,19,INVEST_ADVICE__1,1.0,车险购买与理赔咨询
INV0024,4912,2025search,尾盘拉升的股票第二天的走势,63,INVEST_ADVICE__2,1.0,查询价格走势图
INV0025,5123,2025search,核聚变概念股龙头股,30,INVEST_ADVICE__3,1.0,股票行情与选股建议查询
INV0026,5229,2025search,市盈率高的股票好还是低的股票好,30,INVEST_ADVICE__2,1.0,股票行情与选股建议查询
INV0027,5245,2025search,pcb概念十大龙头股票,30,INVEST_ADVICE__3,1.0,股票行情与选股建议查询
INV0028,5328,2025search,ai眼镜行业龙头股票,30,INVEST_ADVICE__3,1.0,股票行情与选股建议查询
INV0029,5892,2025search,电力股票龙头股排名前十名,30,INVEST_ADVICE__3,1.0,股票行情与选股建议查询
INV0030,6101,2025search,公司回购股份是利好还是利空,30,INVEST_ADVICE__2,1.0,股票行情与选股建议查询
INV0031,6298,2025search,摩尔线程最大受益上市公司,17,INVEST_ADVICE__1,1.0,查询保险公司信息
INV0032,6381,2025search,股票回购是利好还是利空,30,INVEST_ADVICE__2,1.0,股票行情与选股建议查询
INV0033,6399,2025search,九天无人机股票龙头股,30,INVEST_ADVICE__3,1.0,股票行情与选股建议查询
INV0034,6576,2025search,黄金有跌回300元一克的可能性吗?,58,INVEST_ADVICE__4,1.0,查询黄金价格
INV0035,6956,2025search,回购公司股份是好事还是坏事,17,INVEST_ADVICE__2,1.0,查询保险公司信息
INV0036,7034,2025search,稳定币概念十大龙头,30,INVEST_ADVICE__3,1.0,股票行情与选股建议查询
INV0037,7069,2025search,值得买股票,25,INVEST_ADVICE__2,1.0,查询股票信息
INV0038,7208,2025search,存储芯片股票龙头股,30,INVEST_ADVICE__3,1.0,股票行情与选股建议查询
