sid,_row,source,query,bu_leaf,td_l2,抽样权重,叶名
NEW0000,1779,2025search,军工并购重组概念股一览表,30,NEWS_EVENT__4,1.0,股票行情与选股建议查询
NEW0001,1828,2025search,派币2025年官方最新消息,66,NEWS_EVENT__2,1.0,金融行情数据查询
NEW0002,2540,2025search,GTC泽汇资本,31,NEWS_EVENT__1,1.0,查询财经门户与市场行情
NEW0003,4229,2025search,屹唐股份哪天正式上市,45,NEWS_EVENT__1,1.0,查询股份公司及股票信息
NEW0004,4387,2025search,中兵红箭重组传闻最新消息,30,NEWS_EVENT__4,1.0,股票行情与选股建议查询
NEW0005,4593,2025search,奥拉丁币圈最新消息,36,NEWS_EVENT__2,1.0,人民币及货币信息查询
NEW0006,4609,2025search,金浦钛业:筹划重大资产重组,31,NEWS_EVENT__4,1.0,查询财经门户与市场行情
NEW0007,4625,2025search,上海微电子借谁的壳机会比较大,30,NEWS_EVENT__1,1.0,股票行情与选股建议查询
NEW0008,4855,2025search,同宇新材料IPO,31,NEWS_EVENT__1,1.0,查询财经门户与市场行情
NEW0009,4905,2025search,中光学重组最新公告今天,30,NEWS_EVENT__4,1.0,股票行情与选股建议查询
NEW0010,4958,2025search,中报什么时候披露,30,NEWS_EVENT__5,1.0,股票行情与选股建议查询
NEW0011,5423,2025search,7月1号存款新规,70,NEWS_EVENT__2,1.0,查询定期存款利率
NEW0012,5636,2025search,道琼斯美国石油开发与生产指数,28,NEWS_EVENT__5,1.0,股指行情查询
NEW0013,5742,2025search,天风证券最新消息,32,NEWS_EVENT__2,1.0,证券股票信息查询
NEW0014,5751,2025search,京东稳定币最新消息,36,NEWS_EVENT__2,1.0,人民币及货币信息查询
NEW0015,5980,2025search,北方国际并购重组最新消息,31,NEWS_EVENT__4,1.0,查询财经门户与市场行情
NEW0016,6075,2025search,稳定币最新消息,36,NEWS_EVENT__2,1.0,人民币及货币信息查询
NEW0017,6117,2025search,奥拉丁币圈最新官方消息,36,NEWS_EVENT__2,1.0,人民币及货币信息查询
NEW0018,6130,2025search,内蒙一机重组最新消息,30,NEWS_EVENT__4,1.0,股票行情与选股建议查询
NEW0019,6380,2025search,股市最新消息,27,NEWS_EVENT__2,1.0,查询市场行情
NEW0020,6503,2025search,半年报一般什么时间公布,30,NEWS_EVENT__5,1.0,股票行情与选股建议查询
NEW0021,7063,2025search,长城军工最新消息,30,NEWS_EVENT__2,1.0,股票行情与选股建议查询
NEW0022,7077,2025search,同宇新材申购建议,31,NEWS_EVENT__1,1.0,查询财经门户与市场行情
NEW0023,7139,2025search,今天股市最新消息,27,NEWS_EVENT__2,1.0,查询市场行情
NEW0024,7289,2025search,际华集团重组最新消息,30,NEWS_EVENT__4,1.0,股票行情与选股建议查询
NEW0025,7587,2025search,长城军工重组最新消息,30,NEWS_EVENT__4,1.0,股票行情与选股建议查询
NEW0026,7593,2025search,π币最新消息,36,NEWS_EVENT__2,1.0,人民币及货币信息查询
NEW0027,7787,2025search,美股今天最新消息,27,NEWS_EVENT__2,1.0,查询市场行情
NEW0028,8264,2025search,旋极信息参股公司对赌完成,17,NEWS_EVENT__1,1.0,查询保险公司信息
NEW0029,8389,2025search,派币今天最新官方消息真实,36,NEWS_EVENT__2,1.0,人民币及货币信息查询
NEW0030,8431,2025search,科兴生物宣布三阶段分红,22,NEWS_EVENT__3,1.0,查询科技股与科创板信息
NEW0031,8447,2025search,中国银行外汇牌价今日最新消息,53,NEWS_EVENT__2,1.0,中国银行服务信息查询
NEW0032,8617,2025search,稳定币牌照上市公司,17,NEWS_EVENT__1,1.0,查询保险公司信息
NEW0033,8648,2025search,美股最新消息,27,NEWS_EVENT__2,1.0,查询市场行情
NEW0034,8714,2025search,东山精密最新利好消息,65,NEWS_EVENT__2,1.0,计算存贷款利息
NEW0035,9461,2025search,中国重工重组最新消息,30,NEWS_EVENT__4,1.0,股票行情与选股建议查询
NEW0036,9533,2025search,江南化工最新消息重组,30,NEWS_EVENT__4,1.0,股票行情与选股建议查询
NEW0037,9717,2025search,京东发布关于稳定币的声明,36,NEWS_EVENT__1,1.0,人民币及货币信息查询
NEW0038,9913,2025search,dgcx原油期货项目突发状况,31,NEWS_EVENT__1,1.0,查询财经门户与市场行情
NEW0039,9959,2025search,半年报业绩预告披露时间规定,66,NEWS_EVENT__5,1.0,金融行情数据查询
NEW0040,18577,2025search_rand,毛戈平解禁日,15,NEWS_EVENT__1,1.82,查询借款平台正规性
NEW0041,15242,2025search_rand,蔚蓝生物最新消息,30,NEWS_EVENT__2,1.82,股票行情与选股建议查询
NEW0042,18876,2025search_rand,聚灿光电最新消息,30,NEWS_EVENT__2,1.82,股票行情与选股建议查询
NEW0043,17098,2025search_rand,浦发倍富金利息高吗,65,NEWS_EVENT__1,1.82,计算存贷款利息
NEW0044,18602,2025search_rand,上市未盈利,30,NEWS_EVENT__1,1.82,股票行情与选股建议查询
NEW0045,11597,2025search_rand,航天电子重组完成了吗,30,NEWS_EVENT__4,1.82,股票行情与选股建议查询
NEW0046,16431,2025search_rand,2025年海达尔中报予告,66,NEWS_EVENT__5,1.82,金融行情数据查询
NEW0047,14046,2025search_rand,荣科科技最新公告,22,NEWS_EVENT__2,1.82,查询科技股与科创板信息
NEW0048,16142,2025search_rand,东安动力最新消息今天,30,NEWS_EVENT__2,1.82,股票行情与选股建议查询
NEW0049,14143,2025search_rand,美畅股份最新消息,45,NEWS_EVENT__2,1.82,查询股份公司及股票信息
NEW0050,10947,2025search_rand,上海对中报业绩预告的要求,30,NEWS_EVENT__5,1.82,股票行情与选股建议查询
NEW0051,15358,2025search_rand,中国石化分红,53,NEWS_EVENT__3,1.82,中国银行服务信息查询
NEW0052,14174,2025search_rand,金隅集团2025年分红时间,66,NEWS_EVENT__3,1.82,金融行情数据查询
NEW0053,10542,2025search_rand,最近要分红的股票有哪些,30,NEWS_EVENT__3,1.82,股票行情与选股建议查询
