外层,外层名,快照,source,n,内层,内层名,条数,占比%,95CI低%,95CI高%
QUOTE_LOOKUP,查询可报价品种实时行情与价格,2025搜索,2025search,5018,QUOTE_LOOKUP__2,QUOTE_LOOKUP__2,2974,59.27,57.9,60.62
QUOTE_LOOKUP,查询可报价品种实时行情与价格,2025搜索,2025search,5018,QUOTE_LOOKUP__3,QUOTE_LOOKUP__3,1052,20.96,19.86,22.11
QUOTE_LOOKUP,查询可报价品种实时行情与价格,2025搜索,2025search,5018,QUOTE_LOOKUP__1,QUOTE_LOOKUP__1,992,19.77,18.69,20.89
PAGE_NAV,打开目标页面或获取官方应用入口,2025搜索,2025search,1381,PAGE_NAV__2,PAGE_NAV__2,1073,77.7,75.43,79.81
PAGE_NAV,打开目标页面或获取官方应用入口,2025搜索,2025search,1381,PAGE_NAV__1,PAGE_NAV__1,308,22.3,20.19,24.57
FX_CONVERT,查询汇率并换算外币金额,2025搜索,2025search,985,FX_CONVERT__1,FX_CONVERT__1,679,68.93,65.98,71.75
FX_CONVERT,查询汇率并换算外币金额,2025搜索,2025search,985,FX_CONVERT__2,FX_CONVERT__2,306,31.07,28.25,34.02
RESOLVE_BARE_ENTITY,解析裸非可报价名称,2025搜索,2025search,725,RESOLVE_BARE_ENTITY__5,RESOLVE_BARE_ENTITY__5,192,26.48,23.4,29.81
RESOLVE_BARE_ENTITY,解析裸非可报价名称,2025搜索,2025search,725,RESOLVE_BARE_ENTITY__3,RESOLVE_BARE_ENTITY__3,159,21.93,19.07,25.09
RESOLVE_BARE_ENTITY,解析裸非可报价名称,2025搜索,2025search,725,RESOLVE_BARE_ENTITY__2,RESOLVE_BARE_ENTITY__2,134,18.48,15.83,21.47
RESOLVE_BARE_ENTITY,解析裸非可报价名称,2025搜索,2025search,725,RESOLVE_BARE_ENTITY__6,RESOLVE_BARE_ENTITY__6,104,14.34,11.98,17.08
RESOLVE_BARE_ENTITY,解析裸非可报价名称,2025搜索,2025search,725,RESOLVE_BARE_ENTITY__1,RESOLVE_BARE_ENTITY__1,80,11.03,8.96,13.52
RESOLVE_BARE_ENTITY,解析裸非可报价名称,2025搜索,2025search,725,RESOLVE_BARE_ENTITY__4,RESOLVE_BARE_ENTITY__4,56,7.72,6.0,9.9
OTHER_INTENT,其他非金融意图或无明确意图,2025搜索,2025search,204,OTHER_INTENT__2,OTHER_INTENT__2,116,56.86,50.0,63.47
OTHER_INTENT,其他非金融意图或无明确意图,2025搜索,2025search,204,OTHER_INTENT__4,OTHER_INTENT__4,32,15.69,11.34,21.31
OTHER_INTENT,其他非金融意图或无明确意图,2025搜索,2025search,204,OTHER_INTENT__5,OTHER_INTENT__5,31,15.2,10.92,20.76
OTHER_INTENT,其他非金融意图或无明确意图,2025搜索,2025search,204,OTHER_INTENT__3,OTHER_INTENT__3,14,6.86,4.13,11.19
OTHER_INTENT,其他非金融意图或无明确意图,2025搜索,2025search,204,OTHER_INTENT__1,OTHER_INTENT__1,11,5.39,3.04,9.4
CONTACT_BRANCH_LOOKUP,查询机构联系方式、网点信息及号码归属,2025搜索,2025search,576,CONTACT_BRANCH_LOOKUP__4,CONTACT_BRANCH_LOOKUP__4,291,50.52,46.45,54.59
CONTACT_BRANCH_LOOKUP,查询机构联系方式、网点信息及号码归属,2025搜索,2025search,576,CONTACT_BRANCH_LOOKUP__1,CONTACT_BRANCH_LOOKUP__1,117,20.31,17.23,23.79
CONTACT_BRANCH_LOOKUP,查询机构联系方式、网点信息及号码归属,2025搜索,2025search,576,CONTACT_BRANCH_LOOKUP__2,CONTACT_BRANCH_LOOKUP__2,95,16.49,13.69,19.74
CONTACT_BRANCH_LOOKUP,查询机构联系方式、网点信息及号码归属,2025搜索,2025search,576,CONTACT_BRANCH_LOOKUP__3,CONTACT_BRANCH_LOOKUP__3,47,8.16,6.19,10.68
CONTACT_BRANCH_LOOKUP,查询机构联系方式、网点信息及号码归属,2025搜索,2025search,576,CONTACT_BRANCH_LOOKUP__5,CONTACT_BRANCH_LOOKUP__5,26,4.51,3.1,6.53
CONCEPT_EXPLAIN,解释金融术语与交易/业务规则,2025搜索,2025search,266,CONCEPT_EXPLAIN__3,CONCEPT_EXPLAIN__3,131,49.25,43.29,55.22
CONCEPT_EXPLAIN,解释金融术语与交易/业务规则,2025搜索,2025search,266,CONCEPT_EXPLAIN__2,CONCEPT_EXPLAIN__2,107,40.23,34.51,46.22
CONCEPT_EXPLAIN,解释金融术语与交易/业务规则,2025搜索,2025search,266,CONCEPT_EXPLAIN__1,CONCEPT_EXPLAIN__1,28,10.53,7.38,14.79
RATE_CALC,查询利率、费率、限额并试算利息/还款,2025搜索,2025search,233,RATE_CALC__2,RATE_CALC__2,155,66.52,60.24,72.27
RATE_CALC,查询利率、费率、限额并试算利息/还款,2025搜索,2025search,233,RATE_CALC__1,RATE_CALC__1,78,33.48,27.73,39.76
VERDICT_QUESTION,对“是不是/是A还是B”给出裁决结论,2025搜索,2025search,80,VERDICT_QUESTION__2,VERDICT_QUESTION__2,49,61.25,50.29,71.18
VERDICT_QUESTION,对“是不是/是A还是B”给出裁决结论,2025搜索,2025search,80,VERDICT_QUESTION__1,VERDICT_QUESTION__1,31,38.75,28.82,49.71
HOWTO_OPERATE,获取银行/支付业务办理步骤与所需资料,2025搜索,2025search,225,HOWTO_OPERATE__2,HOWTO_OPERATE__2,75,33.33,27.5,39.73
HOWTO_OPERATE,获取银行/支付业务办理步骤与所需资料,2025搜索,2025search,225,HOWTO_OPERATE__6,HOWTO_OPERATE__6,42,18.67,14.12,24.27
HOWTO_OPERATE,获取银行/支付业务办理步骤与所需资料,2025搜索,2025search,225,HOWTO_OPERATE__4,HOWTO_OPERATE__4,36,16.0,11.79,21.35
HOWTO_OPERATE,获取银行/支付业务办理步骤与所需资料,2025搜索,2025search,225,HOWTO_OPERATE__5,HOWTO_OPERATE__5,31,13.78,9.88,18.89
HOWTO_OPERATE,获取银行/支付业务办理步骤与所需资料,2025搜索,2025search,225,HOWTO_OPERATE__1,HOWTO_OPERATE__1,25,11.11,7.64,15.89
HOWTO_OPERATE,获取银行/支付业务办理步骤与所需资料,2025搜索,2025search,225,HOWTO_OPERATE__3,HOWTO_OPERATE__3,16,7.11,4.42,11.24
ENTITY_VERIFY,核验机构平台与金融信息来源的真伪资质,2025搜索,2025search,93,ENTITY_VERIFY__1,ENTITY_VERIFY__1,58,62.37,52.21,71.54
ENTITY_VERIFY,核验机构平台与金融信息来源的真伪资质,2025搜索,2025search,93,ENTITY_VERIFY__2,ENTITY_VERIFY__2,35,37.63,28.46,47.79
ENTITY_IDENTITY_CHECK,确认或反查标的代码与名称对应,2025搜索,2025search,22,ENTITY_IDENTITY_CHECK__1,ENTITY_IDENTITY_CHECK__1,22,100.0,85.13,100.0
INVEST_ADVICE,请求个股买卖持有决策与涨跌预测,2025搜索,2025search,57,INVEST_ADVICE__3,INVEST_ADVICE__3,28,49.12,36.62,61.74
INVEST_ADVICE,请求个股买卖持有决策与涨跌预测,2025搜索,2025search,57,INVEST_ADVICE__2,INVEST_ADVICE__2,15,26.32,16.65,38.98
INVEST_ADVICE,请求个股买卖持有决策与涨跌预测,2025搜索,2025search,57,INVEST_ADVICE__1,INVEST_ADVICE__1,10,17.54,9.82,29.37
INVEST_ADVICE,请求个股买卖持有决策与涨跌预测,2025搜索,2025search,57,INVEST_ADVICE__4,INVEST_ADVICE__4,4,7.02,2.76,16.7
