外层,外层名,快照,n,内层个数,有效内层数(exp熵),覆盖80%所需内层数,首位内层,首位占比%
QUOTE_LOOKUP,查询可报价品种实时行情与价格,2025搜索,5018,44,12.71,11,查询股票信息,34.95
PAGE_NAV,打开目标页面或获取官方应用入口,2025搜索,1381,34,5.24,4,证券股吧查询,59.23
FX_CONVERT,查询汇率并换算外币金额,2025搜索,985,16,4.01,3,查询人民币兑外币汇率,45.18
RESOLVE_BARE_ENTITY,解析裸非可报价名称,2025搜索,725,45,19.28,14,查询财经门户与市场行情,22.07
OTHER_INTENT,其他非金融意图或无明确意图,2025搜索,204,29,7.23,8,蚂蚁庄园今日答案查询,56.37
CONTACT_BRANCH_LOOKUP,查询机构联系方式、网点信息及号码归属,2025搜索,576,21,6.29,4,银行客服电话查询,42.36
CONCEPT_EXPLAIN,解释金融术语与交易/业务规则,2025搜索,266,30,9.31,8,查询金融术语含义,45.11
RATE_CALC,查询利率、费率、限额并试算利息/还款,2025搜索,233,22,9.78,7,利率查询与计算,33.05
VERDICT_QUESTION,对“是不是/是A还是B”给出裁决结论,2025搜索,80,21,14.09,10,查询转账与账户业务可行性,20.0
HOWTO_OPERATE,获取银行/支付业务办理步骤与所需资料,2025搜索,225,25,12.92,8,支付宝相关操作查询,20.0
ENTITY_VERIFY,核验机构平台与金融信息来源的真伪资质,2025搜索,93,14,3.88,4,查询借款平台正规性,68.82
ENTITY_IDENTITY_CHECK,确认或反查标的代码与名称对应,2025搜索,22,8,4.26,4,股票行情与选股建议查询,59.09
INVEST_ADVICE,请求个股买卖持有决策与涨跌预测,2025搜索,57,14,5.02,5,股票行情与选股建议查询,61.4
TXN_ISSUE,排查账户与交易异常,2025搜索,36,10,5.39,4,银行卡业务查询与办理指导,47.22
COMPARISON_DECISION,比较两个金融对象并给出取舍,2025搜索,25,8,5.57,5,银行卡业务查询与办理指导,36.0
DEBT_DISTRESS,处理逾期催收与还款困境,2025搜索,15,5,3.62,3,查询借款平台正规性,53.33
STATUS_DECODE,解读粘贴的提示与界面状态,2025搜索,2,2,2.0,2,查询定期存款利率,50.0
NEWS_EVENT,查询个股与公司层面的消息、公告与进度,2025搜索,40,13,8.38,6,股票行情与选股建议查询,30.0
MARKET_MOVEMENT_EXPLAIN,解释已发生市场现象的原因,2025搜索,7,3,2.22,2,股票行情与选股建议查询,71.43
SEEK_CREDIT_WORKAROUND,寻找绕征信借款或评估征信修复,2025搜索,8,2,1.75,2,个人征信报告查询与影响咨询,75.0
QUOTE_LOOKUP,查询可报价品种实时行情与价格,2025搜索随机1w,1049,45,21.76,15,查询股票信息,16.59
HOWTO_OPERATE,获取银行/支付业务办理步骤与所需资料,2025搜索随机1w,1231,41,16.16,11,金融业务操作与问题处理方法查询,17.14
RESOLVE_BARE_ENTITY,解析裸非可报价名称,2025搜索随机1w,472,43,21.72,16,查询财经门户与市场行情,17.16
VERDICT_QUESTION,对“是不是/是A还是B”给出裁决结论,2025搜索随机1w,1088,41,18.13,12,查询转账与账户业务可行性,17.37
ENTITY_VERIFY,核验机构平台与金融信息来源的真伪资质,2025搜索随机1w,153,27,14.04,10,查询借款平台正规性,28.1
RATE_CALC,查询利率、费率、限额并试算利息/还款,2025搜索随机1w,1012,42,16.55,11,计算存贷款利息,23.22
