外层,外层名,对比,a,b,n_a,n_b,内层TVD,同源噪声上界,超出噪声,"差最大的三个内层(b-a, *=区间不含0)"
QUOTE_LOOKUP,查询可报价品种实时行情与价格,界面·头部层,2026搜索,助手头部1k,6282,456,0.3128,0.1095,True,"股票代码查询 -10.4pp [-11.2, -9.3]*；查询市场行情 +9.2pp [+6.4, +12.6]*；查询股票信息 -8.7pp [-12.7, -4.3]*"
QUOTE_LOOKUP,查询可报价品种实时行情与价格,界面·随机层,2026搜索随机1w,助手随机1k,1667,79,0.3826,0.3063,True,"金融行情数据查询 +16.3pp [+8.8, +26.5]*；查询价格走势图 +12.1pp [+5.5, +21.9]*；查询市场行情 -7.1pp [-8.5, -2.4]*"
QUOTE_LOOKUP,查询可报价品种实时行情与价格,深度·搜索内,2026搜索,2026搜索随机1w,6282,1667,0.3882,0.0714,True,"查询股票信息 -20.4pp [-22.4, -18.3]*；股票行情与选股建议查询 +8.9pp [+7.4, +10.4]*；基金净值查询 +7.0pp [+5.8, +8.4]*"
QUOTE_LOOKUP,查询可报价品种实时行情与价格,深度·助手内,助手头部1k,助手随机1k,456,79,0.515,0.2767,True,"金融行情数据查询 +19.6pp [+12.1, +29.7]*；查询股票信息 -13.0pp [-20.4, -3.0]*；查询市场行情 -12.7pp [-16.1, -7.3]*"
QUOTE_LOOKUP,查询可报价品种实时行情与价格,时间·头部层,2025搜索,2026搜索,5018,6282,0.0591,0.0433,True,"股票代码查询 -2.0pp [-3.2, -0.8]*；查询股份股票及股吧信息 +0.9pp [+0.3, +1.5]*；查询300开头股票代码与行情 -0.9pp [-1.6, -0.2]*"
QUOTE_LOOKUP,查询可报价品种实时行情与价格,时间·随机层,2025搜索随机1w,2026搜索随机1w,1049,1667,0.0866,0.1069,False,"金融行情数据查询 +1.6pp [+0.2, +2.9]*；股票行情与选股建议查询 -1.4pp [-3.9, +1.0]；查询股票信息 -1.4pp [-4.2, +1.4]"
QUOTE_LOOKUP,查询可报价品种实时行情与价格,输入方式·头部层,助手头部1k,助手语音头部1k,456,700,0.2344,0.1387,True,"股票代码查询 +10.3pp [+8.1, +12.8]*；查询市场行情 -4.9pp [-8.7, -1.3]*；股指行情查询 -3.2pp [-6.3, -0.5]*"
PAGE_NAV,打开目标页面或获取官方应用入口,深度·搜索内,2026搜索,2026搜索随机1w,1591,320,0.513,0.1118,True,"证券股吧查询 -42.6pp [-47.6, -37.1]*；下载安装金融类App +13.2pp [+9.3, +17.9]*；查询财经门户与市场行情 +10.5pp [+6.8, +14.9]*"
PAGE_NAV,打开目标页面或获取官方应用入口,时间·头部层,2025搜索,2026搜索,1381,1591,0.1125,0.0591,True,"证券股吧查询 +8.7pp [+5.2, +12.2]*；下载安装金融类App -6.9pp [-8.9, -5.0]*；查询财经门户与市场行情 -2.2pp [-3.9, -0.6]*"
PAGE_NAV,打开目标页面或获取官方应用入口,时间·随机层,2025搜索随机1w,2026搜索随机1w,338,320,0.2093,0.1981,True,"下载安装金融类App -7.6pp [-13.8, -1.4]*；证券股吧查询 +6.7pp [+0.3, +13.0]*；查询财经门户与市场行情 +4.6pp [-0.4, +9.7]"
FX_CONVERT,查询汇率并换算外币金额,界面·头部层,2026搜索,助手头部1k,717,84,0.0689,0.1506,False,"货币兑换金额换算查询 +4.6pp [-4.3, +15.4]；货币兑换查询 -2.2pp [-7.5, +6.2]；查询美元兑日元汇率 -2.1pp [-6.2, +5.3]"
FX_CONVERT,查询汇率并换算外币金额,深度·搜索内,2026搜索,2026搜索随机1w,717,627,0.3963,0.0874,True,"查询人民币兑外币汇率 -31.3pp [-36.0, -26.3]*；货币兑换金额换算查询 +24.8pp [+19.8, +29.7]*；货币兑换查询 -6.9pp [-9.9, -4.0]*"
FX_CONVERT,查询汇率并换算外币金额,时间·头部层,2025搜索,2026搜索,985,717,0.118,0.0638,True,"货币兑换金额换算查询 -9.7pp [-13.8, -5.4]*；查询人民币兑外币汇率 +6.8pp [+2.0, +11.6]*；查询美元兑日元汇率 +3.0pp [+0.7, +5.5]*"
FX_CONVERT,查询汇率并换算外币金额,时间·随机层,2025搜索随机1w,2026搜索随机1w,584,627,0.0915,0.0962,False,"货币兑换金额换算查询 -7.1pp [-12.7, -1.5]*；货币兑换查询 +1.9pp [-0.3, +4.1]；查询金融业务数值与代码 +1.2pp [-0.2, +2.7]"
FX_CONVERT,查询汇率并换算外币金额,输入方式·头部层,助手头部1k,助手语音头部1k,84,74,0.1187,0.2031,False,"货币兑换金额换算查询 -9.8pp [-22.3, +3.4]；查询美元兑日元汇率 +4.9pp [-4.1, +14.6]；货币兑换查询 +2.6pp [-7.3, +13.1]"
RESOLVE_BARE_ENTITY,解析裸非可报价名称,界面·头部层,2026搜索,助手头部1k,414,73,0.4443,0.3142,True,"查询财经门户与市场行情 -13.0pp [-20.2, -2.8]*；证券股票信息查询 -10.5pp [-14.7, -3.2]*；查询借款平台正规性 +7.5pp [+2.9, +16.1]*"
RESOLVE_BARE_ENTITY,解析裸非可报价名称,深度·搜索内,2026搜索,2026搜索随机1w,414,411,0.2572,0.1895,True,"查询财经门户与市场行情 -7.8pp [-13.4, -2.2]*；证券股票信息查询 -6.7pp [-10.8, -2.6]*；查询借款平台正规性 +4.1pp [+2.0, +6.7]*"
RESOLVE_BARE_ENTITY,解析裸非可报价名称,时间·头部层,2025搜索,2026搜索,725,414,0.1673,0.1569,True,"证券股票信息查询 +5.7pp [+2.1, +9.7]*；查询财经门户与市场行情 +3.3pp [-1.8, +8.5]；查询贷款信息 -2.0pp [-4.2, +0.4]"
RESOLVE_BARE_ENTITY,解析裸非可报价名称,时间·随机层,2025搜索随机1w,2026搜索随机1w,472,411,0.1642,0.1863,False,"中国银行服务信息查询 -2.6pp [-4.9, -0.4]*；查询借款平台正规性 +2.5pp [+0.1, +5.3]*；基金净值查询 +2.4pp [-0.3, +5.4]"
RESOLVE_BARE_ENTITY,解析裸非可报价名称,输入方式·头部层,助手头部1k,助手语音头部1k,73,93,0.3467,0.4103,False,"证券股票信息查询 +8.0pp [-0.2, +16.2]；查询借款平台正规性 -7.1pp [-15.8, -0.7]*；查询保险相关业务 -6.4pp [-15.5, +1.2]"
OTHER_INTENT,其他非金融意图或无明确意图,界面·头部层,2026搜索,助手头部1k,97,59,0.2937,0.3151,False,"查询价格与金额 +12.5pp [+4.6, +23.5]*；查询财经门户与市场行情 -7.7pp [-17.0, +3.3]；银行信息查询 +5.7pp [-0.4, +15.2]"
OTHER_INTENT,其他非金融意图或无明确意图,界面·随机层,2026搜索随机1w,助手随机1k,529,100,0.4003,0.3341,True,"股票行情与选股建议查询 +14.8pp [+7.4, +24.1]*；查询保险相关业务 -6.9pp [-10.0, -1.4]*；查询财经门户与市场行情 -4.9pp [-8.5, +1.3]"
