sid,query,code
d000040,1000毫升的泻药可以一次性喝完吗,NK_XH
d000041,"100ml氯化钠注射液,3g头孢哌酮需要输多长时间",YP_GENERIC
d000104,11岁孩子每天吃多少克肉?,EK
d000106,11岁男孩呃男大约在多少斤,EK
d000141,12岁小孩还可以吃钙铁锌吗,EK
d000192,14周岁半的男孩身高应该有多少,EK
d000202,14岁女生偶尔尿床是怎么回事,EK
d000229,157cm男孩标准体重,EK
d000305,"19岁女孩大便出血,但身体没有感觉,是怎么回事",NK_XH
d000433,24小时尿蛋白定量多少算严重,NK_SN
d000465,2型糖尿酮症严重吗,NK_NF
d000545,35天喝药流产对身体伤害大吗,FCK_FK
d000548,35岁女性排卵期有点出血可以同房吗,FCK_FK
d000573,37.5度是低烧还是正常,QK
d000641,3岁孩子缝针多少钱?,JY
d000746,"48岁男,肚子一阵疼然后一会又不疼",NK_XH
d000795,"50岁女人四个月前查出腺肌症和一个卵巢囊肿,四个月后复查又查出一个囊肿用治",FCK_FK
d000814,50岁能用兰蔻粉水吗,FYL
d000828,53岁的人跑步时心率高到150会怎么样,NK_XX
d000859,59岁身体测出来是6O,WFPD
d000913,60岁以上老人1天喝多少水,YS
d000933,"60岁的男人,今年总是咳,咳嗽痰多,怎样治疗?",NK_HX
d000937,60岁的高血压患者平时每天都吃药血压稳定夏天枕什么样的凉席枕头最好,YS
d000954,6542是什么药,YP_GENERIC
d001025,72岁还可以同房吗,QK
d001055,7天速成6块腹肌每天练几个,YS
d001064,7岁小孩每天早上起来都打喷嚏,EK
d001085,80岁老人不吃食物长期输营养液能生荐多久,QK
d001139,903解放军医院,JY
d001156,999感冒灵颗粒儿童,EK
d001170,9分钟一公里算跑步还是步行,YS
d001226,BMI28.3,YS
d001234,B超怎么分左右,JC
d001259,CT分几种,JC
d001286,DX和CT哪个辐射大,JC
d001349,MDS分型哪个最好治,NK_XY
d001397,TG在医学上是什么简称,JC
d001404,TVTO手术的八个步骤,FCK_FK
d001421,abdl拉肚子,NK_XH
d001422,abpa,NK_HX
d001461,atp的作用与功效,YP_GENERIC
d001580,ct多久做一次才安全,JC
d001587,ct肺部平扫可以戴假牙吗,JC
d001604,c肽测定是什么意思,JC
d001642,d核糖升血糖吗,YS
d001660,ep病毒检查一般看什么项目,JC
d001687,gpa检查是什么意思,JC
d001792,hpv病毒热水多少度能杀死,PF_XB
d001814,hychate,WFPD
d001860,mri检查是什么检查,JC
d001872,n. 三酸甘油酯;甘油三酯(triglyceride 的复数) IELTS网络 三酸甘油脂 ; 甘油,FYL
d001904,omega-3的作用与功效,YS
d001907,otc标志代表什么,YP_GENERIC
d001912,o型血和什么血型生出A型血,QK
d001922,pcr技术具体指什么,JC
d002022,tfcc损伤中度损伤是什么感觉,WK_GK
d002051,vte医学上指什么,WK_PW
d002087,《圣医仁德》牌湿毒清软膏,PF
d002108,一个人血压、血氧、体温、血糖正常，大汗漓漓为什么,NK_NF
d002184,一到晚上就觉得肚子胀怎么回事,NK_XH
d002207,一只眼正常一只眼无神可以恢复吗,YK
d002235,一周岁宝宝可以吃头孢克肟颗粒吗,EK
d002237,一味中药治好重度抑郁,JS
d002278,一天吃多少克米饭,YS
d002320,一岁多宝宝刷牙不会吐口水怎么办,EK
d002338,"一年中会有几次腰肌收缩疼痛,有什么良方",WK_GK
d002413,一生气就会胃不舒服是什么原因,NK_XH
d002440,一直走动测量血压会偏高吗,NK_XX
d002465,一般医院的网络密码是多少,JY
d002488,一路安补中益气丸图片,NK_XH
d002524,丁苯肽氯化钠的疗程,NK_SJ
d002543,丁香的功效与作用,ZY
d002652,三七粉的主要功效和作用,ZY
d002679,三个甲鱼要吃几天,YS
d002817,三文鱼重度脂肪肝和尿酸高能吃吗,NK_XH
d002919,三豆饮的作用与功效,YS
d002950,三高可以吃牛羊肉吗,NK_XX
d002973,上个月9号来的例假，这个月几号来？,FCK_FK
d003024,上楼膝关节前面疼是怎么回事,WK_GK
d003054,上海全身拍片子要多少钱,JY
d003098,上海开元骨科路绳志,JY
d003099,上海张璐医生做那个提升三件套它是什么原理呢,MR
d003104,上海曙光医院东院,JY
d003133,上海肝胆医院怎么样？,JY
d003159,上火牙齿疼痛快速解决方法,KQ
d003355,不发烧就觉得身体特别燥热，想出汗,NK_NF
d003366,不同玉米的热量,YS
d003389,不小心吞了骨头胸口疼,JZ
d003402,不拉肚子但是肚子总是隐隐约约的疼怎么回事,NK_XH
d003404,不换金正气散和胃苓汤区别,ZY
d003462,不舒服后然后冒汗接着呕吐,NK_XH
d003463,不良体态背部拱起图片,KF
d003465,不规则结节什么意思,JC
d003523,丙田富硒黄瓜粉有什么功效和作用,YS
d003533,丙酸氟替卡松乳膏,PF
