key,类目,缺席快照,该快照n,其余快照条数,其余快照n,参照占比%,期望条数,P(0),该快照上界%,最高占比快照,最高占比%,判定
61,实时国际金价查询,助手语音1k,1000,164,21934,0.748,7.48,0.0006,0.368,助手头部1k,1.789,真缺席
67,银行信用卡客服电话查询,助手头部1k,950,172,21984,0.782,7.43,0.0006,0.388,助手语音1k,1.7,真缺席
62,金属行情报价查询,助手随机1k,987,85,21947,0.387,3.82,0.0217,0.373,助手头部1k,0.632,偏少但证据弱
62,金属行情报价查询,助手语音1k,1000,85,21934,0.388,3.88,0.0206,0.368,助手头部1k,0.632,偏少但证据弱
65,金融机构24小时人工客服电话查询,助手头部1k,950,162,21984,0.737,7.0,0.0009,0.388,2025搜索,1.04,真缺席
64,银行客服短号查询,助手语音1k,1000,128,21934,0.584,5.84,0.0029,0.368,2025搜索,0.62,真缺席
4,国际原油价格行情查询,助手随机1k,987,120,21947,0.547,5.4,0.0045,0.373,2025搜索,0.6,真缺席
77,个股资料与行情查询,助手语音1k,1000,324,21934,1.477,14.77,0.0,0.368,2026搜索,2.01,真缺席
68,数字串含义查询,助手头部1k,950,159,21984,0.723,6.87,0.001,0.388,2026搜索,0.81,真缺席
68,数字串含义查询,助手语音1k,1000,159,21934,0.725,7.25,0.0007,0.368,2026搜索,0.81,真缺席
52,能源资源类股票查询,助手语音1k,1000,166,21934,0.757,7.57,0.0005,0.368,2026搜索,0.91,真缺席
70,金融代码行情查询,助手头部1k,950,142,21984,0.646,6.14,0.0021,0.388,2026搜索,0.74,真缺席
70,金融代码行情查询,助手随机1k,987,142,21947,0.647,6.39,0.0017,0.373,2026搜索,0.74,真缺席
58,ST股票信息查询,助手头部1k,950,88,21984,0.4,3.8,0.0221,0.388,助手随机1k,0.709,偏少但证据弱
