快照,层级,n,类目数,有效类目数,熵,HHI,首位类目,首位占比%,前3占比%,前5占比%,前10占比%,前10流量占比%,前10流量摆动pp,前10流量占比%低,前10流量占比%高,流量有效n
2025搜索,自上而下 L1 意图,9998,18,5.57,1.7175,0.324,查询金融资产实时行情,54.24,73.64,85.6,95.54,96.85,0.0,96.85,96.85,149.3
2026搜索,自上而下 L1 意图,9999,18,3.91,1.364,0.4414,查询金融资产实时行情,64.36,84.89,91.03,97.37,98.53,0.0,98.53,98.53,111.5
助手头部1k,自上而下 L1 意图,950,18,6.59,1.886,0.2823,查询金融资产实时行情,50.42,69.05,80.32,93.26,94.08,0.0,94.08,94.08,110.6
助手随机1k,自上而下 L1 意图,987,18,9.61,2.2627,0.1408,寻求个股买卖与持有决策建议,27.96,54.2,69.91,93.92,93.7,0.0,93.7,93.7,535.5
助手语音1k,自上而下 L1 意图,1000,18,10.61,2.362,0.1141,查询金融资产实时行情,19.5,45.0,67.0,94.5,94.5,0.0,94.5,94.5,1000.0
2025搜索,自上而下 L2 子意图,9998,41,14.84,2.6973,0.1429,QUOTE_LOOKUP__2,32.36,54.24,62.91,76.48,83.75,0.0,83.75,83.75,149.3
2026搜索,自上而下 L2 子意图,9999,41,10.29,2.3316,0.2127,QUOTE_LOOKUP__2,42.05,64.36,71.53,84.34,90.64,0.0,90.64,90.64,111.5
助手头部1k,自上而下 L2 子意图,950,35,12.12,2.4952,0.1532,QUOTE_LOOKUP__2,31.58,59.26,70.0,82.32,83.75,0.0,83.75,83.75,110.6
助手随机1k,自上而下 L2 子意图,987,35,15.35,2.731,0.108,INVESTMENT_DECISION_ADVICE__1,24.32,46.81,58.46,77.1,73.83,0.0,73.83,73.83,535.5
助手语音1k,自上而下 L2 子意图,1000,38,20.18,3.0049,0.0667,QUOTE_LOOKUP__2,12.2,33.9,49.0,72.1,72.1,0.0,72.1,72.1,1000.0
2025搜索,自下而上 家族,9998,55,30.04,3.4026,0.0627,股票信息查询,18.47,36.22,45.9,58.63,56.76,0.0,56.76,56.76,149.3
2026搜索,自下而上 家族,9999,55,24.06,3.1807,0.0853,股票信息查询,22.75,41.98,51.38,66.96,65.03,0.0,65.03,65.03,111.5
助手头部1k,自下而上 家族,950,50,30.6,3.421,0.0513,股票信息查询,15.79,28.84,39.58,56.21,53.22,0.0,53.22,53.22,110.6
助手随机1k,自下而上 家族,987,52,20.14,3.0026,0.105,A股个股推荐与走势预测查询,28.17,42.25,53.09,71.02,70.29,0.0,70.29,70.29,535.5
助手语音1k,自下而上 家族,1000,49,25.93,3.2556,0.0528,汇率换算查询,11.1,29.1,40.9,64.3,64.3,0.0,64.3,64.3,1000.0
2025搜索,自下而上 叶,9998,68,35.12,3.5588,0.0603,股票信息查询,18.47,36.22,44.89,54.41,45.57,0.0,45.57,45.57,149.3
2026搜索,自下而上 叶,9999,68,27.48,3.3135,0.0834,股票信息查询,22.75,41.98,51.38,63.83,54.28,0.0,54.28,54.28,111.5
助手头部1k,自下而上 叶,950,63,35.8,3.578,0.048,股票信息查询,15.79,28.84,37.89,52.63,44.42,0.64,43.78,44.42,110.6
助手随机1k,自下而上 叶,987,65,23.81,3.1703,0.1009,A股个股推荐与走势预测,28.17,41.13,50.05,66.77,64.77,0.0,64.77,64.77,535.5
助手语音1k,自下而上 叶,1000,59,31.46,3.4486,0.0451,汇率换算查询,11.1,25.4,35.8,57.6,57.6,0.0,57.6,57.6,1000.0
