外层,a,b,n_a,n_b,内层TVD,同源噪声上界,超出噪声,a主导内层,a主导占比%,b主导内层,b主导占比%,主导是否相同
查询金融资产实时行情,2025搜索,2026搜索,5423,6435,0.0976,0.0457,True,股票信息查询,32.88,股票信息查询,34.08,True
查询金融资产实时行情,2025搜索,助手头部1k,5423,479,0.2472,0.1173,True,股票信息查询,32.88,股票信息查询,28.6,True
查询金融资产实时行情,2025搜索,助手随机1k,5423,86,0.4931,0.2676,True,股票信息查询,32.88,A股个股推荐与走势预测,17.44,False
查询金融资产实时行情,2025搜索,助手语音1k,5423,195,0.3669,0.1827,True,股票信息查询,32.88,股票信息查询,20.51,True
查询金融资产实时行情,2026搜索,助手头部1k,6435,479,0.2604,0.116,True,股票信息查询,34.08,股票信息查询,28.6,True
查询金融资产实时行情,2026搜索,助手随机1k,6435,86,0.4881,0.262,True,股票信息查询,34.08,A股个股推荐与走势预测,17.44,False
查询金融资产实时行情,2026搜索,助手语音1k,6435,195,0.391,0.1765,True,股票信息查询,34.08,股票信息查询,20.51,True
查询金融资产实时行情,助手头部1k,助手随机1k,479,86,0.4728,0.2995,True,股票信息查询,28.6,A股个股推荐与走势预测,17.44,False
查询金融资产实时行情,助手头部1k,助手语音1k,479,195,0.3292,0.2074,True,股票信息查询,28.6,股票信息查询,20.51,True
查询金融资产实时行情,助手随机1k,助手语音1k,86,195,0.4029,0.3278,True,A股个股推荐与走势预测,17.44,股票信息查询,20.51,False
查找官方渠道与客服入口,2025搜索,2026搜索,812,428,0.0928,0.1246,False,银行客服电话查询,17.73,银行客服电话查询,16.36,True
查找官方渠道与客服入口,2025搜索,助手头部1k,812,49,0.3492,0.2884,True,银行客服电话查询,17.73,金融类App下载,24.49,False
查找官方渠道与客服入口,2025搜索,助手随机1k,812,43,0.468,0.3122,True,银行客服电话查询,17.73,查询银行及业务信息,32.56,False
查找官方渠道与客服入口,2025搜索,助手语音1k,812,86,0.5707,0.2257,True,银行客服电话查询,17.73,查询银行及业务信息,33.72,False
查找官方渠道与客服入口,2026搜索,助手头部1k,428,49,0.3696,0.3068,True,银行客服电话查询,16.36,金融类App下载,24.49,False
查找官方渠道与客服入口,2026搜索,助手随机1k,428,43,0.4869,0.3287,True,银行客服电话查询,16.36,查询银行及业务信息,32.56,False
查找官方渠道与客服入口,2026搜索,助手语音1k,428,86,0.5715,0.2569,True,银行客服电话查询,16.36,查询银行及业务信息,33.72,False
查找官方渠道与客服入口,助手头部1k,助手随机1k,49,43,0.5287,0.4058,True,金融类App下载,24.49,查询银行及业务信息,32.56,False
查找官方渠道与客服入口,助手头部1k,助手语音1k,49,86,0.6505,0.3428,True,金融类App下载,24.49,查询银行及业务信息,33.72,False
查找官方渠道与客服入口,助手随机1k,助手语音1k,43,86,0.2791,0.3488,False,查询银行及业务信息,32.56,查询银行及业务信息,33.72,True
其他或无法判定的非金融查询,2025搜索,2026搜索,867,640,0.1927,0.1488,True,股票代码查询,11.53,股票代码查询,15.16,True
其他或无法判定的非金融查询,2025搜索,助手头部1k,867,90,0.5129,0.3166,True,股票代码查询,11.53,A股个股推荐与走势预测,7.78,False
其他或无法判定的非金融查询,2025搜索,助手随机1k,867,166,0.6364,0.2525,True,股票代码查询,11.53,A股个股推荐与走势预测,24.7,False
其他或无法判定的非金融查询,2025搜索,助手语音1k,867,120,0.5738,0.2857,True,股票代码查询,11.53,A股个股推荐与走势预测,15.0,False
其他或无法判定的非金融查询,2026搜索,助手头部1k,640,90,0.613,0.3144,True,股票代码查询,15.16,A股个股推荐与走势预测,7.78,False
其他或无法判定的非金融查询,2026搜索,助手随机1k,640,166,0.6902,0.2501,True,股票代码查询,15.16,A股个股推荐与走势预测,24.7,False
其他或无法判定的非金融查询,2026搜索,助手语音1k,640,120,0.6547,0.2787,True,股票代码查询,15.16,A股个股推荐与走势预测,15.0,False
其他或无法判定的非金融查询,助手头部1k,助手随机1k,90,166,0.4993,0.3789,True,A股个股推荐与走势预测,7.78,A股个股推荐与走势预测,24.7,True
其他或无法判定的非金融查询,助手头部1k,助手语音1k,90,120,0.4556,0.4057,True,A股个股推荐与走势预测,7.78,A股个股推荐与走势预测,15.0,True
其他或无法判定的非金融查询,助手随机1k,助手语音1k,166,120,0.4062,0.3396,True,A股个股推荐与走势预测,24.7,A股个股推荐与走势预测,15.0,True
获取每日答题活动答案,2025搜索,2026搜索,114,53,0.0088,0.0189,False,蚂蚁庄园今日答案查询,99.12,蚂蚁庄园今日答案查询,100.0,True
获取每日答题活动答案,2025搜索,助手头部1k,114,33,0.0215,0.0215,False,蚂蚁庄园今日答案查询,99.12,蚂蚁庄园今日答案查询,96.97,True
获取每日答题活动答案,2026搜索,助手头部1k,53,33,0.0303,0.0303,False,蚂蚁庄园今日答案查询,100.0,蚂蚁庄园今日答案查询,96.97,True
计算具体金额或利率,2025搜索,2026搜索,383,178,0.0615,0.0892,False,汇率换算查询,76.5,汇率换算查询,74.72,True
计算具体金额或利率,2025搜索,助手随机1k,383,45,0.4565,0.1782,True,汇率换算查询,76.5,银行存贷款利率与利息查询,35.56,False
计算具体金额或利率,2025搜索,助手语音1k,383,111,0.1024,0.1174,False,汇率换算查询,76.5,汇率换算查询,67.57,True
计算具体金额或利率,2026搜索,助手随机1k,178,45,0.4928,0.2098,True,汇率换算查询,74.72,银行存贷款利率与利息查询,35.56,False
计算具体金额或利率,2026搜索,助手语音1k,178,111,0.1118,0.1323,False,汇率换算查询,74.72,汇率换算查询,67.57,True
计算具体金额或利率,助手随机1k,助手语音1k,45,111,0.4012,0.2278,True,银行存贷款利率与利息查询,35.56,汇率换算查询,67.57,False
查询交易日程与市场状态,2025搜索,2026搜索,41,39,0.3408,0.2595,True,港股休市查询,82.93,港股休市查询,51.28,True
