key,类目,定义,全语料条数,全语料占比%,2025搜索_条数,2025搜索_占比%,2025搜索_95CI低%,2025搜索_95CI高%,2025搜索_流量占比%,2026搜索_条数,2026搜索_占比%,2026搜索_95CI低%,2026搜索_95CI高%,2026搜索_流量占比%,助手头部1k_条数,助手头部1k_占比%,助手头部1k_95CI低%,助手头部1k_95CI高%,助手头部1k_流量占比%,助手随机1k_条数,助手随机1k_占比%,助手随机1k_95CI低%,助手随机1k_95CI高%,助手随机1k_流量占比%,助手语音1k_条数,助手语音1k_占比%,助手语音1k_95CI低%,助手语音1k_95CI高%,助手语音1k_流量占比%,2025搜索_均衡归属%,2025搜索_指数,2025搜索_均衡指数,2026搜索_均衡归属%,2026搜索_指数,2026搜索_均衡指数,助手头部1k_均衡归属%,助手头部1k_指数,助手头部1k_均衡指数,助手随机1k_均衡归属%,助手随机1k_指数,助手随机1k_均衡指数,助手语音1k_均衡归属%,助手语音1k_指数,助手语音1k_均衡指数,出现快照数,缺席快照,独占快照,最高快照,最低快照,极差pp,最高比最低倍数,2025搜索_排名,2026搜索_排名,助手头部1k_排名,助手随机1k_排名,助手语音1k_排名,主导叶,主导叶占比%,代表串(流量最高，仅供辨识)
QUOTE_LOOKUP__2,QUOTE_LOOKUP__2,,7921,34.538,3235,32.356,31.446,33.28,34.953,4205,42.054,41.09,43.025,50.075,300,31.579,28.702,34.604,28.545,59,5.978,4.662,7.634,6.563,122,12.2,10.315,14.374,12.2,26.06,0.9368,1.3029,33.87,1.2176,1.6934,25.43,0.9143,1.2716,4.81,0.1731,0.2407,9.83,0.3532,0.4913,5,,,2026搜索,助手随机1k,36.076,7.04,1,1,1,3,1,股票信息查询,52.6,上证指数 / 上证指数 / 美股
QUOTE_LOOKUP__1,QUOTE_LOOKUP__1,,3377,14.725,1556,15.563,14.866,16.287,31.024,1553,15.532,14.835,16.255,29.619,175,18.421,16.085,21.012,27.463,25,2.533,1.721,3.712,3.541,68,6.8,5.399,8.531,6.8,26.45,1.0569,1.3223,26.39,1.0548,1.3196,31.3,1.251,1.5651,4.3,0.172,0.2152,11.56,0.4618,0.5778,5,,,助手头部1k,助手随机1k,15.888,7.27,2,2,2,12,5,汇率换算查询,28.8,今日金价 / 今日金价 / 今日金价
QUOTE_LOOKUP__3,QUOTE_LOOKUP__3,,1320,5.756,632,6.321,5.861,6.815,2.689,677,6.771,6.295,7.28,2.4,4,0.421,0.164,1.078,0.18,2,0.203,0.056,0.736,0.173,5,0.5,0.214,1.165,0.5,44.47,1.0983,2.2234,47.63,1.1764,2.3814,2.96,0.0732,0.1481,1.43,0.0352,0.0713,3.52,0.0869,0.1759,5,,,2026搜索,助手随机1k,6.568,33.41,3,3,26,28,23,股票代码查询,91.3,600206历史资金流向 / 300瑞 / 600986
OTHER_OR_NOISE__1,OTHER_OR_NOISE__1,,1129,4.923,501,5.011,4.6,5.456,4.964,262,2.62,2.325,2.952,2.248,88,9.263,7.58,11.274,9.044,163,16.515,14.329,18.96,14.508,115,11.5,9.668,13.626,11.5,11.16,1.0179,0.5579,5.83,0.5323,0.2917,20.63,1.8817,1.0313,36.77,3.3547,1.8387,25.61,2.3361,1.2804,5,,,助手随机1k,2026搜索,13.894,6.3,4,8,3,2,2,查询银行及业务信息,9.2,paypal / 拍拍贷 / 新浪财经
OTHER_OR_NOISE__2,OTHER_OR_NOISE__2,,754,3.288,366,3.661,3.31,4.047,1.464,378,3.78,3.424,4.172,1.403,2,0.211,0.058,0.764,0.238,3,0.304,0.103,0.89,0.259,5,0.5,0.214,1.165,0.5,43.29,1.1135,2.1647,44.71,1.1499,2.2354,2.49,0.064,0.1245,3.59,0.0925,0.1797,5.91,0.1521,0.2957,5,,,2026搜索,助手头部1k,3.57,17.96,5,4,31,27,23,股票代码查询,25.2,路征 / 1665 / 2460
STOCK_FORUM_VISIT__3,STOCK_FORUM_VISIT__3,,643,2.804,298,2.981,2.665,3.332,1.316,339,3.39,3.053,3.763,1.298,2,0.211,0.058,0.764,0.916,0,0.0,0.0,0.388,0.0,4,0.4,0.156,1.024,0.4,42.69,1.0631,2.1347,48.56,1.2092,2.4281,3.02,0.0751,0.1508,0.0,0.0,0.0,5.73,0.1427,0.2865,4,助手随机1k,,2026搜索,助手随机1k,3.39,inf,7,5,31,36,27,股票股吧查询,85.4,股市信息上百度 / 10转10送10股派10元 / 永辉超市股吧
STOCK_FORUM_VISIT__6,STOCK_FORUM_VISIT__6,,595,2.594,272,2.721,2.419,3.058,1.18,320,3.2,2.873,3.564,1.117,0,0.0,0.0,0.403,0.0,1,0.101,0.018,0.572,0.086,2,0.2,0.055,0.726,0.2,43.72,1.0486,2.1862,51.43,1.2335,2.5717,0.0,0.0,0.0,1.63,0.0391,0.0814,3.21,0.0771,0.1607,4,助手头部1k,,2026搜索,助手头部1k,3.2,inf,9,6,36,31,33,股票股吧查询,82.4,中信建投股吧 / 中国铝业股吧 / 上工申贝股吧
AMOUNT_CALCULATION__1,AMOUNT_CALCULATION__1,,576,2.512,311,3.111,2.788,3.469,1.794,151,1.51,1.289,1.768,0.527,15,1.579,0.959,2.589,0.56,16,1.621,1.0,2.617,1.554,83,8.3,6.746,10.174,8.3,19.3,1.2385,0.9648,9.37,0.6013,0.4684,9.79,0.6287,0.4897,10.06,0.6454,0.5028,51.49,3.3047,2.5743,5,,,助手语音1k,2026搜索,6.79,5.5,6,12,13,15,4,汇率换算查询,91.1,5000万美金等于多少人民币？ / 6000泰铢是多少人民币 / 1800元港币折合人民币是多少
OFFICIAL_CHANNEL_LOOKUP__2,OFFICIAL_CHANNEL_LOOKUP__2,,483,2.106,295,2.951,2.637,3.301,3.733,156,1.56,1.335,1.822,1.192,7,0.737,0.357,1.513,0.224,5,0.507,0.217,1.18,0.432,20,2.0,1.298,3.069,2.0,38.05,1.401,1.9026,20.12,0.7408,1.006,9.5,0.3499,0.4751,6.53,0.2405,0.3267,25.79,0.9496,1.2896,5,,,2025搜索,助手随机1k,2.444,5.82,8,11,19,23,15,银行客服电话查询,47.4,工商银行客户电话 / 中信银行信用卡中心电话 / 农业银行客服电话
STOCK_FORUM_VISIT__2,STOCK_FORUM_VISIT__2,,464,2.023,180,1.8,1.558,2.08,0.631,283,2.83,2.523,3.174,0.743,0,0.0,0.0,0.403,0.0,0,0.0,0.0,0.388,0.0,1,0.1,0.018,0.564,0.1,38.06,0.8899,1.9029,59.83,1.3989,2.9914,0.0,0.0,0.0,0.0,0.0,0.0,2.11,0.0494,0.1057,3,助手头部1k / 助手随机1k,,2026搜索,助手头部1k,2.83,inf,10,7,36,36,37,股票股吧查询,95.0,300144股吧 / 旋极信息(300324)股吧 / 多氟多(002407)股吧
