key,类目,全语料条数,2025搜索_n,2025搜索_置信度均值,2025搜索_意图歧义%,2025搜索_聚类歧义%,2026搜索_n,2026搜索_置信度均值,2026搜索_意图歧义%,2026搜索_聚类歧义%,助手头部1k_n,助手头部1k_置信度均值,助手头部1k_意图歧义%,助手头部1k_聚类歧义%,助手随机1k_n,助手随机1k_置信度均值,助手随机1k_意图歧义%,助手随机1k_聚类歧义%,助手语音1k_n,助手语音1k_置信度均值,助手语音1k_意图歧义%,助手语音1k_聚类歧义%,置信度最低快照,置信度极差,全语料置信度均值
BORROWING_CHANNEL_SEEK__1,BORROWING_CHANNEL_SEEK__1,30,18,0.4829,11.11,5.56,6,0.4411,0.0,0.0,1,0.5355,0.0,0.0,1,0.3806,0.0,0.0,4,0.2188,0.0,0.0,,,0.4376
PLATFORM_LEGITIMACY_CHECK__1,PLATFORM_LEGITIMACY_CHECK__1,110,68,0.4933,7.35,5.88,24,0.5008,8.33,4.17,16,0.4636,12.5,0.0,1,0.4369,0.0,0.0,1,0.199,100.0,0.0,2025搜索,0.0075,0.4874
CREDIT_PRODUCT_RULE_CHECK__1,CREDIT_PRODUCT_RULE_CHECK__1,182,65,0.5346,1.54,3.08,16,0.5686,0.0,6.25,10,0.4802,0.0,0.0,55,0.4908,1.82,9.09,36,0.5048,0.0,5.56,助手随机1k,0.0438,0.5155
PRODUCT_COMPARISON__1,PRODUCT_COMPARISON__1,94,20,0.5522,10.0,0.0,8,0.5379,0.0,0.0,18,0.6231,0.0,0.0,38,0.549,0.0,13.16,10,0.4128,10.0,0.0,助手随机1k,0.0032,0.5484
OTHER_OR_NOISE__1,OTHER_OR_NOISE__1,1129,501,0.5925,2.2,8.58,262,0.6082,2.67,9.54,88,0.5779,3.41,10.23,163,0.5227,7.98,12.27,115,0.5193,1.74,17.39,助手语音1k,0.0889,0.5775
MARKET_NEWS_EVENT__1,MARKET_NEWS_EVENT__1,208,66,0.7167,1.52,19.7,54,0.7211,1.85,11.11,6,0.5335,16.67,16.67,56,0.5196,7.14,12.5,26,0.4535,7.69,19.23,助手语音1k,0.2676,0.6266
ACCOUNT_INCIDENT_RESOLUTION__1,ACCOUNT_INCIDENT_RESOLUTION__1,184,37,0.6063,8.11,2.7,22,0.6385,9.09,4.55,58,0.7517,0.0,1.72,30,0.4916,3.33,16.67,37,0.565,2.7,0.0,助手随机1k,0.2601,0.629
ACCOUNT_OPERATION_HOWTO__1,ACCOUNT_OPERATION_HOWTO__1,357,121,0.7087,0.83,4.13,52,0.6829,3.85,1.92,23,0.5603,8.7,4.35,59,0.5745,0.0,6.78,102,0.6044,2.94,11.76,助手头部1k,0.1484,0.6434
AMOUNT_CALCULATION__2,AMOUNT_CALCULATION__2,160,72,0.6917,1.39,2.78,27,0.6846,3.7,3.7,4,0.6712,0.0,0.0,29,0.5621,3.45,6.9,28,0.6107,0.0,3.57,助手随机1k,0.1296,0.6523
FINANCE_TERM_EXPLANATION__3,FINANCE_TERM_EXPLANATION__3,160,95,0.7179,0.0,3.16,23,0.7221,0.0,4.35,4,0.5173,0.0,0.0,15,0.5453,0.0,13.33,23,0.5599,4.35,8.7,助手语音1k,0.1622,0.6746
FINANCE_TERM_EXPLANATION__5,FINANCE_TERM_EXPLANATION__5,99,53,0.7338,0.0,11.32,21,0.6722,0.0,9.52,0,,,,8,0.5212,0.0,12.5,17,0.5675,0.0,5.88,2026搜索,0.0616,0.675
INVESTMENT_DECISION_ADVICE__1,INVESTMENT_DECISION_ADVICE__1,421,33,0.6073,9.09,18.18,37,0.6111,2.7,21.62,44,0.7766,0.0,2.27,240,0.6991,0.83,10.83,67,0.6222,2.99,13.43,2025搜索,0.1693,0.6801
FINANCE_TERM_EXPLANATION__2,FINANCE_TERM_EXPLANATION__2,114,56,0.7442,0.0,5.36,17,0.8323,0.0,0.0,5,0.5638,0.0,0.0,16,0.5543,0.0,6.25,20,0.5774,0.0,5.0,助手语音1k,0.1668,0.6935
SCHEDULE_AND_MARKET_STATUS_LOOKUP__1,SCHEDULE_AND_MARKET_STATUS_LOOKUP__1,93,41,0.807,0.0,0.0,39,0.6659,2.56,5.13,4,0.3952,0.0,25.0,4,0.5743,25.0,0.0,5,0.5982,0.0,0.0,2026搜索,0.1411,0.7089
OFFICIAL_CHANNEL_LOOKUP__4,OFFICIAL_CHANNEL_LOOKUP__4,291,136,0.7017,2.94,2.94,66,0.7709,1.52,1.52,5,0.5515,0.0,0.0,26,0.6409,3.85,0.0,58,0.7086,3.45,3.45,助手随机1k,0.13,0.7107
PLATFORM_LEGITIMACY_CHECK__2,PLATFORM_LEGITIMACY_CHECK__2,191,127,0.7458,2.36,6.3,41,0.7181,4.88,7.32,7,0.8314,0.0,14.29,13,0.488,7.69,23.08,3,0.4719,0.0,0.0,2026搜索,0.0277,0.7212
INVESTMENT_DECISION_ADVICE__3,INVESTMENT_DECISION_ADVICE__3,165,47,0.7982,0.0,0.0,65,0.7589,0.0,3.08,18,0.6007,5.56,0.0,20,0.7434,0.0,10.0,15,0.5384,0.0,20.0,助手随机1k,0.0548,0.7309
FINANCE_TERM_EXPLANATION__4,FINANCE_TERM_EXPLANATION__4,146,77,0.7465,2.6,3.9,23,0.8268,4.35,0.0,5,0.7766,0.0,0.0,22,0.608,18.18,0.0,19,0.756,0.0,0.0,助手随机1k,0.2188,0.7406
INVESTMENT_DECISION_ADVICE__2,INVESTMENT_DECISION_ADVICE__2,62,5,0.6446,0.0,20.0,8,0.7686,0.0,0.0,25,0.7822,4.0,4.0,16,0.6885,0.0,6.25,8,0.7701,0.0,12.5,助手头部1k,,0.7436
