key,类目,全语料条数,2025搜索_n,2025搜索_置信度均值,2025搜索_意图歧义%,2025搜索_聚类歧义%,2026搜索_n,2026搜索_置信度均值,2026搜索_意图歧义%,2026搜索_聚类歧义%,助手头部1k_n,助手头部1k_置信度均值,助手头部1k_意图歧义%,助手头部1k_聚类歧义%,助手随机1k_n,助手随机1k_置信度均值,助手随机1k_意图歧义%,助手随机1k_聚类歧义%,助手语音1k_n,助手语音1k_置信度均值,助手语音1k_意图歧义%,助手语音1k_聚类歧义%,置信度最低快照,置信度极差,全语料置信度均值
28,查询资金产品安全性及存取借贷规则,267,89,0.5901,4.49,13.48,33,0.5896,9.09,12.12,12,0.6376,0.0,0.0,77,0.5166,2.6,16.88,56,0.4872,1.79,19.64,助手语音1k,0.1029,0.5494
92,查询车险险种与保费理赔范围,170,54,0.6717,0.0,11.11,19,0.7165,0.0,5.26,4,0.4339,0.0,25.0,48,0.453,4.17,16.67,45,0.4877,6.67,6.67,助手随机1k,0.2187,0.5607
94,保险信息查询,233,135,0.5822,4.44,2.22,58,0.6047,6.9,1.72,18,0.5523,11.11,0.0,9,0.5596,0.0,22.22,13,0.5015,0.0,15.38,2025搜索,0.0225,0.5801
79,贷款信息查询与办理,213,104,0.6056,0.0,3.85,36,0.6586,0.0,2.78,14,0.622,0.0,0.0,28,0.5007,3.57,0.0,31,0.5523,3.23,3.23,助手随机1k,0.1579,0.5941
90,查询银行及业务信息,347,158,0.6126,4.43,1.27,84,0.6452,2.38,2.38,15,0.6291,0.0,0.0,38,0.5762,2.63,10.53,52,0.6172,3.85,5.77,助手随机1k,0.069,0.6179
1,A股个股推荐与走势预测,510,52,0.6735,1.92,32.69,45,0.5551,2.22,22.22,48,0.666,0.0,6.25,278,0.6345,4.32,10.43,87,0.5694,2.3,9.2,2026搜索,0.1184,0.6233
76,财经网站查询,171,98,0.6133,2.04,7.14,55,0.6554,0.0,10.91,9,0.7023,0.0,0.0,5,0.4829,0.0,0.0,4,0.6831,0.0,25.0,2025搜索,0.0421,0.6294
88,银行服务信息查询,157,55,0.6424,5.45,3.64,23,0.6315,4.35,8.7,38,0.625,0.0,0.0,12,0.5983,0.0,8.33,29,0.6827,0.0,3.45,助手头部1k,0.0577,0.6407
7,金融术语与行情原因查询,226,79,0.6978,2.53,7.59,57,0.6195,1.75,7.02,10,0.6407,0.0,10.0,51,0.5844,3.92,1.96,29,0.6292,3.45,0.0,助手随机1k,0.1134,0.6411
80,银行存贷款利率与利息查询,322,178,0.6653,2.81,5.62,56,0.6335,5.36,3.57,13,0.7008,0.0,7.69,38,0.6222,0.0,5.26,37,0.5837,0.0,5.41,助手语音1k,0.0816,0.6467
29,个人征信查询与信用报告获取,103,56,0.6224,1.79,1.79,28,0.7272,0.0,0.0,5,0.6893,0.0,0.0,10,0.617,10.0,0.0,4,0.5656,0.0,0.0,2025搜索,0.1048,0.6514
24,银行卡业务办理与异常处理,199,95,0.6979,0.0,1.05,25,0.7576,0.0,0.0,10,0.7451,0.0,10.0,21,0.5435,0.0,0.0,48,0.597,6.25,6.25,助手随机1k,0.2141,0.6671
91,查询农业银行及农村金融机构信息,131,48,0.6822,2.08,6.25,19,0.7288,0.0,5.26,28,0.6509,7.14,0.0,14,0.6003,0.0,7.14,22,0.6795,4.55,9.09,助手头部1k,0.0313,0.6731
25,电子支付工具使用查询,212,101,0.7127,0.99,5.94,45,0.7342,2.22,11.11,10,0.594,0.0,0.0,13,0.6822,0.0,0.0,43,0.6069,0.0,4.65,助手语音1k,0.1273,0.6883
26,查询金融业务办理与资金问题处理方法,161,58,0.6972,6.9,5.17,34,0.7226,5.88,5.88,9,0.8025,0.0,0.0,28,0.5804,0.0,7.14,32,0.7321,0.0,3.12,助手随机1k,0.1517,0.6951
58,加密货币交易所App官方下载地址查询,136,90,0.7202,2.22,5.56,32,0.6817,3.12,6.25,9,0.6627,11.11,11.11,4,0.3909,0.0,0.0,1,0.4792,0.0,0.0,2026搜索,0.0385,0.6959
27,借款平台正规性查询,142,94,0.7433,3.19,2.13,29,0.7208,6.9,0.0,9,0.5245,11.11,0.0,6,0.5354,0.0,16.67,4,0.4567,0.0,0.0,2026搜索,0.0225,0.708
