key,类目,定义,全语料条数,全语料占比%,2025搜索_条数,2025搜索_占比%,2025搜索_95CI低%,2025搜索_95CI高%,2025搜索_流量占比%,2026搜索_条数,2026搜索_占比%,2026搜索_95CI低%,2026搜索_95CI高%,2026搜索_流量占比%,助手头部1k_条数,助手头部1k_占比%,助手头部1k_95CI低%,助手头部1k_95CI高%,助手头部1k_流量占比%,助手随机1k_条数,助手随机1k_占比%,助手随机1k_95CI低%,助手随机1k_95CI高%,助手随机1k_流量占比%,助手语音1k_条数,助手语音1k_占比%,助手语音1k_95CI低%,助手语音1k_95CI高%,助手语音1k_流量占比%,2025搜索_均衡归属%,2025搜索_指数,2025搜索_均衡指数,2026搜索_均衡归属%,2026搜索_指数,2026搜索_均衡指数,助手头部1k_均衡归属%,助手头部1k_指数,助手头部1k_均衡指数,助手随机1k_均衡归属%,助手随机1k_指数,助手随机1k_均衡指数,助手语音1k_均衡归属%,助手语音1k_指数,助手语音1k_均衡指数,出现快照数,缺席快照,独占快照,最高快照,最低快照,极差pp,最高比最低倍数,2025搜索_排名,2026搜索_排名,助手头部1k_排名,助手随机1k_排名,助手语音1k_排名,主导意图,主导意图占比%,家族内部一致,家族审计意见
11,股票信息查询,用户输入股票名称或代码后，查询该股票的基本信息、行情或公司资料。,4364,19.029,1847,18.474,17.725,19.246,16.601,2275,22.752,21.941,23.584,23.647,150,15.789,13.609,18.245,10.165,40,4.053,2.99,5.471,4.404,52,5.2,3.987,6.756,5.2,27.88,0.9708,1.3939,34.33,1.1957,1.7167,23.83,0.8298,1.1913,6.12,0.213,0.3058,7.85,0.2733,0.3923,5,,,2026搜索,助手随机1k,18.7,5.61,1,1,1,6,6,查询金融资产实时行情,95.5,是,
6,股票股吧查询,用户输入某只股票的名称或代码，希望找到并进入该股票对应的股吧讨论区页面或直达入口。,2318,10.107,969,9.692,9.127,10.287,3.985,1313,13.131,12.483,13.807,4.788,6,0.632,0.29,1.371,0.395,7,0.709,0.344,1.457,0.691,23,2.3,1.537,3.428,2.3,36.62,0.9589,1.8312,49.62,1.2992,2.481,2.39,0.0625,0.1193,2.68,0.0702,0.134,8.69,0.2276,0.4346,5,,,2026搜索,助手头部1k,12.5,20.79,2,2,37,24,14,进入个股股吧讨论区,94.5,是,
3,汇率换算查询,用户输入两个币种或金额（如人民币兑美元、300万韩元等于多少人民币），希望获得对应的汇率数值或换算结果。,1555,6.78,805,8.052,7.534,8.601,11.832,559,5.591,5.157,6.058,6.194,60,6.316,4.938,8.045,3.96,20,2.026,1.316,3.109,1.9,111,11.1,9.3,13.198,11.1,24.34,1.1875,1.2168,16.9,0.8245,0.8449,19.09,0.9315,0.9545,6.12,0.2989,0.3062,33.55,1.6371,1.6775,5,,,助手语音1k,助手随机1k,9.074,5.48,3,4,3,12,1,查询金融资产实时行情,62.6,是,
51,股票代码查询#51,用户输入六位数字股票代码后，获得该代码对应的股票行情或证券基本信息。,1226,5.346,605,6.051,5.601,6.536,2.555,610,6.101,5.648,6.587,2.261,1,0.105,0.019,0.594,0.084,4,0.405,0.158,1.037,0.345,6,0.6,0.275,1.303,0.6,45.63,1.132,2.2813,46.0,1.1412,2.3,0.79,0.0197,0.0397,3.06,0.0758,0.1528,4.52,0.1122,0.2262,5,,,2026搜索,助手头部1k,5.995,57.96,4,3,50,35,29,查询金融资产实时行情,97.1,是,
49,股票行情查询,用户想查询股票市场或特定个股的实时/最新行情与价格数据，获得相应市场指数或个股价格、走势信息后即满足。,784,3.419,262,2.621,2.325,2.952,3.787,380,3.8,3.443,4.193,5.639,64,6.737,5.311,8.511,9.713,33,3.343,2.39,4.658,3.368,45,4.5,3.38,5.968,4.5,12.48,0.7666,0.6239,18.1,1.1117,0.9048,32.08,1.9707,1.6039,15.92,0.978,0.796,21.43,1.3164,1.0714,5,,,助手头部1k,2025搜索,4.116,2.57,6,5,2,9,9,查询金融资产实时行情,86.1,是,
18,财经网站与证券股票信息查询,用户输入财经网站、证券公司、证券股票或相关个股/板块名称后，希望获取对应对象的官方网站入口、行情资讯、公司资料或股吧等公开信息。,783,3.414,363,3.631,3.282,4.016,4.991,372,3.72,3.367,4.109,4.549,19,2.0,1.284,3.103,1.681,17,1.722,1.078,2.741,2.85,12,1.2,0.688,2.086,1.2,29.58,1.0634,1.4791,30.31,1.0897,1.5156,16.3,0.5858,0.8148,14.03,0.5045,0.7017,9.78,0.3515,0.4889,5,,,2026搜索,助手语音1k,2.52,3.1,5,6,14,15,20,查询金融资产实时行情,49.3,是,
17,股票与指数行情查询,用户查询股票或市场指数的最新行情、走势及相关消息，或查询港股特定日期的休市安排。,655,2.856,259,2.591,2.297,2.921,7.702,308,3.08,2.759,3.437,8.409,54,5.684,4.382,7.343,7.48,18,1.824,1.157,2.864,1.727,16,1.6,0.987,2.583,1.6,17.53,0.907,0.8764,20.84,1.0785,1.0421,38.46,1.9903,1.9231,12.34,0.6385,0.617,10.83,0.5602,0.5413,5,,,助手头部1k,助手语音1k,4.084,3.55,7,8,4,13,19,查询金融资产实时行情,82.7,否,港股休市查询不属于行情查询，而是查询港股休市日期及安排，与其余三片叶子以行情、走势为核心的意图不一致。
21,科技类股票行情查询,用户输入某家科技公司或股票简称后，获得该股票的价格行情、走势或最新消息即满足。,635,2.769,238,2.38,2.099,2.698,1.503,354,3.54,3.196,3.921,4.435,22,2.316,1.534,3.481,1.835,10,1.013,0.551,1.855,1.123,11,1.1,0.615,1.959,1.1,23.0,0.8597,1.15,34.21,1.2787,1.7104,22.38,0.8364,1.1188,9.79,0.3659,0.4895,10.63,0.3973,0.5314,5,,,2026搜索,助手随机1k,2.527,3.49,10,7,12,18,23,查询金融资产实时行情,95.1,是,
7,个人金融支付与征信业务查询,用户希望查询或办理个人金融、电子支付及征信相关业务，获取具体的操作步骤、办理规则或官方查询入口。,555,2.42,256,2.561,2.269,2.889,1.846,124,1.24,1.041,1.477,0.665,26,2.737,1.874,3.98,2.435,56,5.674,4.395,7.296,6.304,93,9.3,7.652,11.259,9.3,11.9,1.0581,0.5952,5.77,0.5125,0.2883,12.72,1.1309,0.6361,26.38,2.3445,1.3188,43.23,3.843,2.1617,5,,,助手语音1k,2026搜索,8.06,7.5,9,15,11,4,2,获取银行或支付账户操作指引,44.7,是,
23,保险信息查询,用户想查询保险（含车险）的险种、保障范围、保费变化、理赔规则或保险公司联系方式等具体信息，获得答案后即满足。,522,2.276,258,2.581,2.287,2.91,1.953,111,1.11,0.923,1.335,0.564,29,3.053,2.134,4.35,5.184,62,6.282,4.931,7.971,7.427,62,6.2,4.866,7.869,6.2,13.42,1.1337,0.6711,5.77,0.4877,0.2887,15.88,1.3412,0.7939,32.67,2.7598,1.6337,32.25,2.724,1.6125,5,,,助手随机1k,2026搜索,5.172,5.66,8,16,9,3,4,查找官方渠道与客服入口,28.4,是,
