key,类目,缺席快照,该快照n,其余快照条数,其余快照n,参照占比%,期望条数,P(0),该快照上界%,最高占比快照,最高占比%,判定
OFFICIAL_CHANNEL_LOOKUP__3,OFFICIAL_CHANNEL_LOOKUP__3,助手语音1k,1000,173,21934,0.789,7.89,0.0004,0.368,助手头部1k,1.158,真缺席
STOCK_FORUM_VISIT__6,STOCK_FORUM_VISIT__6,助手头部1k,950,595,21984,2.707,25.71,0.0,0.388,2026搜索,3.2,真缺席
STOCK_FORUM_VISIT__3,STOCK_FORUM_VISIT__3,助手随机1k,987,643,21947,2.93,28.92,0.0,0.373,2026搜索,3.39,真缺席
FINANCE_TERM_EXPLANATION__5,FINANCE_TERM_EXPLANATION__5,助手头部1k,950,99,21984,0.45,4.28,0.0137,0.388,助手语音1k,1.7,偏少但证据弱
CHART_LOOKUP__1,CHART_LOOKUP__1,助手随机1k,987,62,21947,0.282,2.79,0.0613,0.373,助手头部1k,0.316,不可判定（样本量不足）
STOCK_FORUM_VISIT__5,STOCK_FORUM_VISIT__5,助手头部1k,950,297,21984,1.351,12.83,0.0,0.388,2026搜索,1.86,真缺席
STOCK_FORUM_VISIT__5,STOCK_FORUM_VISIT__5,助手随机1k,987,297,21947,1.353,13.36,0.0,0.373,2026搜索,1.86,真缺席
STOCK_FORUM_VISIT__5,STOCK_FORUM_VISIT__5,助手语音1k,1000,297,21934,1.354,13.54,0.0,0.368,2026搜索,1.86,真缺席
STOCK_FORUM_VISIT__4,STOCK_FORUM_VISIT__4,助手头部1k,950,389,21984,1.769,16.81,0.0,0.388,2026搜索,2.3,真缺席
STOCK_FORUM_VISIT__4,STOCK_FORUM_VISIT__4,助手随机1k,987,389,21947,1.772,17.49,0.0,0.373,2026搜索,2.3,真缺席
STOCK_FORUM_VISIT__4,STOCK_FORUM_VISIT__4,助手语音1k,1000,389,21934,1.774,17.74,0.0,0.368,2026搜索,2.3,真缺席
STOCK_FORUM_VISIT__1,STOCK_FORUM_VISIT__1,助手头部1k,950,111,21984,0.505,4.8,0.0082,0.388,2026搜索,0.55,偏少但证据弱
STOCK_FORUM_VISIT__1,STOCK_FORUM_VISIT__1,助手随机1k,987,111,21947,0.506,4.99,0.0067,0.373,2026搜索,0.55,偏少但证据弱
STOCK_FORUM_VISIT__2,STOCK_FORUM_VISIT__2,助手头部1k,950,464,21984,2.111,20.05,0.0,0.388,2026搜索,2.83,真缺席
STOCK_FORUM_VISIT__2,STOCK_FORUM_VISIT__2,助手随机1k,987,464,21947,2.114,20.87,0.0,0.373,2026搜索,2.83,真缺席
