key,类目,全语料条数,2025搜索_n,2025搜索_置信度均值,2025搜索_意图歧义%,2025搜索_聚类歧义%,2026搜索_n,2026搜索_置信度均值,2026搜索_意图歧义%,2026搜索_聚类歧义%,助手头部1k_n,助手头部1k_置信度均值,助手头部1k_意图歧义%,助手头部1k_聚类歧义%,助手随机1k_n,助手随机1k_置信度均值,助手随机1k_意图歧义%,助手随机1k_聚类歧义%,助手语音1k_n,助手语音1k_置信度均值,助手语音1k_意图歧义%,助手语音1k_聚类歧义%,置信度最低快照,置信度极差,全语料置信度均值
BORROWING_CHANNEL_SEEK,寻求应急或无征信门槛借款渠道,30,18,0.4829,11.11,5.56,6,0.4411,0.0,0.0,1,0.5355,0.0,0.0,1,0.3806,0.0,0.0,4,0.2188,0.0,0.0,,,0.4376
CREDIT_PRODUCT_RULE_CHECK,判定信贷产品账单与征信规则,182,65,0.5346,1.54,3.08,16,0.5686,0.0,6.25,10,0.4802,0.0,0.0,55,0.4908,1.82,9.09,36,0.5048,0.0,5.56,助手随机1k,0.0438,0.5155
PRODUCT_COMPARISON,比较同类金融产品并择优,94,20,0.5522,10.0,0.0,8,0.5379,0.0,0.0,18,0.6231,0.0,0.0,38,0.549,0.0,13.16,10,0.4128,10.0,0.0,助手随机1k,0.0032,0.5484
MARKET_NEWS_EVENT,获取市场动态与事件公告,208,66,0.7167,1.52,19.7,54,0.7211,1.85,11.11,6,0.5335,16.67,16.67,56,0.5196,7.14,12.5,26,0.4535,7.69,19.23,助手语音1k,0.2676,0.6266
ACCOUNT_INCIDENT_RESOLUTION,处置账户异常与非预期扣款,184,37,0.6063,8.11,2.7,22,0.6385,9.09,4.55,58,0.7517,0.0,1.72,30,0.4916,3.33,16.67,37,0.565,2.7,0.0,助手随机1k,0.2601,0.629
PLATFORM_LEGITIMACY_CHECK,核实金融平台真伪与合法性,301,195,0.6578,4.1,6.15,65,0.6379,6.15,6.15,23,0.5755,8.7,4.35,14,0.4844,7.14,21.43,4,0.4036,25.0,0.0,助手头部1k,0.0823,0.6357
OTHER_OR_NOISE,其他或无法判定的非金融查询,1883,867,0.6868,1.73,7.96,640,0.7285,1.56,6.56,90,0.5806,3.33,10.0,166,0.5196,7.83,12.05,120,0.5285,1.67,17.5,助手随机1k,0.2089,0.6711
ACCOUNT_OPERATION_HOWTO,获取银行或支付账户操作指引,519,208,0.7469,0.96,5.77,83,0.7309,3.61,6.02,24,0.5635,8.33,4.17,69,0.5966,0.0,7.25,135,0.634,2.22,11.11,助手头部1k,0.1834,0.6865
INVESTMENT_DECISION_ADVICE,寻求个股买卖与持有决策建议,648,85,0.7151,3.53,8.24,110,0.7099,0.91,9.09,87,0.7418,2.3,2.3,276,0.7017,0.72,10.51,90,0.6214,2.22,14.44,助手语音1k,0.1204,0.6991
SCHEDULE_AND_MARKET_STATUS_LOOKUP,查询交易日程与市场状态,93,41,0.807,0.0,0.0,39,0.6659,2.56,5.13,4,0.3952,0.0,25.0,4,0.5743,25.0,0.0,5,0.5982,0.0,0.0,2026搜索,0.1411,0.7089
FINANCE_TERM_EXPLANATION,解释金融术语与基础规则,725,354,0.7465,0.85,6.5,154,0.7684,1.3,5.19,15,0.6512,0.0,0.0,93,0.5875,5.38,9.68,109,0.6252,1.83,6.42,助手随机1k,0.1809,0.7106
AMOUNT_CALCULATION,计算具体金额或利率,736,383,0.8803,0.78,2.61,178,0.8688,1.12,2.81,19,0.7315,0.0,15.79,45,0.6274,4.44,4.44,111,0.7969,2.7,1.8,助手随机1k,0.2529,0.8456
OFFICIAL_CHANNEL_LOOKUP,查找官方渠道与客服入口,1418,812,0.8643,0.86,3.08,428,0.8687,0.93,3.27,49,0.7775,0.0,4.08,43,0.6767,2.33,4.65,86,0.7654,2.33,4.65,助手随机1k,0.192,0.8509
CHART_LOOKUP,查询历史价格走势图,338,116,0.8736,1.72,7.76,186,0.8764,1.08,5.91,24,0.7923,0.0,8.33,6,0.519,0.0,16.67,6,0.5908,0.0,16.67,助手头部1k,0.0841,0.8581
PHONE_NUMBER_IDENTIFICATION,识别陌生电话号码归属,244,121,0.8886,0.0,1.65,109,0.8538,0.0,2.75,8,0.6852,0.0,0.0,2,0.4021,0.0,0.0,4,0.9072,0.0,0.0,2026搜索,0.0348,0.8627
DAILY_QUIZ_ANSWER,获取每日答题活动答案,214,114,0.9015,0.88,0.0,53,0.908,0.0,0.0,33,0.9533,0.0,0.0,2,0.8694,0.0,0.0,12,0.7301,0.0,0.0,2025搜索,0.0518,0.9012
QUOTE_LOOKUP,查询金融资产实时行情,12618,5423,0.9364,0.31,7.82,6435,0.9444,0.22,7.74,479,0.9224,0.21,8.14,86,0.668,0.0,16.28,195,0.8281,0.0,10.26,助手随机1k,0.2764,0.9365
STOCK_FORUM_VISIT,进入个股股吧讨论区,2499,1073,0.9647,0.0,6.52,1413,0.9676,0.0,6.51,2,0.3897,0.0,50.0,1,0.9042,0.0,0.0,10,0.9554,0.0,10.0,2025搜索,0.0029,0.9658
