key,类目,全语料条数,2025搜索_n,2025搜索_置信度均值,2025搜索_意图歧义%,2025搜索_聚类歧义%,2026搜索_n,2026搜索_置信度均值,2026搜索_意图歧义%,2026搜索_聚类歧义%,助手头部1k_n,助手头部1k_置信度均值,助手头部1k_意图歧义%,助手头部1k_聚类歧义%,助手随机1k_n,助手随机1k_置信度均值,助手随机1k_意图歧义%,助手随机1k_聚类歧义%,助手语音1k_n,助手语音1k_置信度均值,助手语音1k_意图歧义%,助手语音1k_聚类歧义%,置信度最低快照,置信度极差,全语料置信度均值
46,查询资金产品安全性及存取借贷规则,267,89,0.5901,4.49,13.48,33,0.5896,9.09,12.12,12,0.6376,0.0,0.0,77,0.5166,2.6,16.88,56,0.4872,1.79,19.64,助手语音1k,0.1029,0.5494
47,贷款信息查询与办理,213,104,0.6056,0.0,3.85,36,0.6586,0.0,2.78,14,0.622,0.0,0.0,28,0.5007,3.57,0.0,31,0.5523,3.23,3.23,助手随机1k,0.1579,0.5941
22,银行及业务信息查询,347,158,0.6126,4.43,1.27,84,0.6452,2.38,2.38,15,0.6291,0.0,0.0,38,0.5762,2.63,10.53,52,0.6172,3.85,5.77,助手随机1k,0.069,0.6179
44,A股个股推荐与走势预测查询,510,52,0.6735,1.92,32.69,45,0.5551,2.22,22.22,48,0.666,0.0,6.25,278,0.6345,4.32,10.43,87,0.5694,2.3,9.2,2026搜索,0.1184,0.6233
23,保险信息查询,522,258,0.6626,2.33,4.65,111,0.6941,3.6,2.7,29,0.5717,6.9,6.9,62,0.483,3.23,17.74,62,0.5141,4.84,9.68,助手随机1k,0.2111,0.6253
79,银行服务信息查询,157,55,0.6424,5.45,3.64,23,0.6315,4.35,8.7,38,0.625,0.0,0.0,12,0.5983,0.0,8.33,29,0.6827,0.0,3.45,助手头部1k,0.0577,0.6407
76,金融术语与行情原因查询,226,79,0.6978,2.53,7.59,57,0.6195,1.75,7.02,10,0.6407,0.0,10.0,51,0.5844,3.92,1.96,29,0.6292,3.45,0.0,助手随机1k,0.1134,0.6411
19,银行存贷款利率与利息查询,322,178,0.6653,2.81,5.62,56,0.6335,5.36,3.57,13,0.7008,0.0,7.69,38,0.6222,0.0,5.26,37,0.5837,0.0,5.41,助手语音1k,0.0816,0.6467
45,银行卡业务办理与异常处理,199,95,0.6979,0.0,1.05,25,0.7576,0.0,0.0,10,0.7451,0.0,10.0,21,0.5435,0.0,0.0,48,0.597,6.25,6.25,助手随机1k,0.2141,0.6671
48,查询农业银行及农村金融机构信息,131,48,0.6822,2.08,6.25,19,0.7288,0.0,5.26,28,0.6509,7.14,0.0,14,0.6003,0.0,7.14,22,0.6795,4.55,9.09,助手头部1k,0.0313,0.6731
7,个人金融支付与征信业务查询,555,256,0.6923,2.73,4.3,124,0.7243,3.23,6.45,26,0.6851,0.0,0.0,56,0.6137,1.79,5.36,93,0.6666,0.0,4.3,助手随机1k,0.1106,0.6869
39,加密货币交易所App官方下载地址查询,136,90,0.7202,2.22,5.56,32,0.6817,3.12,6.25,9,0.6627,11.11,11.11,4,0.3909,0.0,0.0,1,0.4792,0.0,0.0,2026搜索,0.0385,0.6959
42,借款平台正规性查询,142,94,0.7433,3.19,2.13,29,0.7208,6.9,0.0,9,0.5245,11.11,0.0,6,0.5354,0.0,16.67,4,0.4567,0.0,0.0,2026搜索,0.0225,0.708
62,金属行情报价查询,85,38,0.7044,5.26,0.0,41,0.7313,2.44,0.0,6,0.6749,0.0,0.0,0,,,,0,,,,2025搜索,0.0269,0.7153
40,查询A股股票及板块信息,288,126,0.728,0.79,15.87,135,0.7657,0.74,13.33,11,0.6494,9.09,0.0,7,0.382,14.29,28.57,9,0.6104,0.0,33.33,2025搜索,0.0377,0.7306
1,板块与基金核心数据查询,286,81,0.7736,0.0,0.0,150,0.8013,0.67,0.0,17,0.6774,5.88,0.0,18,0.6609,0.0,0.0,20,0.5737,0.0,10.0,助手语音1k,0.2276,0.7614
64,银行客服短号查询,128,62,0.7812,1.61,6.45,60,0.7624,0.0,1.67,5,0.6059,0.0,0.0,1,0.3064,0.0,0.0,0,,,,2026搜索,0.0188,0.7618
50,货币兑换查询,409,200,0.7741,1.5,4.5,166,0.7601,2.41,2.41,22,0.7315,0.0,4.55,4,0.7494,0.0,0.0,17,0.7216,0.0,5.88,助手头部1k,0.0426,0.7637
72,股票代码查询#72,208,93,0.7904,0.0,4.3,99,0.7867,1.01,4.04,2,0.7765,0.0,50.0,7,0.698,0.0,28.57,7,0.6711,0.0,28.57,2026搜索,0.0037,0.7814
71,数字代码查询,162,79,0.7936,2.53,13.92,77,0.7927,0.0,6.49,2,0.3255,0.0,50.0,2,0.3608,0.0,0.0,2,0.7685,0.0,0.0,2026搜索,0.0009,0.7817
