code,name,definition,user_need,risk,expected_share,positive_examples,negative_examples,n_rules
QUOTE_LOOKUP,查询金融资产实时行情,用户想查看某只股票、指数、商品、期货或货币对的最新价格、涨跌幅与当日行情，而不是历史曲线、新闻或操作建议。,页面直接给出所问对象的最新价格、涨跌幅和当日走势即满足。,False,0.5,小米股票 / 比亚迪股票 / 300324 / 今日上证指数实时行情,黄金价格走势图 → CHART_LOOKUP / 彩虹股份股票还能持有吗 → INVESTMENT_DECISION_ADVICE / 国轩高科股吧 → STOCK_FORUM_VISIT,7
STOCK_FORUM_VISIT,进入个股股吧讨论区,用户想打开某只股票在股吧等讨论区的页面，浏览其他投资者的讨论与情绪，而非看报价或新闻。,成功进入该股票的股吧页面并能浏览最新帖子即满足。,False,0.08,国轩高科股吧 / 中际旭创股吧 / 600711盛屯矿业股吧 / 300485 赛升药业股吧,小米股票 → QUOTE_LOOKUP / 东方财富网首页 → OFFICIAL_CHANNEL_LOOKUP / 彩虹股份股票还能持有吗 → INVESTMENT_DECISION_ADVICE,1
AMOUNT_CALCULATION,计算具体金额或利率,用户给出具体金额、本金、期限、汇率等条件，想得到一个算好的数值结果，而不是仅查当前牌价或看行情。,拿到按当前牌价或给定条件算出的具体钱数、利息或利率即满足。,False,0.05,15000日元等于多少人民币 / 100港币等于多少人民币 / 385亿韩元等于多少人民币 / 100万存银行一年利息多少,美元对人民币汇率今日 → QUOTE_LOOKUP / 利息怎么计算 → FINANCE_TERM_EXPLANATION / 圣泉发债一签能赚多少 → INVESTMENT_DECISION_ADVICE,2
CHART_LOOKUP,查询历史价格走势图,用户想看某资产的历史价格曲线或长期走势数据，用来了解过去走势，而不是获取当前实时报价。,页面直接展示可查看的价格曲线或历史行情数据即可满足。,False,0.01,黄金价格走势图 / 美元兑人民币走势图 / 大盘实时走势图 / 欧元汇率走势,伦敦金实时行情 → QUOTE_LOOKUP / 今日金价实时查询 → QUOTE_LOOKUP / 股市行情最新消息今天 → MARKET_NEWS_EVENT,1
MARKET_NEWS_EVENT,获取市场动态与事件公告,用户想了解关于某市场、公司或政策的最新动态、事件进展或公告内容，预期答案随时间变化，而不是一个报价数字。,页面给出最近的事件内容或公告进展即满足。,False,0.03,股市行情最新消息今天 / 7月1号存款新规 / 2026优青最新公告 / 旋极信息参股公司对赌完成,今日金价多少钱一克 → QUOTE_LOOKUP / 2026年9月股指期指交割日 → SCHEDULE_AND_MARKET_STATUS_LOOKUP / 蚂蚁庄园今日答案 → DAILY_QUIZ_ANSWER,1
SCHEDULE_AND_MARKET_STATUS_LOOKUP,查询交易日程与市场状态,用户想确认某市场的开休市状态、某交易日的盘面走势形态，或某金融事件的确定日期，答案是一个具体事实而非实时报价或新闻流。,拿到确定的日期、开休市状态或交易日表现判断即满足。,False,0.03,今天香港股市休市吗? / 8月1号美股交易是低开高走了吗 / 豪26发债上市时间 / 南芯发债什么时候上市,今日上证指数实时行情 → QUOTE_LOOKUP / 股市行情最新消息今天 → MARKET_NEWS_EVENT / 7月1号存款新规 → MARKET_NEWS_EVENT,1
FINANCE_TERM_EXPLANATION,解释金融术语与基础规则,用户想要一个金融概念、交易规则、符号或险种区别的通俗解释，不涉及当前价格、操作步骤或具体产品真伪判断。,得到该术语或基础规则的清楚解释即满足。,False,0.03,涨停是什么意思 / 股票前加了XD代表什么 / 利息怎么计算 / 融资租赁是什么意思,花呗上征信吗 → CREDIT_PRODUCT_RULE_CHECK / 北证指数50c和北证50指数a和北证50指数增强c区别是什么 → PRODUCT_COMPARISON / 微保是正规保险吗 → PLATFORM_LEGITIMACY_CHECK,3
ACCOUNT_OPERATION_HOWTO,获取银行或支付账户操作指引,用户想知道如何在银行、支付或金融App中完成某项具体操作，或某业务的具体办理规定和入口。,拿到可照做的分步操作指引或明确规则答案即满足。,False,0.03,支付宝账号在哪里看 / 支付宝银行卡怎么解除绑定 / 银行开户行怎么查 / 存折可以在自动取款机上取钱吗,宝付从银行卡突然扣款怎么追回 → ACCOUNT_INCIDENT_RESOLUTION / 招商银行客服电话 → OFFICIAL_CHANNEL_LOOKUP / 银行周末上班吗 → OFFICIAL_CHANNEL_LOOKUP,2
ACCOUNT_INCIDENT_RESOLUTION,处置账户异常与非预期扣款,用户遭遇扣款、冻结、只收不付、还款划扣失败等账户资金事故，想排查原因并获得可执行的处置路径。,拿到针对该事故的原因判断和可执行处置步骤即满足。,True,0.025,宝付从银行卡突然扣款怎么追回 / 农业银行卡扣50元怎么回事 / 三角洲账号被冻结了怎么解冻 / 银行卡异常状态是怎么解除,支付宝银行卡怎么解除绑定 → ACCOUNT_OPERATION_HOWTO / 建设银行信用卡客服电话是多少 → OFFICIAL_CHANNEL_LOOKUP / 花呗上征信吗 → CREDIT_PRODUCT_RULE_CHECK,1
OFFICIAL_CHANNEL_LOOKUP,查找官方渠道与客服入口,用户想直达某机构或产品的官方客服电话、官网、登录入口、App下载或网点营业时间，是导航需求而不是了解或解释该机构。,拿到经验证的官方电话、官网、入口链接或营业时间答复即满足。,False,0.04,建设银行信用卡客服电话是多少 / 江苏银行客服电话 / 招商银行客服电话 / 平安车险电话号码,95555是哪个银行电话 → PHONE_NUMBER_IDENTIFICATION / 支付宝账号在哪里看 → ACCOUNT_OPERATION_HOWTO / 信用飞靠谱吗 → PLATFORM_LEGITIMACY_CHECK,3
