source,td_l1_name,U01,U02,U03,U04,U05,U06,U07,U08,U09,U10,U11,U12,U13
2026search,其他或无法判定的非金融查询,57,480,15,1,4,2,1,6,2,0,0,2,70
2026search,判定信贷产品账单与征信规则,0,0,12,1,3,0,0,0,0,0,0,0,0
2026search,处置账户异常与非预期扣款,0,0,0,0,4,15,3,0,0,0,0,0,0
2026search,寻求个股买卖与持有决策建议,0,0,13,7,11,0,21,58,0,0,0,0,0
2026search,寻求应急或无征信门槛借款渠道,2,1,0,0,0,2,0,1,0,0,0,0,0
2026search,查找官方渠道与客服入口,186,30,204,0,1,3,0,3,0,0,0,1,0
2026search,查询交易日程与市场状态,0,0,28,0,10,1,0,0,0,0,0,0,0
2026search,查询历史价格走势图,0,0,166,1,8,0,0,0,11,0,0,0,0
2026search,查询金融资产实时行情,37,3427,2907,2,19,1,3,29,3,0,0,0,7
2026search,核实金融平台真伪与合法性,7,15,1,9,27,1,1,4,0,0,0,0,0
2026search,比较同类金融产品并择优,0,0,1,0,0,0,1,6,0,0,0,0,0
2026search,获取市场动态与事件公告,0,0,19,2,32,0,0,1,0,0,0,0,0
2026search,获取每日答题活动答案,1,0,0,0,0,0,0,0,51,0,0,0,1
2026search,获取银行或支付账户操作指引,3,0,3,1,1,75,0,0,0,0,0,0,0
2026search,解释金融术语与基础规则,1,5,23,97,1,10,3,14,0,0,0,0,0
2026search,计算具体金额或利率,14,0,163,0,0,1,0,0,0,0,0,0,0
2026search,识别陌生电话号码归属,0,26,52,3,28,0,0,0,0,0,0,0,0
2026search,进入个股股吧讨论区,1413,0,0,0,0,0,0,0,0,0,0,0,0
assistant_random,其他或无法判定的非金融查询,1,10,24,16,19,9,25,12,7,0,5,1,37
assistant_random,判定信贷产品账单与征信规则,0,0,19,7,11,6,9,1,0,0,0,0,2
assistant_random,处置账户异常与非预期扣款,0,0,4,2,3,10,9,0,0,0,0,0,2
assistant_random,寻求个股买卖与持有决策建议,0,0,28,12,27,5,156,33,0,0,3,0,12
assistant_random,寻求应急或无征信门槛借款渠道,0,0,0,0,0,0,0,1,0,0,0,0,0
assistant_random,查找官方渠道与客服入口,5,1,16,0,2,11,2,4,1,0,0,0,1
assistant_random,查询交易日程与市场状态,0,0,2,0,0,0,0,1,0,0,0,0,1
assistant_random,查询历史价格走势图,0,0,4,1,1,0,0,0,0,0,0,0,0
assistant_random,查询金融资产实时行情,0,7,51,3,4,0,10,4,2,0,0,1,4
assistant_random,核实金融平台真伪与合法性,0,1,0,2,6,1,1,3,0,0,0,0,0
assistant_random,比较同类金融产品并择优,0,0,8,4,1,0,15,9,0,0,0,0,1
assistant_random,获取市场动态与事件公告,0,0,15,4,23,2,3,6,1,0,0,0,2
assistant_random,获取每日答题活动答案,0,1,0,0,0,0,0,0,1,0,0,0,0
assistant_random,获取银行或支付账户操作指引,1,0,10,1,0,49,5,0,0,0,0,1,2
assistant_random,解释金融术语与基础规则,0,3,15,37,9,11,3,6,0,1,1,0,7
assistant_random,计算具体金额或利率,0,0,35,1,0,3,3,0,0,0,0,0,3
assistant_random,识别陌生电话号码归属,0,0,0,0,1,1,0,0,0,0,0,0,0
assistant_random,进入个股股吧讨论区,1,0,0,0,0,0,0,0,0,0,0,0,0
assistant_top,其他或无法判定的非金融查询,11,37,11,0,6,3,4,2,0,1,0,0,15
assistant_top,判定信贷产品账单与征信规则,0,0,7,1,0,2,0,0,0,0,0,0,0
assistant_top,处置账户异常与非预期扣款,0,0,1,21,13,13,7,0,0,0,0,0,3
assistant_top,寻求个股买卖与持有决策建议,0,0,7,1,7,0,54,11,0,0,0,0,7
assistant_top,寻求应急或无征信门槛借款渠道,0,0,0,0,0,1,0,0,0,0,0,0,0
assistant_top,查找官方渠道与客服入口,28,7,9,0,1,1,0,3,0,0,0,0,0
assistant_top,查询交易日程与市场状态,0,0,1,0,0,0,0,0,0,0,0,0,3
assistant_top,查询历史价格走势图,0,0,15,0,2,0,1,0,4,0,0,0,2
assistant_top,查询金融资产实时行情,3,210,244,2,3,0,0,10,0,0,0,0,7
assistant_top,核实金融平台真伪与合法性,6,6,0,1,5,0,0,4,0,0,0,0,1
assistant_top,比较同类金融产品并择优,0,0,4,2,2,0,4,6,0,0,0,0,0
assistant_top,获取市场动态与事件公告,0,0,2,0,4,0,0,0,0,0,0,0,0
assistant_top,获取每日答题活动答案,0,0,0,0,0,0,0,0,33,0,0,0,0
assistant_top,获取银行或支付账户操作指引,0,0,1,1,1,15,4,0,0,0,0,0,2
assistant_top,解释金融术语与基础规则,0,8,1,3,0,0,1,1,0,0,0,0,1
assistant_top,计算具体金额或利率,3,0,11,1,1,0,0,0,0,0,0,0,3
assistant_top,识别陌生电话号码归属,0,0,1,0,5,0,2,0,0,0,0,0,0
assistant_top,进入个股股吧讨论区,1,0,0,1,0,0,0,0,0,0,0,0,0
