td_l1_name,share%_2025search,share%_2026search,share%_assistant_random,share%_assistant_top,share%_assistant_voice,index_2025search,index_2026search,index_assistant_random,index_assistant_top,index_assistant_voice
其他或无法判定的非金融查询,8.67,6.4,16.82,9.47,12.0,1.0562,0.7796,2.0484,1.1538,1.4615
判定信贷产品账单与征信规则,0.65,0.16,5.57,1.05,3.6,0.8192,0.2016,7.0219,1.3264,4.5364
处置账户异常与非预期扣款,0.37,0.22,3.04,6.11,3.7,0.4613,0.2742,3.7885,7.6097,4.6117
寻求个股买卖与持有决策建议,0.85,1.1,27.96,9.16,9.0,0.3009,0.3894,9.8968,3.2412,3.1853
寻求应急或无征信门槛借款渠道,0.18,0.06,0.1,0.11,0.4,1.3763,0.4587,0.7745,0.8047,3.0579
查找官方渠道与客服入口,8.12,4.28,4.36,5.16,8.6,1.3135,0.6923,0.7046,0.8342,1.3909
查询交易日程与市场状态,0.41,0.39,0.41,0.42,0.5,1.0113,0.9618,0.9994,1.0383,1.233
查询历史价格走势图,1.16,1.86,0.61,2.53,0.6,0.7872,1.2622,0.4125,1.7142,0.4071
查询金融资产实时行情,54.24,64.36,8.71,50.42,19.5,0.9859,1.1697,0.1584,0.9164,0.3544
核实金融平台真伪与合法性,1.95,0.65,1.42,2.42,0.4,1.4861,0.4953,1.0807,1.8447,0.3048
比较同类金融产品并择优,0.2,0.08,3.85,1.89,1.0,0.4881,0.1952,9.3933,4.6228,2.4398
获取市场动态与事件公告,0.66,0.54,5.67,0.63,2.6,0.7279,0.5955,6.2559,0.6964,2.8667
获取每日答题活动答案,1.14,0.53,0.2,3.47,1.2,1.222,0.568,0.2172,3.7227,1.286
获取银行或支付账户操作指引,2.08,0.83,6.99,2.53,13.5,0.9193,0.3668,3.0892,1.1163,5.9655
解释金融术语与基础规则,3.54,1.54,9.42,1.58,10.9,1.12,0.4872,2.9806,0.4995,3.448
计算具体金额或利率,3.83,1.78,4.56,2.0,11.1,1.1937,0.5547,1.4207,0.6232,3.4588
识别陌生电话号码归属,1.21,1.09,0.2,0.84,0.4,1.1375,1.0246,0.1905,0.7915,0.376
进入个股股吧讨论区,10.73,14.13,0.1,0.21,1.0,0.9849,1.2969,0.0093,0.0193,0.0918
