td_l1_name,2025search,2026search,assistant_random,assistant_top,assistant_voice
其他或无法判定的非金融查询,642.8325732170858,365.1004915391413,1476.6839378238342,928.2747093380527,1200.0
判定信贷产品账单与征信规则,24.763229744363052,4.124226397820456,526.7702936096719,62.74119411056215,360.0
处置账户异常与非预期扣款,16.49398266376089,6.078966546320138,259.0673575129533,938.6598825062065,370.0
寻求个股买卖与持有决策建议,48.911953537909824,45.53535055786724,2910.1899827288426,402.37937221935454,900.0
寻求应急或无征信门槛借款渠道,9.579863394214346,5.509063432602625,17.271157167530223,3.0725364402821818,40.0
查找官方渠道与客服入口,939.9307450557,392.39802473966853,405.87219343696023,680.5053707936976,860.0
查询交易日程与市场状态,46.21653508161307,23.07786409123075,51.81347150259067,21.44630435316963,50.0
查询历史价格走势图,79.61128603854844,135.9673196814159,69.08462867012089,123.20871125531549,60.0
查询金融资产实时行情,6866.567389541628,8209.467201158088,1027.6338514680483,5618.808839072832,1950.0
核实金融平台真伪与合法性,119.19931729254365,25.541020222016265,189.98272884283244,228.53526042818868,40.0
比较同类金融产品并择优,11.289846754332885,2.5099597681439576,423.1433506044905,156.14630189514048,100.0
获取市场动态与事件公告,37.42551433653511,29.621196137617012,544.041450777202,42.03229850306025,260.0
获取每日答题活动答案,120.21813601180446,50.236821816441825,17.271157167530223,185.94990536587764,120.0
获取银行或支付账户操作指引,83.67543304123075,26.730383241948466,734.0241796200345,194.30720448344516,1350.0
解释金融术语与基础规则,172.72068367681783,57.25186110993082,854.922279792746,149.44817245532533,1090.0
计算具体金额或利率,239.85144040442157,66.945720353406,466.321243523316,107.29297249465378,1110.0
识别陌生电话号码归属,106.39484319464952,48.88318720656528,17.271157167530223,65.6293783644274,40.0
进入个股股吧讨论区,434.3172270128408,505.02134199977627,8.635578583765112,91.56158592040902,100.0
