domain,source,frame,label,share
金融,2026search,统一13类,裸实体,0.3984
金融,2026search,统一13类,事实与数值,0.3607
金融,2026search,统一13类,导航直达,0.1721
金融,2026search,统一13类,核实与动态,0.0149
金融,2026search,统一13类,解释与介绍,0.0124
金融,2026search,统一13类,清单与推荐,0.0122
金融,2026search,统一13类,办事与操作,0.0111
金融,2026search,统一13类,无法判定,0.0078
金融,2026search,统一13类,获取现成内容,0.0067
金融,2026search,统一13类,个案判断与建议,0.0033
金融,2026search,统一13类,违规或灰色内容,0.0003
金融,2026search,本次挖掘,查询金融资产实时行情,0.6436
金融,2026search,本次挖掘,进入个股股吧讨论区,0.1413
金融,2026search,本次挖掘,其他或无法判定的非金融查询,0.064
金融,2026search,本次挖掘,查找官方渠道与客服入口,0.0428
金融,2026search,本次挖掘,查询历史价格走势图,0.0186
金融,2026search,本次挖掘,计算具体金额或利率,0.0178
金融,2026search,本次挖掘,解释金融术语与基础规则,0.0154
金融,2026search,本次挖掘,寻求个股买卖与持有决策建议,0.011
金融,2026search,本次挖掘,识别陌生电话号码归属,0.0109
金融,2026search,本次挖掘,获取银行或支付账户操作指引,0.0083
金融,2026search,本次挖掘,核实金融平台真伪与合法性,0.0065
金融,2026search,本次挖掘,获取市场动态与事件公告,0.0054
金融,2026search,本次挖掘,获取每日答题活动答案,0.0053
金融,2026search,本次挖掘,查询交易日程与市场状态,0.0039
金融,2026search,本次挖掘,处置账户异常与非预期扣款,0.0022
金融,2026search,本次挖掘,判定信贷产品账单与征信规则,0.0016
金融,2026search,本次挖掘,比较同类金融产品并择优,0.0008
金融,2026search,本次挖掘,寻求应急或无征信门槛借款渠道,0.0006
金融,assistant_random,统一13类,个案判断与建议,0.2442
金融,assistant_random,统一13类,事实与数值,0.234
金融,assistant_random,统一13类,办事与操作,0.1094
金融,assistant_random,统一13类,核实与动态,0.1084
金融,assistant_random,统一13类,解释与介绍,0.0912
金融,assistant_random,统一13类,清单与推荐,0.0811
金融,assistant_random,统一13类,无法判定,0.075
金融,assistant_random,统一13类,裸实体,0.0233
金融,assistant_random,统一13类,获取现成内容,0.0122
金融,assistant_random,统一13类,会话与系统指令,0.0091
金融,assistant_random,统一13类,导航直达,0.0081
金融,assistant_random,统一13类,违规或灰色内容,0.003
金融,assistant_random,统一13类,生成与编辑,0.001
金融,assistant_random,本次挖掘,寻求个股买卖与持有决策建议,0.2796
金融,assistant_random,本次挖掘,其他或无法判定的非金融查询,0.1682
金融,assistant_random,本次挖掘,解释金融术语与基础规则,0.0942
金融,assistant_random,本次挖掘,查询金融资产实时行情,0.0871
金融,assistant_random,本次挖掘,获取银行或支付账户操作指引,0.0699
金融,assistant_random,本次挖掘,获取市场动态与事件公告,0.0567
金融,assistant_random,本次挖掘,判定信贷产品账单与征信规则,0.0557
金融,assistant_random,本次挖掘,计算具体金额或利率,0.0456
金融,assistant_random,本次挖掘,查找官方渠道与客服入口,0.0436
金融,assistant_random,本次挖掘,比较同类金融产品并择优,0.0385
金融,assistant_random,本次挖掘,处置账户异常与非预期扣款,0.0304
金融,assistant_random,本次挖掘,核实金融平台真伪与合法性,0.0142
金融,assistant_random,本次挖掘,查询历史价格走势图,0.0061
金融,assistant_random,本次挖掘,查询交易日程与市场状态,0.0041
金融,assistant_random,本次挖掘,识别陌生电话号码归属,0.002
金融,assistant_random,本次挖掘,获取每日答题活动答案,0.002
金融,assistant_random,本次挖掘,进入个股股吧讨论区,0.001
金融,assistant_random,本次挖掘,寻求应急或无征信门槛借款渠道,0.001
金融,assistant_top,统一13类,事实与数值,0.3316
金融,assistant_top,统一13类,裸实体,0.2821
金融,assistant_top,统一13类,个案判断与建议,0.0811
金融,assistant_top,统一13类,导航直达,0.0547
金融,assistant_top,统一13类,核实与动态,0.0526
金融,assistant_top,统一13类,无法判定,0.0463
金融,assistant_top,统一13类,清单与推荐,0.0389
金融,assistant_top,统一13类,获取现成内容,0.0389
金融,assistant_top,统一13类,办事与操作,0.0368
金融,assistant_top,统一13类,解释与介绍,0.0358
金融,assistant_top,统一13类,生成与编辑,0.0011
金融,assistant_top,本次挖掘,查询金融资产实时行情,0.5042
金融,assistant_top,本次挖掘,其他或无法判定的非金融查询,0.0947
金融,assistant_top,本次挖掘,寻求个股买卖与持有决策建议,0.0916
金融,assistant_top,本次挖掘,处置账户异常与非预期扣款,0.0611
金融,assistant_top,本次挖掘,查找官方渠道与客服入口,0.0516
金融,assistant_top,本次挖掘,获取每日答题活动答案,0.0347
金融,assistant_top,本次挖掘,查询历史价格走势图,0.0253
金融,assistant_top,本次挖掘,获取银行或支付账户操作指引,0.0253
金融,assistant_top,本次挖掘,核实金融平台真伪与合法性,0.0242
金融,assistant_top,本次挖掘,计算具体金额或利率,0.02
金融,assistant_top,本次挖掘,比较同类金融产品并择优,0.0189
金融,assistant_top,本次挖掘,解释金融术语与基础规则,0.0158
金融,assistant_top,本次挖掘,判定信贷产品账单与征信规则,0.0105
金融,assistant_top,本次挖掘,识别陌生电话号码归属,0.0084
金融,assistant_top,本次挖掘,获取市场动态与事件公告,0.0063
金融,assistant_top,本次挖掘,查询交易日程与市场状态,0.0042
金融,assistant_top,本次挖掘,进入个股股吧讨论区,0.0021
金融,assistant_top,本次挖掘,寻求应急或无征信门槛借款渠道,0.0011
