new_td,了解金融术语与规则,办理操作与账户问题求助,查找机构客服联系方式,查看价格走势图,查询市场日历与未定状态,查询标的实时行情与牌价,核验机构/平台正规性,离域或无法判定的兜底,获取市场资讯与事件动态,获取投资判断/预测,获取枚举清单或榜单,获取每日答题答案,解析纯代码标的,计算金融金额或收益,识别陌生来电号码,进入个股股吧讨论区,进入官网或下载官方App
其他或无法判定的非金融查询,54,8,68,0,1,204,39,234,6,3,19,1,726,5,16,0,121
判定信贷产品账单与征信规则,13,43,1,0,4,5,1,0,0,2,0,0,0,12,0,0,0
处置账户异常与非预期扣款,8,37,4,0,0,0,6,1,0,3,0,0,0,0,0,0,0
寻求个股买卖与持有决策建议,5,0,0,1,9,34,0,1,2,44,99,0,0,0,0,0,0
寻求应急或无征信门槛借款渠道,0,6,0,0,0,0,0,6,0,7,3,0,0,0,1,0,1
查找官方渠道与客服入口,3,17,620,0,35,34,6,28,0,0,0,0,1,0,4,1,491
查询交易日程与市场状态,2,0,0,0,73,0,0,0,5,0,0,0,0,0,0,0,0
查询历史价格走势图,2,0,0,248,0,39,0,1,1,7,0,0,0,4,0,0,0
查询金融资产实时行情,19,2,7,12,12,10170,3,26,51,2,15,1,1328,196,4,0,10
核实金融平台真伪与合法性,12,2,1,0,0,23,190,12,0,7,4,0,0,0,0,0,9
比较同类金融产品并择优,0,0,0,0,0,6,0,0,0,13,9,0,0,0,0,0,0
获取市场动态与事件公告,4,0,0,0,5,32,1,0,71,1,4,1,0,0,0,1,0
获取每日答题活动答案,0,0,0,0,0,0,0,3,0,0,0,164,0,0,0,0,0
获取银行或支付账户操作指引,4,268,2,0,6,0,1,0,1,6,0,0,0,1,0,0,2
解释金融术语与基础规则,302,46,0,0,15,47,2,11,3,24,38,0,0,20,0,0,0
计算具体金额或利率,0,1,0,0,1,16,0,2,0,1,0,0,1,539,0,0,0
识别陌生电话号码归属,0,0,0,0,0,0,0,0,0,0,0,0,8,0,222,0,0
进入个股股吧讨论区,0,0,0,0,0,10,0,0,0,0,0,0,1,0,0,2472,3
