bucket,n,label,share
助手行·在搜索里也出现,513,查询金融资产实时行情,0.7836
助手行·在搜索里也出现,513,其他或无法判定的非金融查询,0.0624
助手行·在搜索里也出现,513,查找官方渠道与客服入口,0.0468
助手行·在搜索里也出现,513,查询历史价格走势图,0.0331
助手行·在搜索里也出现,513,获取每日答题活动答案,0.0273
助手行·在搜索里也出现,513,核实金融平台真伪与合法性,0.0175
助手行·在搜索里也出现,513,计算具体金额或利率,0.0097
助手行·在搜索里也出现,513,解释金融术语与基础规则,0.0078
助手行·在搜索里也出现,513,寻求个股买卖与持有决策建议,0.0039
助手行·在搜索里也出现,513,比较同类金融产品并择优,0.0039
助手行·在搜索里也出现,513,识别陌生电话号码归属,0.0019
助手行·在搜索里也出现,513,获取银行或支付账户操作指引,0.0019
助手行·搜索里没有,1424,寻求个股买卖与持有决策建议,0.2535
助手行·搜索里没有,1424,其他或无法判定的非金融查询,0.1573
助手行·搜索里没有,1424,查询金融资产实时行情,0.1145
助手行·搜索里没有,1424,解释金融术语与基础规则,0.073
助手行·搜索里没有,1424,获取银行或支付账户操作指引,0.0646
助手行·搜索里没有,1424,处置账户异常与非预期扣款,0.0618
助手行·搜索里没有,1424,查找官方渠道与客服入口,0.0478
助手行·搜索里没有,1424,判定信贷产品账单与征信规则,0.0456
助手行·搜索里没有,1424,获取市场动态与事件公告,0.0435
助手行·搜索里没有,1424,计算具体金额或利率,0.0414
助手行·搜索里没有,1424,比较同类金融产品并择优,0.0379
助手行·搜索里没有,1424,核实金融平台真伪与合法性,0.0197
助手行·搜索里没有,1424,获取每日答题活动答案,0.0147
助手行·搜索里没有,1424,查询历史价格走势图,0.0091
助手行·搜索里没有,1424,识别陌生电话号码归属,0.0063
助手行·搜索里没有,1424,查询交易日程与市场状态,0.0056
助手行·搜索里没有,1424,进入个股股吧讨论区,0.0021
助手行·搜索里没有,1424,寻求应急或无征信门槛借款渠道,0.0014
