td_l1_name,share%_2025search,share%_2026search,share%_assistant_random,share%_assistant_top,index_2025search,index_2026search,index_assistant_random,index_assistant_top
了解专业培养内容与就业前景,3.5,2.96,2.27,0.23,1.1417,0.9631,0.739,0.0759
判定高校办学层次与标签,2.48,1.86,0.21,0.12,1.2385,0.9296,0.1029,0.0581
启动翻译工具或查询英汉词句,21.01,18.4,5.88,5.59,1.1335,0.9928,0.317,0.3014
完成中小学学科作业与写作任务,1.74,1.3,24.43,12.22,0.5878,0.4395,8.2448,4.1248
导航至官方招考政务门户与登录入口,3.02,4.25,0.1,0.12,0.9053,1.272,0.0309,0.0349
按结构约束列举字词,0.77,0.49,1.44,0.47,1.1669,0.7432,2.1849,0.7049
按裸校名检索院校信息,23.8,21.48,1.03,0.35,1.1441,1.0328,0.0496,0.0168
无意图或上下文依赖的残余查询,10.35,11.77,40.0,61.93,0.7212,0.8202,2.7867,4.3147
查询官方教务与考试办事流程,0.13,0.18,0.41,0.0,0.8106,1.1232,2.5684,0.0
查询录取分数线与录取数据,4.16,2.34,0.72,0.47,1.3734,0.7732,0.238,0.1536
查询汉字或词语读音,10.07,13.42,1.24,1.4,0.9267,1.2345,0.1138,0.1285
查询汉字笔顺写法,1.3,2.49,0.31,0.0,0.7427,1.4236,0.1765,0.0
查询考试成绩与出分动态,1.04,1.03,0.0,0.0,1.0964,1.0867,0.0,0.0
查询职业资格与成人学历提升,0.75,1.16,3.51,0.58,0.7116,1.1015,3.3221,0.5517
查询词语或成语释义,1.6,2.07,2.37,1.05,0.8751,1.1331,1.2954,0.5724
检索古诗文与课文原文,4.68,4.7,5.67,5.94,0.9781,0.983,1.1862,1.2421
求生肖谜语博彩谜底,1.76,2.71,2.06,3.03,0.7807,1.1986,0.9135,1.3411
生成生字组词,1.53,1.64,0.62,3.26,0.9513,1.0205,0.3842,2.0244
进入高校官网及校内业务平台,1.86,2.19,0.41,0.12,0.99,1.1666,0.2193,0.0619
进行升学与择校志愿决策咨询,4.42,3.54,7.32,3.14,1.0802,0.8633,1.7868,0.7673
