new_td,其他或意图不可辨,办理学历证书或官方报名事务,咨询专业内容与就业前景,志愿填报与升学报考决策咨询,查询升学与考试时间节点,查询录取分数线,查询报考条件与招生简章,查询汉字书写与词语运用,查询汉字或字词读音与拼音,查询考试成绩与位次,查询职业资格与认证考试信息,查询词语、成语或概念含义,查询院校实体信息（裸校名）,核实院校层次（985/211/几本）,猜解生肖谜语谜底,翻译词句或启动翻译工具,获取古诗文全篇原文,获取教材与学习辅助材料,访问院校官网或校内办事系统,进入政府或公共教育服务平台
了解专业培养内容与就业前景,48,0,555,15,2,0,2,0,0,0,2,4,11,0,0,0,2,0,4,0
判定高校办学层次与标签,2,0,0,12,0,0,0,0,0,0,0,10,15,393,0,0,0,0,2,0
启动翻译工具或查询英汉词句,2828,0,0,0,0,0,0,0,52,0,2,791,0,0,0,249,1,11,1,1
完成中小学学科作业与写作任务,76,0,1,0,0,0,0,12,0,3,0,44,0,0,0,6,3,159,0,0
导航至官方招考政务门户与登录入口,7,17,0,0,0,0,0,0,0,0,1,2,3,0,0,0,2,0,12,682
按结构约束列举字词,14,0,0,0,0,0,0,68,2,0,0,8,0,0,0,0,3,31,0,0
按裸校名检索院校信息,6,0,0,2,0,0,0,0,0,0,0,2,4493,4,0,0,1,0,12,1
无意图或上下文依赖的残余查询,1585,1,18,8,9,0,0,38,38,0,4,157,27,0,9,32,65,170,11,36
查询官方教务与考试办事流程,5,8,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,6
查询录取分数线与录取数据,5,1,0,1,9,569,0,0,0,61,0,0,0,0,0,0,0,0,0,4
查询汉字或词语读音,3,0,0,0,0,0,0,2,2329,0,0,7,0,0,0,0,3,1,0,0
查询汉字笔顺写法,0,0,0,0,0,0,0,377,1,0,0,0,0,0,0,0,0,0,0,1
查询考试成绩与出分动态,0,0,0,1,71,0,0,0,0,134,0,1,0,0,0,0,0,0,0,0
查询职业资格与成人学历提升,20,37,6,7,18,0,16,2,0,1,53,11,6,0,0,0,0,3,0,11
查询词语或成语释义,11,0,0,0,0,0,0,1,0,0,0,345,0,0,0,0,3,7,0,0
检索古诗文与课文原文,136,0,0,0,0,0,0,1,0,2,0,75,0,0,3,10,667,39,2,1
求生肖谜语博彩谜底,14,0,0,0,0,0,0,2,0,0,0,7,0,0,423,0,0,0,0,0
生成生字组词,0,0,0,0,0,0,0,317,0,0,0,0,0,0,0,0,0,0,0,0
进入高校官网及校内业务平台,4,2,0,0,0,1,15,0,0,0,0,0,9,1,0,0,0,0,356,17
进行升学与择校志愿决策咨询,44,13,1,315,119,41,6,2,0,55,3,83,71,5,0,0,0,2,2,33
