source,td_l1_name,U01,U02,U03,U04,U05,U06,U07,U08,U09,U10,U11,U12,U13
2026search,了解专业培养内容与就业前景,2,95,5,167,0,0,1,25,0,0,0,0,0
2026search,判定高校办学层次与标签,0,1,162,11,6,0,0,6,0,0,0,0,0
2026search,启动翻译工具或查询英汉词句,47,1460,54,82,0,0,0,1,3,61,5,7,117
2026search,完成中小学学科作业与写作任务,1,11,20,26,1,11,0,8,40,9,0,1,2
2026search,导航至官方招考政务门户与登录入口,371,49,2,0,0,1,0,0,1,0,0,0,0
2026search,按结构约束列举字词,0,5,8,1,0,0,0,35,0,0,0,0,0
2026search,按裸校名检索院校信息,0,2117,6,18,1,0,0,2,0,0,0,0,0
2026search,无意图或上下文依赖的残余查询,61,613,58,26,0,3,0,32,77,16,6,2,281
2026search,查询官方教务与考试办事流程,7,1,0,0,0,8,0,0,2,0,0,0,0
2026search,查询录取分数线与录取数据,2,2,222,1,0,0,0,0,6,0,0,0,1
2026search,查询汉字或词语读音,0,0,1333,4,0,0,0,1,1,0,0,0,0
2026search,查询汉字笔顺写法,1,0,246,1,0,1,0,0,0,0,0,0,0
2026search,查询考试成绩与出分动态,59,2,31,0,2,8,0,0,1,0,0,0,0
2026search,查询职业资格与成人学历提升,16,25,17,10,0,23,1,17,7,0,0,0,0
2026search,查询词语或成语释义,0,10,1,189,1,0,0,2,2,0,0,0,2
2026search,检索古诗文与课文原文,4,283,10,9,0,0,0,17,139,1,0,0,6
2026search,求生肖谜语博彩谜底,0,0,63,25,0,0,4,3,172,0,0,1,2
2026search,生成生字组词,0,1,0,3,0,0,0,159,1,0,0,0,0
2026search,进入高校官网及校内业务平台,203,2,0,1,0,0,0,0,13,0,0,0,0
2026search,进行升学与择校志愿决策咨询,30,24,115,56,1,19,5,97,0,1,0,0,5
assistant_random,了解专业培养内容与就业前景,0,0,2,9,1,0,6,1,0,1,0,0,2
assistant_random,判定高校办学层次与标签,0,0,0,0,1,0,0,1,0,0,0,0,0
assistant_random,启动翻译工具或查询英汉词句,0,6,3,16,0,2,0,0,2,21,2,0,5
assistant_random,完成中小学学科作业与写作任务,0,0,21,18,1,12,7,8,29,101,19,0,21
assistant_random,导航至官方招考政务门户与登录入口,0,0,0,0,0,1,0,0,0,0,0,0,0
assistant_random,按结构约束列举字词,0,1,1,4,0,0,0,5,0,2,0,0,1
assistant_random,按裸校名检索院校信息,0,1,4,2,0,0,1,1,1,0,0,0,0
assistant_random,无意图或上下文依赖的残余查询,0,8,45,36,13,23,23,28,28,60,36,1,87
assistant_random,查询官方教务与考试办事流程,0,0,0,0,0,4,0,0,0,0,0,0,0
assistant_random,查询录取分数线与录取数据,0,0,5,1,0,0,0,1,0,0,0,0,0
assistant_random,查询汉字或词语读音,0,0,12,0,0,0,0,0,0,0,0,0,0
assistant_random,查询汉字笔顺写法,0,0,0,0,0,0,0,1,1,1,0,0,0
assistant_random,查询职业资格与成人学历提升,0,0,9,4,3,4,8,2,2,0,2,0,0
assistant_random,查询词语或成语释义,0,0,0,21,0,0,0,0,0,0,0,0,2
assistant_random,检索古诗文与课文原文,0,9,3,7,0,0,3,6,8,9,2,0,8
assistant_random,求生肖谜语博彩谜底,0,0,6,0,0,0,0,0,11,2,0,0,1
assistant_random,生成生字组词,0,0,0,0,0,0,0,3,0,2,1,0,0
assistant_random,进入高校官网及校内业务平台,1,0,3,0,0,0,0,0,0,0,0,0,0
assistant_random,进行升学与择校志愿决策咨询,0,1,22,4,4,2,13,19,1,0,0,0,5
assistant_top,了解专业培养内容与就业前景,0,0,1,0,0,0,0,1,0,0,0,0,0
assistant_top,判定高校办学层次与标签,0,0,0,0,0,0,0,1,0,0,0,0,0
assistant_top,启动翻译工具或查询英汉词句,12,2,0,1,0,0,0,0,0,4,11,0,18
assistant_top,完成中小学学科作业与写作任务,0,8,2,2,0,4,0,4,5,27,25,0,28
assistant_top,导航至官方招考政务门户与登录入口,1,0,0,0,0,0,0,0,0,0,0,0,0
assistant_top,按结构约束列举字词,1,3,0,0,0,0,0,0,0,0,0,0,0
assistant_top,按裸校名检索院校信息,0,3,0,0,0,0,0,0,0,0,0,0,0
assistant_top,无意图或上下文依赖的残余查询,19,90,7,2,1,3,1,16,21,15,72,0,285
assistant_top,查询录取分数线与录取数据,0,0,2,0,0,0,0,0,0,0,0,0,2
assistant_top,查询汉字或词语读音,0,0,1,0,0,0,0,0,0,0,0,0,11
assistant_top,查询职业资格与成人学历提升,0,1,1,0,1,0,0,1,0,0,0,0,1
assistant_top,查询词语或成语释义,0,1,0,3,0,0,0,2,0,0,0,0,3
assistant_top,检索古诗文与课文原文,0,22,0,3,0,0,0,9,10,3,1,0,3
assistant_top,求生肖谜语博彩谜底,0,0,4,1,0,0,1,1,13,0,2,0,4
assistant_top,生成生字组词,1,0,0,0,0,1,0,25,0,1,0,0,0
assistant_top,进入高校官网及校内业务平台,0,0,0,0,0,0,0,0,1,0,0,0,0
assistant_top,进行升学与择校志愿决策咨询,0,5,7,2,0,2,1,8,0,0,0,0,2
