bucket,n,label,share
助手行·在搜索里也出现,172,无意图或上下文依赖的残余查询,0.6453
助手行·在搜索里也出现,172,检索古诗文与课文原文,0.1279
助手行·在搜索里也出现,172,生成生字组词,0.0698
助手行·在搜索里也出现,172,启动翻译工具或查询英汉词句,0.0465
助手行·在搜索里也出现,172,进行升学与择校志愿决策咨询,0.0407
助手行·在搜索里也出现,172,按裸校名检索院校信息,0.0174
助手行·在搜索里也出现,172,完成中小学学科作业与写作任务,0.0174
助手行·在搜索里也出现,172,按结构约束列举字词,0.0116
助手行·在搜索里也出现,172,查询汉字或词语读音,0.0116
助手行·在搜索里也出现,172,导航至官方招考政务门户与登录入口,0.0058
助手行·在搜索里也出现,172,查询词语或成语释义,0.0058
助手行·搜索里没有,1657,无意图或上下文依赖的残余查询,0.4882
助手行·搜索里没有,1657,完成中小学学科作业与写作任务,0.2046
助手行·搜索里没有,1657,启动翻译工具或查询英汉词句,0.0585
助手行·搜索里没有,1657,进行升学与择校志愿决策咨询,0.0549
助手行·搜索里没有,1657,检索古诗文与课文原文,0.0507
助手行·搜索里没有,1657,求生肖谜语博彩谜底,0.0278
助手行·搜索里没有,1657,查询职业资格与成人学历提升,0.0235
助手行·搜索里没有,1657,查询词语或成语释义,0.0187
助手行·搜索里没有,1657,了解专业培养内容与就业前景,0.0145
助手行·搜索里没有,1657,生成生字组词,0.0133
助手行·搜索里没有,1657,查询汉字或词语读音,0.0133
助手行·搜索里没有,1657,按结构约束列举字词,0.0097
助手行·搜索里没有,1657,查询录取分数线与录取数据,0.0066
助手行·搜索里没有,1657,按裸校名检索院校信息,0.006
助手行·搜索里没有,1657,进入高校官网及校内业务平台,0.003
助手行·搜索里没有,1657,查询官方教务与考试办事流程,0.0024
助手行·搜索里没有,1657,判定高校办学层次与标签,0.0018
助手行·搜索里没有,1657,查询汉字笔顺写法,0.0018
助手行·搜索里没有,1657,导航至官方招考政务门户与登录入口,0.0006
