code,name,definition,user_need,risk,expected_share,positive_examples,negative_examples,n_rules
INSTITUTION_NAME_LOOKUP,按裸校名检索院校信息,用户只输入院校名称（含简称与错别字变体，且不带官网、分数线、几本等修饰词），要求系统返回该校核心概况或官方入口。,收到被纠正到正确学校后的该校权威信息卡片或官网入口即满足。,False,0.224,太原理工大学 / 国防科技大学 / 山东青年政治学院 / 湖北职业技术学院,皖西学院官网 → CAMPUS_PORTAL_NAVIGATION / 常州大学是一本还是二本 → INSTITUTION_TIER_VERDICT / 中央民族大学录取分数线2024 → ADMISSION_SCORE_LOOKUP,2
CAMPUS_PORTAL_NAVIGATION,进入高校官网及校内业务平台,用户输入校名加官网、教务处、信息门户、统一平台、招生章程等子资源词，要求直达该校某个官方页面或文件，而非了解学校本身。,首条结果即为目标校内官方平台、招生章程或官方文件的可用直达链接，且确属该校即满足。,False,0.035,华南师范大学综合服务平台 / 南京审计大学信息门户 / 云南民族大学统一门户 / 浙江财经大学教务处,太原理工大学 → INSTITUTION_NAME_LOOKUP / 四川省教育考试院官网登录入口 → GOVERNMENT_EXAM_PORTAL_NAVIGATION / 高考志愿填报怎么填报 → GOVERNMENT_SERVICE_PROCESS_INQUIRY,2
INSTITUTION_TIER_VERDICT,判定高校办学层次与标签,用户针对具体学校或指定学校集合追问层次归属（是一本还是二本、是否985/211、双高含义、行业院校组合名单），要求明确判定而非学校介绍。,收到“是几本/是否985、211”的明确判定或该指定组合的准确名单即满足。,False,0.03,常州大学是一本还是二本 / 鲁东大学是一本还是二本 / 华南理工大学是985还是211 / 南京农业大学是985还是211,太原理工大学 → INSTITUTION_NAME_LOOKUP / 中央民族大学录取分数线2024 → ADMISSION_SCORE_LOOKUP / 大学排名全国排名榜 → ENROLLMENT_DELIBERATION,1
ADMISSION_SCORE_LOOKUP,查询录取分数线与录取数据,用户查询某省、某年、某校的录取分数线、普高线、一分一段表或具体录取情况，查询通常自带年份与省份戳。,收到与所问省份、年份、批次或学校精确对应的分数线或一分一段数据即满足。,False,0.03,高考录取分数线2025 / 中央民族大学录取分数线2024 / 连云港中考录取分数线 / 武汉中考普高线,常州大学是一本还是二本 → INSTITUTION_TIER_VERDICT / 中考成绩什么时候出来2025年 → EXAM_RESULT_TRACKING / 大学排名全国排名榜 → ENROLLMENT_DELIBERATION,2
GOVERNMENT_EXAM_PORTAL_NAVIGATION,导航至官方招考政务门户与登录入口,用户输入官方考试或教育政务服务站点名称（省市教育考试院、学信网、阳光高考等）或加官网、登录入口，要求直达该门户网站或登录页。,首条结果即为该门户的官方站点（非仿冒、非第三方中介），点击即达且排名零容错。,True,0.032,辽宁招生考试之窗 / 四川省教育考试院官网登录入口 / 江苏教育考试院 / 学信网登录入口官网,太原理工大学 → INSTITUTION_NAME_LOOKUP / 皖西学院官网 → CAMPUS_PORTAL_NAVIGATION / 学信网怎么查学历 → GOVERNMENT_SERVICE_PROCESS_INQUIRY,2
GOVERNMENT_SERVICE_PROCESS_INQUIRY,查询官方教务与考试办事流程,用户给出官方服务名称或事务主题并问怎么查、怎么报、怎么办理、流程步骤，要求可操作的官方办事步骤，而非站点首页或一般解释。,收到与所问事务对应的官方步骤、材料、时限或核验入口即满足。,False,0.005,学信网怎么查学历 / 高考志愿填报怎么填报 / 如何查询住建部官方网站B考时间表 / 阳光高考网官方网志愿填报,四川省教育考试院官网登录入口 → GOVERNMENT_EXAM_PORTAL_NAVIGATION / 中考成绩什么时候出来2025年 → EXAM_RESULT_TRACKING / 皖西学院官网 → CAMPUS_PORTAL_NAVIGATION,2
EXAM_RESULT_TRACKING,查询考试成绩与出分动态,用户查询某项考试的成绩查询入口、出分时间或成绩查询本身，期待对应考试的分数或官方发布动态。,收到对应考试的官方查分入口、准确出分日期或本人成绩（凭号查询）即满足。,False,0.007,中考成绩查询 / 中考成绩什么时候出来2025年 / 邯郸中考成绩什么时候出来2025年 / 南京中考出分时间2025,连云港中考录取分数线 → ADMISSION_SCORE_LOOKUP / 四川省教育考试院官网登录入口 → GOVERNMENT_EXAM_PORTAL_NAVIGATION / 高考志愿填报怎么填报 → GOVERNMENT_SERVICE_PROCESS_INQUIRY,1
ENROLLMENT_DELIBERATION,进行升学与择校志愿决策咨询,用户处于择校、选专业或报志愿阶段，查询招生日程、术语含义、院校或专业排名对比与选校建议，为升学决策收集信息。,收到足以支持比较与决策的具体信息——日期流程、术语解释、排名名单、对比结论或官方志愿工具指引——即满足。,True,0.085,高考 / 专科提前批什么时候报名 / 志愿填报后多久查录取结果 / 初中毕业考不上高中如何选择学校,常州大学是一本还是二本 → INSTITUTION_TIER_VERDICT / 高考录取分数线2025 → ADMISSION_SCORE_LOOKUP / 浙江财经大学教务处 → CAMPUS_PORTAL_NAVIGATION,2
MAJOR_AND_CAREER_EXPLORATION,了解专业培养内容与就业前景,用户查询某个专业学什么、就业方向和前景、考研方向或相关院校推荐，用于专业选择或职业了解。,收到该专业的课程或培养内容、主要就业方向、前景及可核验的院校推荐信息即满足。,False,0.02,数字媒体技术就业方向及前景 / 工业机器人技术主要学什么 / 预防医学就业前景和就业方向 / 财务管理专业考研方向及院校推荐,云南的大学 → ENROLLMENT_DELIBERATION / 常州大学是一本还是二本 → INSTITUTION_TIER_VERDICT / 考个陪诊师证后收入大概多少 → ADULT_CERTIFICATION_AND_DEGREE_INQUIRY,1
ADULT_CERTIFICATION_AND_DEGREE_INQUIRY,查询职业资格与成人学历提升,用户围绕职业资格证书、公考或成人学历提升查询报考条件、时间、含金量、科目与备考资料。,收到对应证书、考试或学历项目的官方报考条件、时间安排、国家认可状态或合规备考信息即满足。,True,0.01,教师资格证 / 执业药师 / 证券从业 / 计算机二级,太原理工大学 → INSTITUTION_NAME_LOOKUP / 专科提前批什么时候报名 → ENROLLMENT_DELIBERATION / 财务管理专业考研方向及院校推荐 → MAJOR_AND_CAREER_EXPLORATION,2
CHARACTER_PRONUNCIATION_LOOKUP,查询汉字或词语读音,用户输入单字或词并加怎么读、拼音、读音等标记，要求获得普通话读音（拼音与声调）。,收到该字或词的标准拼音（含声调；多音字给出对应义项读音）即满足。,False,0.108,虞怎么读 / 埠怎么读 / 垚怎么读 / 廿字怎么读,裳组词 → WORD_FORMATION / 皮的笔顺 → STROKE_ORDER_LOOKUP / 妄自菲薄是什么意思 → WORD_MEANING_LOOKUP,2
STROKE_ORDER_LOOKUP,查询汉字笔顺写法,用户输入某字加笔顺或写法标记，要求获得逐笔书写顺序或动态演示。,收到该字的逐笔演示或可对照的笔画顺序即满足。,False,0.018,皮的笔顺 / 曦的笔顺 / 眼的笔顺 / 鞋的笔顺,虞怎么读 → CHARACTER_PRONUNCIATION_LOOKUP / 裳组词 → WORD_FORMATION / 妄自菲薄是什么意思 → WORD_MEANING_LOOKUP,2
WORD_FORMATION,生成生字组词,用户要求用某个字组成一组常用词，通常伴随识字或写作业场景。,收到一组含该字的常用词语（可按字数或常用度分组）即满足。,False,0.016,裳组词 / 党组词 / 靠组词 / 堤组词,皮的笔顺 → STROKE_ORDER_LOOKUP / 虞怎么读 → CHARACTER_PRONUNCIATION_LOOKUP / 妄自菲薄是什么意思 → WORD_MEANING_LOOKUP,2
STRUCTURAL_WORD_LISTING,按结构约束列举字词,用户要求按部首、偏旁、叠词格式、关联词类别等结构约束列出一批字词。,收到满足该结构约束的词语或字列表即满足。,False,0.015,abab的四字词语 / 厂字头的字 / 火字旁的字有哪些 / 关联词有哪些,裳组词 → WORD_FORMATION / 虞怎么读 → CHARACTER_PRONUNCIATION_LOOKUP / 妄自菲薄是什么意思 → WORD_MEANING_LOOKUP,2
WORD_MEANING_LOOKUP,查询词语或成语释义,用户输入词语或成语并加意思、含义、释义等标记，要求获得通俗解释与例句。,收到该词语或成语的准确释义（可附出处与例句）即满足。,False,0.026,妄自菲薄是什么意思 / 生机勃勃的意思 / 格物致知的意思 / 差强人意,舍本逐末指什么生肖 → ZODIAC_RIDDLE_ANSWER / 裳组词 → WORD_FORMATION / 虞怎么读 → CHARACTER_PRONUNCIATION_LOOKUP,3
CLASSICAL_TEXT_RETRIEVAL,检索古诗文与课文原文,用户输入诗文篇名、名句或课文名并求原文、全诗、作者出处，要求读到该篇全文。,收到该篇目的完整原文、作者与出处，且与所引篇名或名句精确对应即满足。,False,0.075,劝学 / 桃花源记原文 / 曹刿论战 / 卖炭翁,妄自菲薄是什么意思 → WORD_MEANING_LOOKUP / 皮的笔顺 → STROKE_ORDER_LOOKUP / 翻译 → TRANSLATION_AND_TOOL_LOOKUP,2
TRANSLATION_AND_TOOL_LOOKUP,启动翻译工具或查询英汉词句,用户输入具体英文词句求中文释义、输入中文词句求英文表达，或仅输入“翻译/在线翻译”要求直接进入翻译工具界面。,具体词句收到对应译文或释义；仅“翻译”则首屏出现可用翻译框或翻译工具入口即满足。,False,0.15,describe / abandon / perspective / sunny 是什么意思,虞怎么读 → CHARACTER_PRONUNCIATION_LOOKUP / 0是不是自然数 → HOMEWORK_ASSISTANCE / I → UNCLASSIFIABLE_OTHER,2
ZODIAC_RIDDLE_ANSWER,求生肖谜语博彩谜底,用户以成语、俗语或歌诀为谜面并要求断出生肖或数字谜底，属跨域博彩式查询而非教育内容。,用户期待一个被断言为正确的生肖或数字；合规口径下应拦截或显著提示，不提供确定性谜底。,True,0.02,九十有数取七利是什么生肖 / 舍本逐末指什么生肖 / 上0下三是什么生肖 / 杜绝言路是什么生肖,舍本逐末的意思 → WORD_MEANING_LOOKUP / 妄自菲薄是什么意思 → WORD_MEANING_LOOKUP / 虞怎么读 → CHARACTER_PRONUNCIATION_LOOKUP,1
HOMEWORK_ASSISTANCE,完成中小学学科作业与写作任务,用户带具体作业任务而来：解数学或科学题、生成作文或好词好句，或用会话内短指令约束作答方式。,解题者收到符合指定格式的正确答案；写作者收到可用的写作思路、句段或素材即满足。,True,0.05,圆的面积 / 圆面积公式 / 0是不是自然数 / 液溴可以用Br₂表示吗,皮的笔顺 → STROKE_ORDER_LOOKUP / 桃花源记原文 → CLASSICAL_TEXT_RETRIEVAL / 睡前故事大全6-12岁免费收听 → UNCLASSIFIABLE_OTHER,2
UNCLASSIFIABLE_OTHER,无意图或上下文依赖的残余查询,仅按字面无法判断教育意图、缺少可识别域实体与动作、或必须依赖上下文的残余查询，不包括任何已命名类。,被识别为无法单查询分类或需会话上下文，不进入具体教育内容族即满足。,False,,I / B / 了 / 无,describe → TRANSLATION_AND_TOOL_LOOKUP / 虞怎么读 → CHARACTER_PRONUNCIATION_LOOKUP / 学信网 → GOVERNMENT_EXAM_PORTAL_NAVIGATION,1
