label,a,b,k_a,k_b,n_a,n_b,share_a,share_b,diff_pp,lo_pp,hi_pp,kind,sig,why
英文单词查询,2025search,2026search,1862,1591,9989,9981,0.18640504555010512,0.15940286544434426,-2.700218010576086,-3.7484281042767256,-1.651618664430381,stable,True,时间（搜索内部，2025→2026）
查询高校与职业院校信息,2025search,2026search,2672,2408,9989,9981,0.2674942436680348,0.2412583909427913,-2.623585272524351,-3.8305071595847546,-1.4156748419272658,stable,True,时间（搜索内部，2025→2026）
录取分数线查询,2025search,2026search,422,257,9989,9981,0.04224647111823005,0.025748922953611864,-1.6497548164618188,-2.1555996855200035,-1.1489519477654135,stable,True,时间（搜索内部，2025→2026）
查询高校一本二本层次,2025search,2026search,149,66,9989,9981,0.01491640804885374,0.0066125638713555755,-0.8303844177498163,-1.1236212965852939,-0.546902906201063,stable,True,时间（搜索内部，2025→2026）
生成作业与学习内容,2025search,2026search,222,166,9989,9981,0.022224446891580738,0.016631600040076144,-0.5592846851504595,-0.9454304369449208,-0.17647619119041452,stable,True,时间（搜索内部，2025→2026）
查询专业与院校信息,2025search,2026search,168,121,9989,9981,0.016818500350385426,0.01212303376415189,-0.46954665862335365,-0.8047171921055354,-0.13828573880106887,stable,True,时间（搜索内部，2025→2026）
中英文翻译查询,2025search,2026search,206,176,9989,9981,0.020622684953448794,0.017633503656948202,-0.2989181296500592,-0.6814645946982469,0.08183130849951552,stable,False,时间（搜索内部，2025→2026）
高考志愿填报信息查询,2025search,2026search,100,74,9989,9981,0.010011012113324657,0.007414086764853221,-0.25969253484714355,-0.522007728166921,-0.0010997584811135719,stable,True,时间（搜索内部，2025→2026）
查询中考成绩,2025search,2026search,181,164,9989,9981,0.01811993192511763,0.016431219316701735,-0.1688712608415896,-0.5326840924680037,0.19381398420512846,stable,False,时间（搜索内部，2025→2026）
查询专业学习内容与就业方向,2025search,2026search,101,85,9989,9981,0.010111122234457903,0.008516180743412484,-0.15949414910454185,-0.4295948623828434,0.10849344445546623,stable,False,时间（搜索内部，2025→2026）
查询院校基本信息,2025search,2026search,46,36,9989,9981,0.004605065572129342,0.0036068530207394047,-0.09982125513899377,-0.2827429418244476,0.08002591876610195,stable,False,时间（搜索内部，2025→2026）
查询拼音字母与声韵母发音表,2025search,2026search,45,39,9989,9981,0.004504955450996096,0.003907424105801022,-0.0597531345195074,-0.24413108035346312,0.12284384167323292,stable,False,时间（搜索内部，2025→2026）
查询汉字与词语,2025search,2026search,36,32,9989,9981,0.0036039643607968766,0.003206091573990582,-0.039787278680629465,-0.20652142479864236,0.12549101049492759,stable,False,时间（搜索内部，2025→2026）
多音字组词查询,2025search,2026search,32,29,9989,9981,0.0032035238762638902,0.002905520488928965,-0.029800338733492523,-0.18814456933348178,0.12733648696934596,stable,False,时间（搜索内部，2025→2026）
查找古诗文原文,2025search,2026search,330,327,9989,9981,0.03303633997397137,0.03276224827171626,-0.027409170225510537,-0.523431505009873,0.468556774874188,stable,False,时间（搜索内部，2025→2026）
高考信息查询,2025search,2026search,75,73,9989,9981,0.007508259084993493,0.007313896403166016,-0.01943626818274773,-0.26044889027383555,0.22127692362614937,stable,False,时间（搜索内部，2025→2026）
院校专业名单查询,2025search,2026search,21,20,9989,9981,0.002102312543798178,0.0020038072337441137,-0.009850531005406449,-0.14137995748093884,0.12111044136078497,stable,False,时间（搜索内部，2025→2026）
查询好词好句与名言故事素材,2025search,2026search,138,137,9989,9981,0.013815196716388027,0.01372607955114718,-0.008911716524084672,-0.3342916502193396,0.31642127851224155,stable,False,时间（搜索内部，2025→2026）
查询事物区别,2025search,2026search,27,29,9989,9981,0.0027029732705976576,0.002905520488928965,0.02025472183313074,-0.1308326034328984,0.17228999941653372,stable,False,时间（搜索内部，2025→2026）
按需求生成与改写文本,2025search,2026search,145,155,9989,9981,0.014515967564320753,0.015529506061516882,0.10135384971961293,-0.23763852266266197,0.4411909618012818,stable,False,时间（搜索内部，2025→2026）
查询词语概念含义与基础常识,2025search,2026search,69,80,9989,9981,0.0069075983581940135,0.008015228934976455,0.11076305767824413,-0.12993237074695965,0.35336813810335577,stable,False,时间（搜索内部，2025→2026）
专业就业方向及前景查询,2025search,2026search,83,95,9989,9981,0.008309140054059465,0.009518084360284541,0.12089443062250765,-0.1416259268107944,0.38514892942753487,stable,False,时间（搜索内部，2025→2026）
查询职业资格考试报名信息,2025search,2026search,77,94,9989,9981,0.007708479327259986,0.009417893998597335,0.17094146713373487,-0.08609614953031691,0.43052311403874893,stable,False,时间（搜索内部，2025→2026）
查询词语对应生肖,2025search,2026search,96,115,9989,9981,0.009610571628791672,0.011521891594028654,0.19113199652369822,-0.09377503857751633,0.47831990581641215,stable,False,时间（搜索内部，2025→2026）
短词模糊查询处理,2025search,2026search,177,197,9989,9981,0.017719491440584642,0.01973750125237952,0.20180098117948791,-0.17533097690395633,0.5802281968436459,stable,False,时间（搜索内部，2025→2026）
汉字组词查询,2025search,2026search,128,150,9989,9981,0.012814095505055561,0.015028554253080854,0.22144587480252936,-0.10464328123805602,0.5495002683873205,stable,False,时间（搜索内部，2025→2026）
高校985/211属性查询,2025search,2026search,93,116,9989,9981,0.009310241265391931,0.01162208195571586,0.2311840690323929,-0.05214780405569208,0.5172973848917071,stable,False,时间（搜索内部，2025→2026）
考试升学报考条件与学制学费查询,2025search,2026search,34,60,9989,9981,0.003403744118530383,0.006011421701232342,0.2607677582701958,0.07078795597563331,0.4579171071606578,stable,True,时间（搜索内部，2025→2026）
教育考试院官网查询,2025search,2026search,131,157,9989,9981,0.013114425868455301,0.015729886784891293,0.26154609164359915,-0.07007451795952666,0.5953956231394917,stable,False,时间（搜索内部，2025→2026）
教育服务平台官网查询,2025search,2026search,64,92,9989,9981,0.0064070477525277805,0.009217513275222924,0.2810465522695144,0.036288101320971045,0.5303960840816594,stable,True,时间（搜索内部，2025→2026）
官网入口查询,2025search,2026search,69,101,9989,9981,0.0069075983581940135,0.010119226530407775,0.3211628172213762,0.06601196648815827,0.581111123926219,stable,True,时间（搜索内部，2025→2026）
词语释义查询,2025search,2026search,260,293,9989,9981,0.026028631494644107,0.029355775974351267,0.33271444797071603,-0.12312185460092344,0.7898932443110062,stable,False,时间（搜索内部，2025→2026）
考试招生官网查询,2025search,2026search,53,103,9989,9981,0.005305836420062068,0.010319607253782186,0.5013770833720118,0.25852413594845775,0.7524775318952092,stable,True,时间（搜索内部，2025→2026）
查询极短词条,2025search,2026search,128,182,9989,9981,0.012814095505055561,0.018234645827071436,0.5420550322015876,0.1993757574952168,0.8889776928214793,stable,True,时间（搜索内部，2025→2026）
生肖谜底查询,2025search,2026search,87,155,9989,9981,0.008709580538592452,0.015529506061516882,0.681992552292443,0.3798874000229771,0.9911300238951349,stable,True,时间（搜索内部，2025→2026）
汉字读音释义查询,2025search,2026search,314,397,9989,9981,0.031434578035839426,0.03977557358982066,0.8340995553981233,0.32027790829651626,1.350342817496581,stable,True,时间（搜索内部，2025→2026）
汉字笔顺查询,2025search,2026search,133,246,9989,9981,0.013314646110721794,0.0246468289750526,1.1332182864330806,0.756850496440253,1.5167071523180629,stable,True,时间（搜索内部，2025→2026）
查询中文内容拼音读音,2025search,2026search,1015,1363,9989,9981,0.10161177295024527,0.13655946297966134,3.494769002941607,2.5976986821559853,4.392606551928166,stable,True,时间（搜索内部，2025→2026）
查询高校与职业院校信息,2026search,assistant_top,2408,14,9981,859,0.2412583909427913,0.01629802095459837,-22.496036998819292,-23.56943419383857,-21.12863516496936,stable,True,界面（同为头部流量）
英文单词查询,2026search,assistant_top,1591,29,9981,859,0.15940286544434426,0.033760186263096625,-12.564267918124763,-13.815457951204396,-10.969534464331604,stable,True,界面（同为头部流量）
查询中文内容拼音读音,2026search,assistant_top,1363,23,9981,859,0.13655946297966134,0.02677532013969732,-10.978414283996402,-12.100614377196614,-9.513296478750902,stable,True,界面（同为头部流量）
汉字笔顺查询,2026search,assistant_top,246,0,9981,859,0.0246468289750526,0.0,-2.46468289750526,-2.7876363073460793,-1.935321051313077,receded,True,界面（同为头部流量）
录取分数线查询,2026search,assistant_top,257,4,9981,859,0.025748922953611864,0.004656577415599534,-2.1092345538012327,-2.544474874010317,-1.3268273577569785,stable,True,界面（同为头部流量）
词语释义查询,2026search,assistant_top,293,9,9981,859,0.029355775974351267,0.010477299185098952,-1.8878476789252314,-2.4943623995052717,-0.9050766137945181,stable,True,界面（同为头部流量）
汉字读音释义查询,2026search,assistant_top,397,19,9981,859,0.03977557358982066,0.02211874272409779,-1.765683086572287,-2.6530350021705047,-0.49495801250317906,stable,True,界面（同为头部流量）
查询中考成绩,2026search,assistant_top,164,1,9981,859,0.016431219316701735,0.0011641443538998836,-1.526707496280185,-1.811948616660685,-0.9391674278414648,stable,True,界面（同为头部流量）
教育考试院官网查询,2026search,assistant_top,157,1,9981,859,0.015729886784891293,0.0011641443538998836,-1.4565742430991409,-1.7368775893128172,-0.8711026576163637,stable,True,界面（同为头部流量）
官网入口查询,2026search,assistant_top,101,0,9981,859,0.010119226530407775,0.0,-1.0119226530407774,-1.227982529265765,-0.5323118927230303,receded,True,界面（同为头部流量）
查询专业与院校信息,2026search,assistant_top,121,2,9981,859,0.01212303376415189,0.002328288707799767,-0.9794745056352121,-1.2682907390280151,-0.33655251021292665,stable,True,界面（同为头部流量）
专业就业方向及前景查询,2026search,assistant_top,95,0,9981,859,0.009518084360284541,0.0,-0.9518084360284541,-1.1620589103196197,-0.474344432700762,receded,True,界面（同为头部流量）
高校985/211属性查询,2026search,assistant_top,116,2,9981,859,0.01162208195571586,0.002328288707799767,-0.9293793247916092,-1.2146464305841569,-0.2877984674962285,stable,True,界面（同为头部流量）
教育服务平台官网查询,2026search,assistant_top,92,0,9981,859,0.009217513275222924,0.0,-0.9217513275222924,-1.1290266335401915,-0.44536241862305403,receded,True,界面（同为头部流量）
考试招生官网查询,2026search,assistant_top,103,2,9981,859,0.010319607253782186,0.002328288707799767,-0.799131854598242,-1.074905604242603,-0.1610428317647186,stable,True,界面（同为头部流量）
查询专业学习内容与就业方向,2026search,assistant_top,85,1,9981,859,0.008516180743412484,0.0011641443538998836,-0.7352036389512601,-0.9571117957763272,-0.17130227279021099,stable,True,界面（同为头部流量）
查询高校一本二本层次,2026search,assistant_top,66,0,9981,859,0.0066125638713555755,0.0,-0.6612563871355576,-0.8403401161838499,-0.19421576358459539,receded,True,界面（同为头部流量）
高考志愿填报信息查询,2026search,assistant_top,74,2,9981,859,0.007414086764853221,0.002328288707799767,-0.5085798057053453,-0.7615518786449541,0.12171416804836223,stable,False,界面（同为头部流量）
多音字组词查询,2026search,assistant_top,29,0,9981,859,0.002905520488928965,0.0,-0.2905520488928965,-0.41696910598851616,0.16330447063255374,receded,False,界面（同为头部流量）
