domain,source,frame,label,share
教育,2026search,统一13类,裸实体,0.471
教育,2026search,统一13类,事实与数值,0.2357
教育,2026search,统一13类,导航直达,0.0806
教育,2026search,统一13类,解释与介绍,0.0631
教育,2026search,统一13类,获取现成内容,0.0466
教育,2026search,统一13类,无法判定,0.0417
教育,2026search,统一13类,清单与推荐,0.0406
教育,2026search,统一13类,生成与编辑,0.0088
教育,2026search,统一13类,办事与操作,0.0074
教育,2026search,统一13类,核实与动态,0.0012
教育,2026search,统一13类,违规或灰色内容,0.0011
教育,2026search,统一13类,会话与系统指令,0.0011
教育,2026search,统一13类,个案判断与建议,0.0011
教育,2026search,本次挖掘,按裸校名检索院校信息,0.2148
教育,2026search,本次挖掘,启动翻译工具或查询英汉词句,0.184
教育,2026search,本次挖掘,查询汉字或词语读音,0.1342
教育,2026search,本次挖掘,无意图或上下文依赖的残余查询,0.1177
教育,2026search,本次挖掘,检索古诗文与课文原文,0.047
教育,2026search,本次挖掘,导航至官方招考政务门户与登录入口,0.0425
教育,2026search,本次挖掘,进行升学与择校志愿决策咨询,0.0354
教育,2026search,本次挖掘,了解专业培养内容与就业前景,0.0296
教育,2026search,本次挖掘,求生肖谜语博彩谜底,0.0271
教育,2026search,本次挖掘,查询汉字笔顺写法,0.0249
教育,2026search,本次挖掘,查询录取分数线与录取数据,0.0234
教育,2026search,本次挖掘,进入高校官网及校内业务平台,0.0219
教育,2026search,本次挖掘,查询词语或成语释义,0.0207
教育,2026search,本次挖掘,判定高校办学层次与标签,0.0186
教育,2026search,本次挖掘,生成生字组词,0.0164
教育,2026search,本次挖掘,完成中小学学科作业与写作任务,0.013
教育,2026search,本次挖掘,查询职业资格与成人学历提升,0.0116
教育,2026search,本次挖掘,查询考试成绩与出分动态,0.0103
教育,2026search,本次挖掘,按结构约束列举字词,0.0049
教育,2026search,本次挖掘,查询官方教务与考试办事流程,0.0018
教育,assistant_random,统一13类,生成与编辑,0.2052
教育,assistant_random,统一13类,事实与数值,0.1402
教育,assistant_random,统一13类,无法判定,0.1361
教育,assistant_random,统一13类,解释与介绍,0.1258
教育,assistant_random,统一13类,获取现成内容,0.0856
教育,assistant_random,统一13类,清单与推荐,0.0784
教育,assistant_random,统一13类,会话与系统指令,0.0639
教育,assistant_random,统一13类,个案判断与建议,0.0629
教育,assistant_random,统一13类,办事与操作,0.0495
教育,assistant_random,统一13类,裸实体,0.0268
教育,assistant_random,统一13类,核实与动态,0.0237
教育,assistant_random,统一13类,违规或灰色内容,0.001
教育,assistant_random,统一13类,导航直达,0.001
教育,assistant_random,本次挖掘,无意图或上下文依赖的残余查询,0.4
教育,assistant_random,本次挖掘,完成中小学学科作业与写作任务,0.2443
教育,assistant_random,本次挖掘,进行升学与择校志愿决策咨询,0.0732
教育,assistant_random,本次挖掘,启动翻译工具或查询英汉词句,0.0588
教育,assistant_random,本次挖掘,检索古诗文与课文原文,0.0567
教育,assistant_random,本次挖掘,查询职业资格与成人学历提升,0.0351
教育,assistant_random,本次挖掘,查询词语或成语释义,0.0237
教育,assistant_random,本次挖掘,了解专业培养内容与就业前景,0.0227
教育,assistant_random,本次挖掘,求生肖谜语博彩谜底,0.0206
教育,assistant_random,本次挖掘,按结构约束列举字词,0.0144
教育,assistant_random,本次挖掘,查询汉字或词语读音,0.0124
教育,assistant_random,本次挖掘,按裸校名检索院校信息,0.0103
教育,assistant_random,本次挖掘,查询录取分数线与录取数据,0.0072
教育,assistant_random,本次挖掘,生成生字组词,0.0062
教育,assistant_random,本次挖掘,查询官方教务与考试办事流程,0.0041
教育,assistant_random,本次挖掘,进入高校官网及校内业务平台,0.0041
教育,assistant_random,本次挖掘,查询汉字笔顺写法,0.0031
教育,assistant_random,本次挖掘,判定高校办学层次与标签,0.0021
教育,assistant_random,本次挖掘,导航至官方招考政务门户与登录入口,0.001
教育,assistant_top,统一13类,无法判定,0.4156
教育,assistant_top,统一13类,裸实体,0.1572
教育,assistant_top,统一13类,会话与系统指令,0.1292
教育,assistant_top,统一13类,清单与推荐,0.0792
教育,assistant_top,统一13类,生成与编辑,0.0582
教育,assistant_top,统一13类,获取现成内容,0.0582
教育,assistant_top,统一13类,导航直达,0.0396
教育,assistant_top,统一13类,事实与数值,0.0291
教育,assistant_top,统一13类,解释与介绍,0.0163
教育,assistant_top,统一13类,办事与操作,0.0116
教育,assistant_top,统一13类,个案判断与建议,0.0035
教育,assistant_top,统一13类,核实与动态,0.0023
教育,assistant_top,本次挖掘,无意图或上下文依赖的残余查询,0.6193
教育,assistant_top,本次挖掘,完成中小学学科作业与写作任务,0.1222
教育,assistant_top,本次挖掘,检索古诗文与课文原文,0.0594
教育,assistant_top,本次挖掘,启动翻译工具或查询英汉词句,0.0559
教育,assistant_top,本次挖掘,生成生字组词,0.0326
教育,assistant_top,本次挖掘,进行升学与择校志愿决策咨询,0.0314
教育,assistant_top,本次挖掘,求生肖谜语博彩谜底,0.0303
教育,assistant_top,本次挖掘,查询汉字或词语读音,0.014
教育,assistant_top,本次挖掘,查询词语或成语释义,0.0105
教育,assistant_top,本次挖掘,查询职业资格与成人学历提升,0.0058
教育,assistant_top,本次挖掘,查询录取分数线与录取数据,0.0047
教育,assistant_top,本次挖掘,按结构约束列举字词,0.0047
教育,assistant_top,本次挖掘,按裸校名检索院校信息,0.0035
教育,assistant_top,本次挖掘,了解专业培养内容与就业前景,0.0023
