td_l1_name,2025search,2026search,assistant_random,assistant_top
了解专业培养内容与就业前景,280.67709247287183,211.8126961792402,191.82652210175146,11.265656702439866
判定高校办学层次与标签,135.14070526884717,111.98181621387596,16.680567139282736,4.563159937048876
启动翻译工具或查询英汉词句,1208.7100008152513,986.8059313778548,583.8198498748958,1683.4304948809538
完成中小学学科作业与写作任务,116.27125577969932,84.91516939062669,2260.2168473728107,878.766740595168
导航至官方招考政务门户与登录入口,480.27425584802313,624.0157213984197,8.340283569641368,4.335570912757161
按结构约束列举字词,57.930235139939875,36.35336616516939,150.12510425354463,24.40892285528638
按裸校名检索院校信息,4568.783012495814,4309.772432081394,625.5212677231026,50.923044185271124
无意图或上下文依赖的残余查询,681.4264354442863,816.8348847277844,3786.488740617181,6093.536813093652
查询官方教务与考试办事流程,14.765807675565684,23.32232925641303,33.36113427856547,0.0
查询录取分数线与录取数据,302.61549585426144,169.34056716094815,58.381984987489574,40.761194250646064
查询汉字或词语读音,588.7841233721572,823.1674153046866,166.80567139282735,257.83560562008336
查询汉字笔顺写法,73.02712890638577,141.27949453404048,25.020850708924105,0.0
查询考试成绩与出分动态,117.24836351132143,99.56975863188657,0.0,0.0
查询职业资格与成人学历提升,46.772317888430514,61.474456109968614,308.59049207673064,63.611132289534204
查询词语或成语释义,110.27624517335815,174.25587184760255,208.5070892410342,43.856404981013384
检索古诗文与课文原文,407.1744495070539,399.04413356423856,642.2018348623853,323.05124053087417
求生肖谜语博彩谜底,190.98857391354784,364.32176101309665,191.82652210175146,143.03970176734256
生成生字组词,77.55665346465268,80.21363242775192,83.40283569641367,198.04796893864997
进入高校官网及校内业务平台,130.4240450939958,153.5149907998701,33.36113427856547,4.051084632392518
进行升学与择校志愿决策咨询,411.1538023745368,328.0035718151315,625.5212677231026,174.5152638268867
