td_l1_name,U01,U02,U03,U04,U05,U06,U07,U08,U09,U10,U11,U12,U13
了解专业培养内容与就业前景,2,95,8,176,1,0,7,27,0,1,0,0,2
判定高校办学层次与标签,0,1,162,11,7,0,0,8,0,0,0,0,0
启动翻译工具或查询英汉词句,59,1468,57,99,0,2,0,1,5,86,18,7,140
完成中小学学科作业与写作任务,1,19,43,46,2,27,7,20,74,137,44,1,51
导航至官方招考政务门户与登录入口,372,49,2,0,0,2,0,0,1,0,0,0,0
按结构约束列举字词,1,9,9,5,0,0,0,40,0,2,0,0,1
按裸校名检索院校信息,0,2121,10,20,1,0,1,3,1,0,0,0,0
无意图或上下文依赖的残余查询,80,711,110,64,14,29,24,76,126,91,114,3,653
查询官方教务与考试办事流程,7,1,0,0,0,12,0,0,2,0,0,0,0
查询录取分数线与录取数据,2,2,229,2,0,0,0,1,6,0,0,0,3
查询汉字或词语读音,0,0,1346,4,0,0,0,1,1,0,0,0,11
查询汉字笔顺写法,1,0,246,1,0,1,0,1,1,1,0,0,0
查询考试成绩与出分动态,59,2,31,0,2,8,0,0,1,0,0,0,0
查询职业资格与成人学历提升,16,26,27,14,4,27,9,20,9,0,2,0,1
查询词语或成语释义,0,11,1,213,1,0,0,4,2,0,0,0,7
检索古诗文与课文原文,4,314,13,19,0,0,3,32,157,13,3,0,17
求生肖谜语博彩谜底,0,0,73,26,0,0,5,4,196,2,2,1,7
生成生字组词,1,1,0,3,0,1,0,187,1,3,1,0,0
进入高校官网及校内业务平台,204,2,3,1,0,0,0,0,14,0,0,0,0
进行升学与择校志愿决策咨询,30,30,144,62,5,23,19,124,1,1,0,0,12
