new_class,n_total,n_assistant,assistant_share,main_old_class,main_old_share,n_old_classes_feeding
完成中小学学科作业与写作任务,646,342,0.5294,获取教材与学习辅助材料,0.523,8
无意图或上下文依赖的残余查询,3129,920,0.294,其他或意图不可辨,0.7178,16
查询职业资格与成人学历提升,230,39,0.1696,查询职业资格与认证考试信息,0.2775,13
按结构约束列举字词,144,18,0.125,查询汉字书写与词语运用,0.5397,6
查询官方教务与考试办事流程,35,4,0.1143,查询考试成绩与位次,0.2903,5
进行升学与择校志愿决策咨询,893,98,0.1097,志愿填报与升学报考决策咨询,0.3962,16
检索古诗文与课文原文,1042,106,0.1017,获取古诗文全篇原文,0.7126,10
生成生字组词,351,34,0.0969,查询汉字书写与词语运用,1.0,1
求生肖谜语博彩谜底,492,46,0.0935,猜解生肖谜语谜底,0.9484,4
查询词语或成语释义,399,32,0.0802,查询词语、成语或概念含义,0.9401,5
了解专业培养内容与就业前景,669,24,0.0359,咨询专业内容与就业前景,0.8605,10
启动翻译工具或查询英汉词句,4041,105,0.026,其他或意图不可辨,0.7185,9
查询录取分数线与录取数据,661,11,0.0166,查询录取分数线,0.8754,7
进入高校官网及校内业务平台,410,5,0.0122,访问院校官网或校内办事系统,0.879,8
查询汉字或词语读音,2369,24,0.0101,查询汉字或字词读音与拼音,0.9932,6
查询汉字笔顺写法,382,3,0.0079,查询汉字书写与词语运用,0.9947,3
判定高校办学层次与标签,437,3,0.0069,核实院校层次（985/211/几本）,0.9055,6
按裸校名检索院校信息,4534,13,0.0029,查询院校实体信息（裸校名）,0.9938,8
导航至官方招考政务门户与登录入口,728,2,0.0027,进入政府或公共教育服务平台,0.9394,8
查询考试成绩与出分动态,207,0,0.0,查询考试成绩与位次,0.6473,4
