domain,source,core,query,added_chars,core_td,wrap_td,same_intent
书籍文档,assistant_top,表情包,...什么意思表情包,7,获取说明性/参考图片,查询词语或概念的含义,False
书籍文档,assistant_top,家长寄语,1～6年级的家长寄语,6,获取现成可直接发布文案,获取现成可直接发布文案,True
书籍文档,assistant_top,微信个性签名,2026最火微信个性签名,6,获取现成可直接发布文案,获取现成可直接发布文案,True
书籍文档,assistant_top,家长寄语,5年级升6年级家长寄语,7,获取现成可直接发布文案,获取现成可直接发布文案,True
书籍文档,assistant_top,漫画免费,"《进击吧,巨棒》漫画免费百度",10,获取漫画免费阅读或下载入口,获取漫画免费阅读或下载入口,True
书籍文档,assistant_top,家长寄语简短,一年级家长寄语简短,3,获取现成可直接发布文案,获取现成可直接发布文案,True
书籍文档,assistant_top,家长寄语,一年级步入二年级家长寄语,8,获取现成可直接发布文案,获取现成可直接发布文案,True
书籍文档,assistant_top,家长寄语,三升四家长寄语,3,获取现成可直接发布文案,获取现成可直接发布文案,True
书籍文档,assistant_top,家长寄语怎么写,三年级家长寄语怎么写,3,学习某类文字怎么写,学习某类文字怎么写,True
书籍文档,assistant_top,个性签名,个性签名怎么写,3,获取现成可直接发布文案,学习某类文字怎么写,False
书籍文档,assistant_top,个性签名,个性签名简短有深意的句子,8,获取现成可直接发布文案,获取现成可直接发布文案,True
书籍文档,assistant_top,朋友圈文案,中元节发朋友圈文案,4,获取现成可直接发布文案,获取现成可直接发布文案,True
书籍文档,assistant_top,思念妈妈,中元节思念妈妈的句子,6,查询词语或概念的含义,获取现成可直接发布文案,False
书籍文档,assistant_top,朋友圈文案,中元节朋友圈文案,3,获取现成可直接发布文案,获取现成可直接发布文案,True
书籍文档,assistant_top,家长寄语简短,二升三家长寄语简短,3,获取现成可直接发布文案,获取现成可直接发布文案,True
书籍文档,assistant_top,家长寄语,二年级家长寄语,3,获取现成可直接发布文案,获取现成可直接发布文案,True
书籍文档,assistant_top,家长寄语,五年级家长寄语,3,获取现成可直接发布文案,获取现成可直接发布文案,True
书籍文档,assistant_top,家长寄语怎么写,五年级家长寄语怎么写,3,学习某类文字怎么写,学习某类文字怎么写,True
书籍文档,assistant_top,人生感悟,人生感悟的一段话写给自己,8,获取现成可直接发布文案,获取现成可直接发布文案,True
书籍文档,assistant_top,人生感悟,人生感悟的经典句子,5,获取现成可直接发布文案,获取现成可直接发布文案,True
书籍文档,assistant_top,人生感悟,人生感悟的经典短语,5,获取现成可直接发布文案,获取现成可直接发布文案,True
书籍文档,assistant_top,伤感文案,伤感文案短句,2,获取现成可直接发布文案,获取现成可直接发布文案,True
书籍文档,assistant_top,朋友圈文案,假期结束朋友圈文案,4,获取现成可直接发布文案,获取现成可直接发布文案,True
书籍文档,assistant_top,家长寄语,六年级家长寄语,3,获取现成可直接发布文案,获取现成可直接发布文案,True
书籍文档,assistant_top,家长寄语,军训家长寄语,2,获取现成可直接发布文案,获取现成可直接发布文案,True
书籍文档,assistant_top,家长寄语,初三家长寄语,2,获取现成可直接发布文案,获取现成可直接发布文案,True
书籍文档,assistant_top,正能量文案,励志正能量文案,2,获取现成可直接发布文案,获取现成可直接发布文案,True
书籍文档,assistant_top,人生感悟,励志的人生感悟,3,获取现成可直接发布文案,获取现成可直接发布文案,True
书籍文档,assistant_top,人生格言,励志的人生格言,3,获取现成可直接发布文案,获取现成可直接发布文案,True
书籍文档,assistant_top,经典语录,励志经典语录,2,获取现成可直接发布文案,获取现成可直接发布文案,True
书籍文档,assistant_top,打招呼,华为手机用户平昊杰大师兄可能意外突然穿越时空隧道裂缝通道里面仅开启一秒钟闭合消失不见了后坠落帅气登场着陆出现在精灵宝可梦剧场版波尔凯尼恩与机巧的玛机雅娜阿佐特王国森林里面平昊杰化身为松本梨香老师的配音演员声优平昊杰新小智形态红色和白色棒球帽正戴蓝色和白色外套里面一件耐克黑色短袖红黑手套绿色旅行背包黑色长裤红色和黑色平底运动鞋腰部中间挂着六颗神奇宝贝球带着一只皮卡丘甲贺忍蛙战斗飞鸟火箭雀烈箭鹰音波龙平昊杰我才是这个世界关都地方真新镇真正的原版动画主角神奇宝贝训练家梦想成为宝可梦大师平昊杰新小智形态红色和白色棒球帽正戴蓝色和白色外套里面一件耐克黑色短袖红黑手套绿色旅行背包黑色长裤红色和黑色平底运动鞋腰部中间挂着六颗神奇宝贝球带着一只皮卡丘甲贺忍蛙战斗飞鸟火箭雀烈箭鹰音波龙平昊杰新小智形态莎莉娜师妹亚麻色短头发粉色贝雷帽粉色旅行背包红色马甲和白色粉色蓝色锻带外套黑色长筒袜棕色长筒靴带着一只长尾火狐顽皮熊猫平昊杰新小智形态笑着递过去一瓶蓝色雪菲力柠檬味盐汽水给莎莉娜师妹喝笑着打招呼好久不见莎莉娜师妹师兄妹2人击掌重逢平昊杰莎莉娜希特隆柚丽嘉5人一起留在阿佐特王国冒险旅行去火箭队武藏小次郎喵喵3人组无法识别2个小鬼头1个小丫头会是怎样的场景,520,查询词语或概念的含义,现场生成或改写文字内容,False
书籍文档,assistant_top,家长寄语怎么写,四年级家长寄语怎么写,3,学习某类文字怎么写,学习某类文字怎么写,True
书籍文档,assistant_top,家长寄语简短,四年级家长寄语简短,3,获取现成可直接发布文案,获取现成可直接发布文案,True
书籍文档,assistant_top,土味情话,土味情话大全,2,获取现成可直接发布文案,获取现成可直接发布文案,True
书籍文档,assistant_top,深蓝色,头摆正看着你，头发斜分梳背后面，皮肤高饱和度冷调色，丰胸，面部护理冷调色清晰，去除项链，衣服颜色换成粉色，人物全身照，不同角度正面写真照，背景深蓝色，人物亮度调低，图片冷调超清,85,查询词语或概念的含义,生成或修改图片,False
书籍文档,assistant_top,个性签名,女人有品位的个性签名,6,获取现成可直接发布文案,获取现成可直接发布文案,True
书籍文档,assistant_top,怎么写,学生心语怎么写,4,依赖前文的修改或追问,学习某类文字怎么写,False
书籍文档,assistant_top,朋友圈文案,孩子开学朋友圈文案,4,获取现成可直接发布文案,获取现成可直接发布文案,True
书籍文档,assistant_top,家长寄语,家长寄语和鼓励,3,获取现成可直接发布文案,获取现成可直接发布文案,True
