claim,value,source_table,how_computed
语料行数（清洗后）,"22,934 = 2025搜索9,998+2026搜索9,999+助手头部950+助手随机987+助手语音1,000",analysis/pooled5/work/金融/composition.csv; analysis/pooled5/work/金融/summary.json,composition.csv 的 kept 列求和；与 summary.json.sources 一致；与 parquet 的 source.value_counts() 一致
助手行在全语料的基准占比,"12.81% (2,937/22,934)",analysis/pooled5/deliverables/金融_pooled5_labeled.parquet,"(~df.source.isin(['2025search','2026search'])).mean()"
运行模式与 kappa,mode=fast；n_annotators=1；kappa=null,runs/fin-pool5/gen01/run_summary.json; runs/fin-pool5/gen01/gold_agreement.json,"run_summary.mode；gold_agreement.agreement.{kappa,n_annotators,why_absent}；p2a_pilot_agreement / p2b_kappa 两门 status=skipped"
L1 类目数,18,analysis/pooled5/work/金融/summary.json; analysis/pooled5/deliverables/金融_pooled5_labeled.parquet,summary.n_classes_td_l1_name=18；df.td_l1_name.nunique()=18
交付的树规模,66 叶 / 55 家族,analysis/pooled5/work/金融/summary.json; analysis/pooled5/deliverables/金融_pooled5_labeled.parquet,"summary.n_classes_bu_leaf_name=66, n_classes_bu_family_final=55；df.bu_leaf_name.nunique()=66, df.bu_family_final.nunique()=55"
p6 之前定位到的家族数（不可当交付值引用）,25 → 精修后 55,runs/fin-pool5/gen01/granularity.json; runs/fin-pool5/gen01/metrics_panel.json,granularity.triangulation.chosen_family_k=25；metrics_panel.table.rows 中 subject=families_pre_governance n_clusters=25、families_final n_clusters=55
K 的定位方式与分歧,"locator=intent_alignment_ami, located_k=25, silhouette_peak_k=120, silhouette_disagrees=true, prior_agrees=false, measured_estimators_agree=false, n_rejected_as_unstable=0",runs/fin-pool5/gen01/granularity.json,granularity.triangulation 逐字段
定位参照系的覆盖,触及 6/25 个簇；reach=0.24；row_coverage=6.93%；p5 门 warned,runs/fin-pool5/gen01/granularity.json; runs/fin-pool5/gen01/run_summary.json,granularity.triangulation.locator_reach.phrasing_groups；run_summary.gates.p5_locator_reaches_the_corpus.status=warned
助手占比过半的类目数,4（比较同类金融产品并择优 70.2%、寻求个股买卖与持有决策建议 69.9%、处置账户异常与非预期扣款 67.9%、判定信贷产品账单与征信规则 55.5%）,analysis/pooled5/work/金融/taxonomy_delta_newclass_mix.csv,assistant_share>0.5 计数
助手占比最低的类,"进入个股股吧讨论区 0.52%（2,499 行里 13 行来自助手）",analysis/pooled5/work/金融/taxonomy_delta_newclass_mix.csv,"assistant_share 最小值；n_total=2499, n_assistant=13"
老/新体系逐行对齐的搜索行数,"19,995（两侧各 2 个重复键，取首次出现）",analysis/pooled5/deliverables/金融_pooled5_labeled.parquet; runs/fin-pool/gen01/labels_full.csv; data/raw/金融query-pooled.csv,"按 p5_taxonomy_delta.py 的 old_labels() 重建 (query, source)，与新标签 merge(validate='1:1')"
AMI(td) 老 vs 新,0.6865（对照 fin02/fin03 = 0.7742）,analysis/pooled5/deliverables/金融_pooled5_labeled.parquet+runs/fin-pool/gen01/labels_full.csv; analysis/pooled5/work/金融/../taxonomy_delta_summary.csv,"sklearn.adjusted_mutual_info_score(old_td,new_td)；对照值取 taxonomy_delta_summary.csv 的对照行（该表落盘版本不含金融行）"
NMI/ARI(td) 老 vs 新,NMI 0.6878 / ARI 0.7226,analysis/pooled5/deliverables/金融_pooled5_labeled.parquet+runs/fin-pool/gen01/labels_full.csv,normalized_mutual_info_score；adjusted_rand_score(类别码)
