domain,source,core,query,added_chars,core_td,wrap_td,same_intent
医疗,assistant_top,bmi,bmi值正常标准是多少,8,仅给出名称的裸实体查询,查询指标的正常值或参考范围,False
医疗,assistant_top,bmi,bmi怎么计算,4,仅给出名称的裸实体查询,处理非健康或无法归入上述意图的残余,False
医疗,assistant_top,bmi,bmi是指什么,4,仅给出名称的裸实体查询,查询疾病或医学术语的定义、病因与传染性,False
医疗,assistant_top,bmi,bmi计算器,3,仅给出名称的裸实体查询,处理非健康或无法归入上述意图的残余,False
医疗,assistant_top,hpv是什么,hpv是什么东西,2,查询疾病或医学术语的定义、病因与传染性,查询疾病或医学术语的定义、病因与传染性,True
医疗,assistant_top,hpv是什么,hpv是什么病?,2,查询疾病或医学术语的定义、病因与传染性,查询疾病或医学术语的定义、病因与传染性,True
医疗,assistant_top,hpv,hpv是性病吗,4,仅给出名称的裸实体查询,查询疾病或医学术语的定义、病因与传染性,False
医疗,assistant_top,hpv,hpv疫苗有必要打吗,7,仅给出名称的裸实体查询,对具体行为、搭配或说法给出是否可行的裁决,False
医疗,assistant_top,hpv,hpv病毒是什么病毒,7,仅给出名称的裸实体查询,查询疾病或医学术语的定义、病因与传染性,False
医疗,assistant_top,丙氨酸氨基转移酶,丙氨酸氨基转移酶高是什么原因,6,仅给出名称的裸实体查询,解读用户本人的检查数值或报告分级,False
医疗,assistant_top,冬虫夏草,东阳光冬虫夏草,3,仅给出名称的裸实体查询,处理非健康或无法归入上述意图的残余,False
医疗,assistant_top,五味子,五味子有什么功效,5,仅给出名称的裸实体查询,查询中药材/食材/茶饮的功效与作用,False
医疗,assistant_top,五味子,五味子的功效,3,仅给出名称的裸实体查询,查询中药材/食材/茶饮的功效与作用,False
医疗,assistant_top,五指毛桃,五指毛桃功效作用,4,仅给出名称的裸实体查询,查询中药材/食材/茶饮的功效与作用,False
医疗,assistant_top,五指毛桃,五指毛桃的功效,3,仅给出名称的裸实体查询,查询中药材/食材/茶饮的功效与作用,False
医疗,assistant_top,甲状腺结节,什么药能消除甲状腺结节,6,仅给出名称的裸实体查询,寻找疾病的治疗或缓解方案,False
医疗,assistant_top,他达拉非片,他达拉非片的功效,3,仅给出名称的裸实体查询,查询药品的功效与作用,False
医疗,assistant_top,他达拉非片,他达拉非片的功效与作用,6,仅给出名称的裸实体查询,查询药品的功效与作用,False
医疗,assistant_top,低血糖,低血糖有哪些症状,5,仅给出名称的裸实体查询,查询疾病的症状与早期征兆,False
医疗,assistant_top,体脂率,体脂率计算公式,4,仅给出名称的裸实体查询,处理非健康或无法归入上述意图的残余,False
医疗,assistant_top,便秘吃什么好最快排便,便秘吃什么好最快排便的方法,3,寻找疾病的治疗或缓解方案,寻找疾病的治疗或缓解方案,True
医疗,assistant_top,六味地黄丸,六味地黄丸作用,2,仅给出名称的裸实体查询,查询药品的功效与作用,False
医疗,assistant_top,六味地黄丸,六味地黄丸功效和作用,5,仅给出名称的裸实体查询,查询药品的功效与作用,False
医疗,assistant_top,六味地黄丸,六味地黄丸的作用和功效,6,仅给出名称的裸实体查询,查询药品的功效与作用,False
医疗,assistant_top,维生素b,六舒平维生素b真的能治疗白发吗,11,仅给出名称的裸实体查询,对具体行为、搭配或说法给出是否可行的裁决,False
医疗,assistant_top,冠心病,冠心病最怕什么刺激,6,仅给出名称的裸实体查询,处理非健康或无法归入上述意图的残余,False
医疗,assistant_top,冠心病,冠心病的症状表现,5,仅给出名称的裸实体查询,查询疾病的症状与早期征兆,False
医疗,assistant_top,冬虫夏草,冬虫夏草怎样吃,3,仅给出名称的裸实体查询,获取食疗/养生方的做法与搭配,False
医疗,assistant_top,决明子,决明子功效作用,4,仅给出名称的裸实体查询,查询中药材/食材/茶饮的功效与作用,False
医疗,assistant_top,前列腺炎,前列腺炎吃什么药,4,仅给出名称的裸实体查询,寻找疾病的治疗或缓解方案,False
医疗,assistant_top,前列腺炎,前列腺炎吃什么药效果好见效快,10,仅给出名称的裸实体查询,寻找疾病的治疗或缓解方案,False
医疗,assistant_top,前列腺炎,前列腺炎症状,2,仅给出名称的裸实体查询,查询疾病的症状与早期征兆,False
医疗,assistant_top,前列腺炎,前列腺炎的症状,3,仅给出名称的裸实体查询,查询疾病的症状与早期征兆,False
医疗,assistant_top,双氯芬酸钠缓释片,双氯芬酸钠缓释片的作用与功效,6,仅给出名称的裸实体查询,查询药品的功效与作用,False
医疗,assistant_top,口腔溃疡,口腔溃疡用什么药好,5,仅给出名称的裸实体查询,由自述症状直接索取药品或药膏,False
医疗,assistant_top,叶黄素,叶黄素有什么功效,5,仅给出名称的裸实体查询,查询中药材/食材/茶饮的功效与作用,False
医疗,assistant_top,司美那非,司美那非片功效,3,仅给出名称的裸实体查询,查询药品的功效与作用,False
医疗,assistant_top,司美那非,司美那非的功能主治,5,仅给出名称的裸实体查询,查询药品的功效与作用,False
医疗,assistant_top,同型半胱氨酸,同型半胱氨酸高说明什么,5,仅给出名称的裸实体查询,解读用户本人的检查数值或报告分级,False
医疗,assistant_top,土茯苓,土茯苓的功效,3,仅给出名称的裸实体查询,查询中药材/食材/茶饮的功效与作用,False
医疗,assistant_top,塞来昔布,塞来昔布的功效,3,仅给出名称的裸实体查询,查询中药材/食材/茶饮的功效与作用,False
医疗,assistant_top,塞来昔布,塞来昔布胶囊,2,仅给出名称的裸实体查询,仅给出名称的裸实体查询,True
医疗,assistant_top,塞来昔布胶囊,塞来昔布胶囊的作用与功效,6,仅给出名称的裸实体查询,查询药品的功效与作用,False
医疗,assistant_top,复方丹参滴丸,复方丹参滴丸不能随意吃的药,7,仅给出名称的裸实体查询,对具体行为、搭配或说法给出是否可行的裁决,False
医疗,assistant_top,夏枯草,夏枯草的功效,3,仅给出名称的裸实体查询,查询中药材/食材/茶饮的功效与作用,False
医疗,assistant_top,外阴瘙痒,外阴瘙痒有白斑用什么药,7,仅给出名称的裸实体查询,由自述症状直接索取药品或药膏,False
医疗,assistant_top,黄芪图片,大片黄色的黄芪图片大全,7,仅给出名称的裸实体查询,查询中医方剂组成、经络穴位与中医理论,False
医疗,assistant_top,太冲穴,太冲穴位图,2,仅给出名称的裸实体查询,查询中医方剂组成、经络穴位与中医理论,False
医疗,assistant_top,白癜风,太原白癜风医院收费,6,仅给出名称的裸实体查询,查询就医科室、医院/医生导航与挂号入口,False
医疗,assistant_top,太子参,太子参功效作用,4,仅给出名称的裸实体查询,查询中药材/食材/茶饮的功效与作用,False
医疗,assistant_top,奥美拉唑肠溶胶囊,奥美拉唑肠溶胶囊的作用与功效,6,仅给出名称的裸实体查询,查询药品的功效与作用,False
医疗,assistant_top,bmi,女性bmi多大算正常,7,仅给出名称的裸实体查询,查询指标的正常值或参考范围,False
医疗,assistant_top,bmi,女性bmi越大好还是越小好,10,仅给出名称的裸实体查询,处理非健康或无法归入上述意图的残余,False
医疗,assistant_top,bmi,女性bmi越小越好吗,7,仅给出名称的裸实体查询,处理非健康或无法归入上述意图的残余,False
医疗,assistant_top,bmi,女性的bmi大好还是小好,9,仅给出名称的裸实体查询,处理非健康或无法归入上述意图的残余,False
医疗,assistant_top,抑郁症,如何判断自己是否患有抑郁症,10,仅给出名称的裸实体查询,解释自身症状的原因,False
医疗,assistant_top,安宫牛黄丸,安宫牛黄丸的价格是多少,6,仅给出名称的裸实体查询,查询诊疗项目的费用、时长与恢复参数,False
医疗,assistant_top,宫颈癌,宫颈癌的早期症状,5,仅给出名称的裸实体查询,查询疾病的症状与早期征兆,False
医疗,assistant_top,喹硫平,富马酸喹硫平片,4,仅给出名称的裸实体查询,仅给出名称的裸实体查询,True
医疗,assistant_top,尿路感染,尿路感染吃什么药好,5,仅给出名称的裸实体查询,寻找疾病的治疗或缓解方案,False
医疗,assistant_top,尿路感染吃什么药,尿路感染吃什么药好得快,3,寻找疾病的治疗或缓解方案,寻找疾病的治疗或缓解方案,True
医疗,assistant_top,尿酸高,尿酸高不能吃什么,5,仅给出名称的裸实体查询,对具体行为、搭配或说法给出是否可行的裁决,False
医疗,assistant_top,尿酸高,尿酸高吃什么好得快还能降下来,11,仅给出名称的裸实体查询,寻找疾病的治疗或缓解方案,False
医疗,assistant_top,尿酸高,尿酸高是怎么回事,5,仅给出名称的裸实体查询,解读用户本人的检查数值或报告分级,False
医疗,assistant_top,尿酸高,尿酸高的原因,3,仅给出名称的裸实体查询,解读用户本人的检查数值或报告分级,False
医疗,assistant_top,尿酸高,尿酸高的症状,3,仅给出名称的裸实体查询,查询疾病的症状与早期征兆,False
医疗,assistant_top,山茱萸,山茱萸的功效,3,仅给出名称的裸实体查询,查询中药材/食材/茶饮的功效与作用,False
医疗,assistant_top,左氧氟沙星,左氧氟沙星作用,2,仅给出名称的裸实体查询,处理非健康或无法归入上述意图的残余,False
医疗,assistant_top,布洛芬,布洛芬的功效,3,仅给出名称的裸实体查询,查询中药材/食材/茶饮的功效与作用,False
医疗,assistant_top,布洛芬,布洛芬缓释胶囊,4,仅给出名称的裸实体查询,仅给出名称的裸实体查询,True
医疗,assistant_top,带状疱疹,带状疱疹图片,2,仅给出名称的裸实体查询,仅给出名称的裸实体查询,True
医疗,assistant_top,带状疱疹,带状疱疹的特效药,4,仅给出名称的裸实体查询,寻找疾病的治疗或缓解方案,False
医疗,assistant_top,幽门螺旋杆菌,幽门螺旋杆菌有哪些症状,5,仅给出名称的裸实体查询,查询疾病的症状与早期征兆,False
医疗,assistant_top,幽门螺杆菌,幽门螺杆菌症状,2,仅给出名称的裸实体查询,查询疾病的症状与早期征兆,False
医疗,assistant_top,归脾丸,归脾丸的功效,3,仅给出名称的裸实体查询,查询药品的功效与作用,False
