claim,value,source_table,how_computed
语料总行数,21934,work/影视/summary.json: n_rows,run film-pool5/gen01 交付语料；四来源行数 9998/9999/955/982 之和
搜索行占语料比例,91.17%,analysis/pooled5/deliverables/影视_pooled5_labeled.parquet,df.source.str.contains('search').mean()*100 = 19997/21934
助手行占语料比例,8.83%,analysis/pooled5/deliverables/影视_pooled5_labeled.parquet,1937/21934；assistant_top 955 + assistant_random 982
L1 意图类目数,17,work/影视/summary.json: n_classes_td_l1_name；run_summary.json: gates.p2a_taxonomy_shape,"gate 文本 '17 L1 intents, 54 adjudication rules'"
裁决规则总数,54,runs/film-pool5/gen01/taxonomy_v2.json: rule_conflicts.n_rules,同 gates.p2a_taxonomy_shape
有可执行触发条件的规则数,42,runs/film-pool5/gen01/taxonomy_v2.json: rule_conflicts.n_with_executable_trigger,54-42=12 条无可执行触发
then 不是类目的规则,5 条: R_ENDING_PLAY_VS_SPOILER / R_FACTS_VS_PLAYBACK / R_IDENTIFY_VS_LORE / R_PERSON_VS_WORK_CAST / R_PLOT_VS_LORE,runs/film-pool5/gen01/taxonomy_v2.json: rule_conflicts.rules_in_compared_pairs_whose_then_is_not_a_class,字段直接列出
规则-证据比对未运行,status=skipped; n_triggers_rejected=0 是0条被裁定行而非0条不合格规则,runs/film-pool5/gen01/run_summary.json: gates.p2b_rules_match_their_evidence; taxonomy_v2.json: rules_vs_evidence.n_triggers_rejected,gate message: 本次没有任何被裁定的行可供检验
kappa 未测量,"status=skipped, n_annotators=1, n=3000",runs/film-pool5/gen01/run_summary.json: gates.p2b_kappa; gold_agreement.json: agreement,fast 模式单标注员 a；kappa=null 不是 1.0
交付叶数,19,work/影视/summary.json: n_classes_bu_leaf_name; run_summary.json: gates.p10_delivered_leaves_named,metrics_panel.json subject=leaves n_clusters=19.0
交付家族数,16,work/影视/summary.json: n_classes_bu_family_final; metrics_panel.json: subject=families_final n_clusters=16,治理前 families_pre_governance n_clusters=6
交付叶的盲评连贯度,3.882/5,runs/film-pool5/gen01/metrics_panel.json: table.rows[subject=leaves].coherence,交付面板；p7 闸门的 3.88/5 量的是 p8 之前的 17 个叶
交付叶的留出复现率,0.943,runs/film-pool5/gen01/metrics_panel.json: table.rows[subject=leaves].heldout_reproduction,p6 闸门的 96.7% (n=4387) 是 p8 改写前的划分
交付叶的模糊率,21.71%,runs/film-pool5/gen01/metrics_panel.json: table.rows[subject=leaves].ambiguous_rate=0.2171,
交付叶 stability_ari / distill_accuracy / silhouette,0.9404 / 0.9352 / 0.0376,runs/film-pool5/gen01/metrics_panel.json: table.rows[subject=leaves],
16 个家族里只含 1 个叶的家族数,14,analysis/pooled5/deliverables/影视_pooled5_labeled.parquet,"df.groupby(['bu_family_final','bu_leaf']) 后每家族的叶数；只有 family 4 (3叶) 与 family 5 (2叶) 多叶"
家族 K 定位值与定位器,"6, intent_alignment_ami",runs/film-pool5/gen01/granularity.json: triangulation.chosen_family_k / locator,领域先验期望 10-24 (expert_range)
定位 K 的参照系触及范围,"60% 的簇 (15/25), 24.4% 的行","runs/film-pool5/gen01/granularity.json: triangulation.locator_reach.phrasing_groups.reach=0.6, row_coverage=0.244",gates.p5_locator_reaches_the_corpus.status=warned
K=6 是网格提议者的候选并且胜出,"proposed_kept=[6,7], chosen=6, a_proposed_value_won=true",runs/film-pool5/gen01/granularity.json: grid_proposal,ops/select.py 的 challenger_beats_incumbent 折价按其模块文档是 documented rather than quietly wired，即未被调用
治理处方数与结果,"23 条, 18 执行 / 5 否决",runs/film-pool5/gen01/governance.json: settled.n_total/n_executed/n_declined; run_summary.json: gates.p8_governance_executed,
被否决的四条合并,P001/P003/P005/P007 merge_leaves declined (配对叶被判为风险隔离对象),runs/film-pool5/gen01/governance.json: ledger + settled.declined_reasons,
带（合并后目标）后缀的交付叶名,5 个（其中 4 个对应的 merge_leaves 被否决，1 个 CCTV5直播观看（合并后目标） 对应的 P009 已执行但未改名）,analysis/pooled5/deliverables/影视_pooled5_labeled.parquet / runs/film-pool5/gen01/leaf_relabels.json,sum('合并后目标' in n for n in df.bu_leaf_name.unique())；P001/P003/P005/P007 declined，P009 executed
5 条 relabel 处方规定的新名落到处方目标叶上的个数,"0（4 个字符串在 bu_leaf_name 中完全不存在；免费电视剧全集在线观看查询 存在但属 leaf 3 / 3,401 行，不是 P004 的目标 leaf 2）",analysis/pooled5/deliverables/影视_pooled5_labeled.parquet / runs/film-pool5/gen01/governance.json: ledger P002/P004/P006/P008/P010,逐一检查 动漫资源与在线观看 / 影视文学动漫作品名称与资源查询 / 电影与影视免费在线观看查询 / 电视直播观看 均不在 df.bu_leaf_name.unique()；免费电视剧全集在线观看查询 存在但属 leaf 3 而非处方目标 leaf 2
助手占比 >50% 的类目数,2,work/taxonomy_delta_summary.csv: classes_majority_assistant=2.0,
剧情设定讨论与同人假设问答 的助手占比,85.75% (379/442),work/影视/taxonomy_delta_newclass_mix.csv: assistant_share/n_assistant/n_total,
凭情节片段反查片名 的助手占比,61.32% (65/106),work/影视/taxonomy_delta_newclass_mix.csv,
获取片段台词或混剪等衍生内容 的助手占比,41.59% (220/529),work/影视/taxonomy_delta_newclass_mix.csv,
获取作品的在线播放入口 的助手占比,3.05% (226/7407),work/影视/taxonomy_delta_newclass_mix.csv,
裸片名 的助手占比,6.56% (608/9263),work/影视/taxonomy_delta_newclass_mix.csv,
匹配的搜索行数,19992,work/taxonomy_delta_summary.csv: matched_search_rows,"film-pool (旧, 15类) 与 film-pool5 (新, 17类) 按 (query, source) 1:1 join"
AMI(td) 影视 vs 对照,0.5897 vs 0.7742,work/taxonomy_delta_summary.csv: AMI_td,对照行 domain=对照·同数据两次运行(fin02/fin03)
AMI(bu) 影视 vs 对照,0.4247 vs 0.6873,work/taxonomy_delta_summary.csv: AMI_bu,
NMI(td) / ARI(td),0.5911 / 0.6875,work/taxonomy_delta_summary.csv: NMI_td / ARI_td,
旧类 寻找成人或情色内容 的搜索行数,944,work/影视/taxonomy_delta_crosstab.csv: 列 寻找成人或情色内容 求和,
其中仍带成人标签的行数与比例,75 行 / 7.9%,work/影视/taxonomy_delta_crosstab.csv: 行 获取成人或限制级内容 × 列 寻找成人或情色内容,75/944
旧成人类的最大三个去向,裸片名 440 (46.6%) / 在线播放入口 260 (27.5%) / 衍生内容 78 (8.3%),work/影视/taxonomy_delta_crosstab.csv,
新类 获取成人或限制级内容 的搜索行数与来源,"192 行, 39% 来自旧成人类",work/影视/taxonomy_delta_crosstab.csv 行求和; taxonomy_delta_newclass_mix.csv: main_old_share=0.3906,
旧类 按条件浏览或求推荐片单 的规模与去向,"793 行 / 1,162,407 PV；324→裸片名, 300→在线播放入口, 61→站点导航, 40→App",work/影视/taxonomy_delta_crosstab.csv 列求和; PV 自算于 analysis/pooled5/deliverables/影视_pooled5_labeled.parquet,新框架无对应类目
该旧类 PV 前列是纯品类词,电影 35532 / 韩国电影在线观看电影完整版高清免费观看 34805 / 电视剧 27658 / 韩国电影 22650 / 动漫 20742,analysis/pooled5/deliverables/影视_pooled5_labeled.parquet + runs/film-pool/gen01/labels_full.csv,"按 (query,source) join 旧标签后取该旧类 nlargest(pv_raw)"
旧类 非影视垂类或噪声 的规模,"601 行, 散入 9 个以上新类 (衍生内容 23% / 裸片名 19% / 站点导航 16%)",work/影视/taxonomy_delta_crosstab.csv 列求和与列内占比,
旧类 由描述或别名定位标准片名 的规模与去向,"273 行；裸片名 49% / 在线播放入口 11% / 剧情设定讨论 10% / 按演职人员反查作品列表 7% (20 行, 7.33%) / 凭片段反查 6% (5.86%)",work/影视/taxonomy_delta_crosstab.csv,
未动的映射,返回裸片名枢纽页→裸片名 96%；获取播放页→在线播放入口 96%；观看电视直播→电视直播 97%；网盘→网盘 97%；演员表→演员表 95%,work/影视/taxonomy_delta_crosstab.csv 列内占比,
四条线的 TVD,时间 0.0739 / 界面 0.2392 / 深度 0.4449 / 界面+深度 0.6070,work/影视/contrast_summary_td_l1_name.csv: tvd,
四条线的 Cramér's V,0.1494 / 0.2921 / 0.5094 / 0.6546,work/影视/contrast_summary_td_l1_name.csv: cramers_v,
四条线的显著类数,10 / 8 / 10 / 13,work/影视/contrast_summary_td_l1_name.csv: n_sig_classes,Newcombe 95% 区间不含 0
emergent/receded 标记均不显著,"获取未删减或未遮挡版本, 两条 sig=False, 全语料 30 行",work/影视/diffs_td_l1_name.csv: kind!=stable; taxonomy_delta_newclass_mix.csv: n_total=30,
时间线: 获取作品的在线播放入口,"38.20%→33.62%, -4.57pp [-5.90,-3.25]",work/影视/diffs_td_l1_name.csv: a=2025search b=2026search,唯一超过 4pp 的一条
时间线: 获取作品的网盘或资源下载渠道,"0.11%→2.97%, +2.86pp [+2.53,+3.21]",work/影视/diffs_td_l1_name.csv,"行数 11→297, PV 8788→371404 (自算)"
时间线: 收看电视频道直播或查询节目表,"1.64%→3.96%, +2.32pp [+1.87,+2.78]",work/影视/diffs_td_l1_name.csv,
时间线: 裸片名,"42.41%→44.15%, +1.75pp [+0.37,+3.12]",work/影视/diffs_td_l1_name.csv,
2025/2026 搜索 PV 总量与门槛,"16,451,130→12,497,425 (-24.0%); 中位 686→533; 最小 354→284",analysis/pooled5/deliverables/影视_pooled5_labeled.parquet,分来源 pv_raw.sum()/median()/min()
等 PV 门槛对照 (2026 取 pv>=354),"剩 7886 行, TVD 0.0746",analysis/pooled5/deliverables/影视_pooled5_labeled.parquet,TVD = 0.5*sum|p_a-p_b| on td_l1_name
等秩对照 (两边各取 PV 前 7886),TVD 0.0753,analysis/pooled5/deliverables/影视_pooled5_labeled.parquet,"nlargest(7886,'pv_raw') 各取后算 TVD；与全量 0.0739 一致"
2025→2026 逐字重合 (不同串口径),28.42%,work/影视/overlap.csv: 行 2025search 列 2026search = 0.2842,
