domain,source,core,query,added_chars,core_td,wrap_td,same_intent
教育,assistant_top,大学排名,985大学排名,3,进行升学与择校志愿决策咨询,进行升学与择校志愿决策咨询,True
教育,assistant_top,cute,<div>—Do you have a pet dog?  —______ It's cute.</div>,50,启动翻译工具或查询英汉词句,无意图或上下文依赖的残余查询,False
教育,assistant_top,hello,Hello hello,6,启动翻译工具或查询英汉词句,无意图或上下文依赖的残余查询,False
教育,assistant_top,know,I don't know,8,启动翻译工具或查询英汉词句,无意图或上下文依赖的残余查询,False
教育,assistant_top,know,I don't know what,13,启动翻译工具或查询英汉词句,无意图或上下文依赖的残余查询,False
教育,assistant_top,know,I don't know what to do,19,启动翻译工具或查询英汉词句,无意图或上下文依赖的残余查询,False
教育,assistant_top,think,I don't think so,11,启动翻译工具或查询英汉词句,无意图或上下文依赖的残余查询,False
教育,assistant_top,want,I don't want to,11,启动翻译工具或查询英汉词句,无意图或上下文依赖的残余查询,False
教育,assistant_top,love,I love you,6,启动翻译工具或查询英汉词句,无意图或上下文依赖的残余查询,False
教育,assistant_top,you,Thank you,6,无意图或上下文依赖的残余查询,无意图或上下文依赖的残余查询,True
教育,assistant_top,good,"That's a,good thing",15,启动翻译工具或查询英汉词句,无意图或上下文依赖的残余查询,False
教育,assistant_top,hat,What are you doing?,16,启动翻译工具或查询英汉词句,无意图或上下文依赖的残余查询,False
教育,assistant_top,name,What's your name,12,启动翻译工具或查询英汉词句,启动翻译工具或查询英汉词句,True
教育,assistant_top,down,pull down,5,启动翻译工具或查询英汉词句,启动翻译工具或查询英汉词句,True
教育,assistant_top,人事考试网,中国人事考试网,2,导航至官方招考政务门户与登录入口,导航至官方招考政务门户与登录入口,True
教育,assistant_top,光电信息科学与工程,光电信息科学与工程去年分数线是多少,8,了解专业培养内容与就业前景,查询录取分数线与录取数据,False
教育,assistant_top,华中科技大学,华中科技大学在职研究生,5,按裸校名检索院校信息,按裸校名检索院校信息,True
教育,assistant_top,南京理工,南京理工大学,2,按裸校名检索院校信息,按裸校名检索院校信息,True
教育,assistant_top,高考时间,天津高考时间2025年时间表,10,进行升学与择校志愿决策咨询,进行升学与择校志愿决策咨询,True
教育,assistant_top,大学排名,安徽大学排名,2,进行升学与择校志愿决策咨询,进行升学与择校志愿决策咨询,True
教育,assistant_top,岳阳楼记,岳阳楼记全文,2,检索古诗文与课文原文,检索古诗文与课文原文,True
教育,assistant_top,拼豆图纸,帮我画 拼豆图纸,4,无意图或上下文依赖的残余查询,无意图或上下文依赖的残余查询,True
教育,assistant_top,防溺水手抄报,帮我画 防溺水手抄报,4,完成中小学学科作业与写作任务,完成中小学学科作业与写作任务,True
教育,assistant_top,分数线,录取分数线,2,查询录取分数线与录取数据,查询录取分数线与录取数据,True
教育,assistant_top,么组词,怎么组词？,2,生成生字组词,生成生字组词,True
教育,assistant_top,新东方,新东方烹饪学校一年学费是多少,11,无意图或上下文依赖的残余查询,进行升学与择校志愿决策咨询,False
教育,assistant_top,新东方,新东方考研价格表,5,无意图或上下文依赖的残余查询,查询职业资格与成人学历提升,False
教育,assistant_top,新东方,新东方西点学费价目表,7,无意图或上下文依赖的残余查询,无意图或上下文依赖的残余查询,True
