claim,value,source_table,how_computed
医疗语料总行数,22952,analysis/pooled5/work/医疗/summary.json,字段 n_rows；等于 composition.csv 的 kept 列求和 9998+9998+958+998+1000
各来源清洗后行数,2025search 9998 / 2026search 9998 / assistant_top 958 / assistant_random 998 / assistant_voice 1000,analysis/pooled5/work/医疗/composition.csv,kept 列直读
助手行占全语料的比例（作为 assistant_share 的基准线）,12.88%,analysis/pooled5/work/医疗/composition.csv,(958+998+1000)/22952 = 2956/22952 = 0.12879
本次运行为 fast 模式，kappa 不存在（不是 1.0）,mode=fast; kappa=null; n_annotators=1,runs/med-pool5/gen01/run_summary.json + runs/med-pool5/gen01/gold_agreement.json,"run_summary.json 顶层 mode 字段 = 'fast'，fast_skipped 含 dual_annotation/kappa_agreement；gold_agreement.json agreement.kappa=null, agreement.n_annotators=1, why_absent 字段原文"
金标集行数与来源构成,3200 行；搜索 2772 (86.63%)：2025search 1408 + 2026search 1364；助手 428：voice 155 / random 142 / top 131,runs/med-pool5/gen01/gold.csv + analysis/pooled5/deliverables/医疗_pooled5_labeled.parquet,"用 gold.csv 的 idx 回接 医疗_pooled5_labeled.parquet 的 row_id（3200/3200 行 query 文本逐条一致），再对 source 做 value_counts。搜索占比 = 2772/3200。禁止用 query 文本 join：两年 Top-1万 有 63.3% 的串逐字相同，该 parquet 按 sort_values(['source','pv_norm']) 落盘，文本 join 会把共有串全判给 2025search（复核 B-1）"
自上而下 L1 类目数,20,analysis/pooled5/work/医疗/summary.json,n_classes_td_l1_name；与 analysis/pooled5/deliverables/医疗_pooled5_labeled.parquet 的 td_l1_name.nunique() 一致
交付的自下而上形状：叶数/家族数,30 叶 / 27 家族,analysis/pooled5/work/医疗/summary.json + runs/med-pool5/gen01/tree_naming.json,analysis/pooled5/deliverables/医疗_pooled5_labeled.parquet 的 bu_leaf_name.nunique()=30、bu_family_final.nunique()=27；tree_naming.json 的 families_final 列表长度=27。granularity.json 的 chosen_family_k=7 是 p6 精修前的定位值，不是交付形状，不可引用为最终家族数
K 的定位器与被否决的先验,"located_by=intent_alignment_ami；silhouette_peak_k=4；expert_range=[8,28]；prior_agrees=false",runs/med-pool5/gen01/granularity.json,triangulation 子对象逐字段直读
没有任何一个 L1 类是助手行占多数,max(assistant_share)=0.4452（对正在发生的具体不适做分诊与处置判断）；>0.5 的类目数=0,analysis/pooled5/work/医疗/taxonomy_delta_newclass_mix.csv,assistant_share 列取最大值；按 >0.5 计数得 0
助手行占比最高的四个类,分诊 0.4452 / 行为裁决 0.4167 / 残余 0.3644 / 就医导航 0.3080,analysis/pooled5/work/医疗/taxonomy_delta_newclass_mix.csv,assistant_share 列降序前四行；倍数 = 该值 / 0.12879
助手行占比最低的类是药品功效,0.0350,analysis/pooled5/work/医疗/taxonomy_delta_newclass_mix.csv,new_class=查询药品的功效与作用 的 assistant_share
加入助手行后同一批搜索行的 AMI(td),0.6807,自行复算（runs/med-pool/gen01/labels_full.csv vs runs/med-pool5/gen01/labels_full.csv）,"照搬 analysis/pooled5/p5_taxonomy_delta.py 的 delta() 逻辑：old_labels('医疗') 取 med-pool 的 labels_full.csv 并与 data/raw/医疗query-pooled.csv 位置对齐；new 取 pooled5_common.load('医疗') 中 source∈{2025search,2026search} 的行；按 (query,source) 各自 drop_duplicates(keep='first') 后 1:1 内连接得 19996 行；adjusted_mutual_info_score(old_td,new_td)。脚本见 scratchpad/med_ami_dommed.py。taxonomy_delta_summary.csv 落盘版被后续领域覆盖，当前不含医疗行"
同上 NMI(td) / ARI(td) / AMI(bu),NMI 0.6818 / ARI 0.6123 / AMI(bu) 0.5158,同上,"同一次合并上分别调 normalized_mutual_info_score、adjusted_rand_score(类别编码后)、adjusted_mutual_info_score(old_bu,new_bu)"
匹配到的搜索行数与重复键,"19996 行；dup_keys=(0,0)",同上,"内连接后 len(m)=19996；两侧 groupby(['query','source']).size()>1 的计数均为 0"
对照：同一份数据跑两次的 AMI,"AMI(td)=0.7742, AMI(bu)=0.6873, matched 9999 行",analysis/pooled5/work/taxonomy_delta_summary.csv,行 domain='对照·同数据两次运行(fin02/fin03)' 直读。这是单一对照点，一个领域、一对运行、行数只有一半，没有区间
