query,n_rows,sources,quotable_any,sid,in_report,in_docs,claude_lens
"(右上叶尖段)纤支镜活检组织,查见肿瘤,待免疫组化检查(ID202611123)。",1,2026search_rand,True,M5c7773996a3,False,False,False
",免疫细胞和用来攻击病菌的抗体至要是由什么组成的",1,2025search_rand,True,Ma95b628d19a,False,False,False
-60肉豆蔻基甘的功效与作用,1,2025search_rand,True,M0f791544c7b,False,False,False
.... 牙疼在饮食上怎么调整,3,"2025search,2026search,assistant_top",True,Me5b077d01c5,False,False,True
.Lissencephaly畸形,1,2025search_rand,True,M1ad25955951,False,False,False
.吃瑞巴派特片少喝水还是多喝水好呢。。。。。。。。。。。。功能性消化不良,1,2026search_rand,True,M5105d289503,False,False,True
".天麻,钩藤颗粒,复方丹参片合用功效",1,2026search_rand,False,Mfccaba09a71,False,False,False
0.004M苄索氯铵滴定液空白滴定消耗大概多少,1,2026search_rand,True,Macec9f1e8bb,False,False,False
0.1%的塔克莫司软膏能抹脖子和脸吗,1,2026search_rand,True,M23247c8fc3f,False,False,False
0.1-0.2cm肉芽多久能消,1,assistant_random,True,Ma1b68cdf0d2,False,False,True
0.25g阿莫西林胶囊一次吃几粒,1,2026search,True,M79b50fcabc4,False,False,False
0.3至0.4厘米的息肉相当于什么那么大,1,2026search_rand,True,Mb7200b00556,False,False,False
0.5毫克的甲钴胺可不可以撇开吃,1,assistant_voice,True,M69976faa5ab,False,False,True
0.6*0.5的泡状暗区 隐约见卵黄囊 是孕囊吗,1,2025search_rand,True,M8decd769b81,False,False,True
052382684290是兴化城中卫生中心的电话吗,1,2026search_rand,True,Mb401a408b39,False,False,True
0mega3的功效与作用,1,2025search_rand,True,Mad072c43a48,False,False,False
0到4岁疫苗接种时间表,1,2026search_rand,True,Md79f61618cb,False,False,True
0型与ab型生的孩子是什么血型,1,2025search_rand,True,Ma31f67dceab,False,False,False
0蔗糖奶粉血糖高可以喝吗,1,2026search_rand,True,M315c7d75e50,False,False,False
"1,胃间质瘤,2,营养风险,核分裂像<于5个/50HPF怎么解",1,2026search_rand,True,Mbf9883b02c6,False,False,False
1. 白豆蔻佛手 乌药,1,2026search_rand,True,M5075146a682,False,False,False
1.2厘米脑膜瘤用手术吗,1,2026search_rand,True,M7b7d3da35e2,False,False,False
1.5g头孢呋辛钠皮试配制方法,1,2026search_rand,True,Ma6e75e2e07c,False,False,False
10000万余颗心顺畅吗,1,2025search_rand,True,Mbe6c9c43d2b,False,False,False
1000毫升的泻药可以一次性喝完吗,1,2025search_rand,True,M04e55e4f501,False,False,True
"100ml氯化钠注射液,3g头孢哌酮需要输多长时间",1,2025search_rand,True,Mb0eedbdeb24,False,False,False
100ml牛奶含多少胆固醇,1,2026search_rand,True,M0f11826c2dc,False,False,False
100克熟米饭的热量是多少大卡,1,2026search_rand,True,M5cbffa1c030,False,False,False
100克红薯🈶多少碳水,1,2026search_rand,True,M481ba6d9210,False,False,False
100克肉的热量,1,2025search_rand,True,M1510c655ea7,False,False,False
100克虾含多少卡路里,1,2025search_rand,True,M477f0bf4a01,False,False,False
100克车厘子的热量,1,2025search_rand,True,Mc7f87a3d848,False,False,False
100斤瘦5斤明显吗,1,2025search_rand,True,Mec42ac6bf35,False,False,False
10u hpv病毒,1,2026search_rand,True,M97a6df63e10,False,False,False
10个月的宝宝喂中药吐了怎么办,1,2025search_rand,True,M5afd4b6ed01,False,False,True
10个蒜蓉生蚝多少卡路里,1,2025search_rand,True,M690026c1ce1,False,False,False
10周岁男孩适合割包皮吗,1,2026search_rand,True,Md7af145a724,False,False,True
10岁女孩500个开和跳消耗多少,1,2026search_rand,True,M11ec1b020dc,False,False,True
10岁孩子感冒好了鼻子不透气吃什么药效果好,1,2026search_rand,False,Ma793db6e350,False,False,True
10岁孩子起闷头可以吃牛黄解毒丸么,1,2025search_rand,False,M784339f2d60,False,False,True
10岁小孩牙齿掉了一直不长怎么办,1,2025search_rand,True,Mf0e1616cc09,False,False,True
10岁小鸡应该多大,1,2026search_rand,True,Mf895c4a74b9,False,False,True
10岁男孩正常身高是多少,1,2026search,True,M9cca1444b1d,False,False,True
10岁男童晚上睡觉前尿不尽,1,2026search_rand,True,Me3c186dab87,False,False,True
10岁远视储备视力多少正常,1,2026search_rand,True,M4103ec9ee8c,False,False,True
10斤相当于多少脂肪,1,2025search_rand,True,M6ffbc274f28,False,False,False
10月龄婴儿在展馆内喝奶瓶被赶出天气太热晚上睡觉小孩子不穿衣服会肚子着凉吗,1,2025search_rand,True,M4756d0c0adb,False,False,True
10点睡觉4点半起床是熬夜吗,1,2025search_rand,True,M853ea72a646,False,False,False
11000千卡相当于减肥几斤,1,2026search_rand,True,Mae05c749fb3,False,False,False
114网上预约挂号,1,2026search,True,M20f08d4bb1c,False,False,False
11个月宝宝吃退烧药吃多少毫升,1,2025search_rand,False,M80cbe758c7f,False,False,True
"11个月宝宝查出食物不耐受,免疫球蛋白E27.4",1,2026search_rand,True,Mf824f378085,False,False,True
11个月宝宝正常血红蛋白值是多少,1,2026search_rand,True,M046eb3ee6f4,False,False,True
11周岁来月经正常吗?属于早熟吗?,1,2026search_rand,True,M4a7c4aa0689,False,False,True
11岁半男孩睾丸变大阴茎没长是正常的吗,1,2025search_rand,True,M8bc3d2d4555,False,False,True
11岁女孩来月经了正常吗,1,2025search,True,M05ba3d9d1b0,False,False,True
11岁女孩的身高标准是多少,1,2026search_rand,True,M251a1328a9e,False,False,True
11岁女孩肚脐下方小腹疼痛原因,1,2026search_rand,True,M79ad8f3cdcb,False,False,True
11岁男孩呃男大约在多少斤,1,assistant_voice,True,M3dd4708d43b,False,False,True
11岁男孩正常身高是多少,1,2026search,True,Md9138bef2f3,False,False,True
11岁男孩鼻头粉刺怎么回事,1,2025search_rand,True,M84a444cc9ee,False,False,True
11岁男童标准身高,1,assistant_random,True,Mef56eabcfbb,True,False,True
11月18号末次月经预产期是什么时候,1,2025search_rand,True,M7cea37800f4,False,False,False
11月25末次月经预产期什么时候,1,2025search_rand,True,M47e67f9ce06,False,False,False
11瓶做静脉曲张是他自己亲自做吗,1,2026search_rand,True,Mc326380d1ca,False,False,False
12320预约挂号网,1,2026search,True,Mdebbfad06c6,False,False,False
12岁女孩第一次来这个月经来了十多天下个月还来吗,1,2026search_rand,True,Mbfcfb6e2fb4,False,False,True
12岁女孩蹲下露白内裤需要检查吗,1,assistant_voice_top,False,M6ad39ab2a1a,False,False,True
"12岁孩子做难题作业,心率快怎么办",1,2025search_rand,True,M52db013cb66,False,False,True
12岁孩子怎么吃奥美拉唑肠溶胶囊,1,2025search_rand,False,Mebd91e3b0ac,False,False,True
12岁孩子牙齿发黄，多久能改善,1,assistant_random,True,M128c2476989,False,False,True
12岁孩子耳朵听不见怎么办,1,2026search_rand,True,M7c8a89ae686,False,False,True
12岁孩子膝盖疼关节少许积液到底是两个月之前摔伤引起的还是一个月之前连续跳爵士舞6天引起的？,1,assistant_random,True,Maab4be11e9d,False,False,True
12岁小孩每次拉屎都没拉完难受,1,assistant_voice,True,M3c0fcb38b06,False,False,True
12岁小孩能不能吃阿莫西林,1,assistant_voice,False,M253f17e4c93,False,False,True
12岁拉肚子吃什么药最有效,1,2026search_rand,False,Mbfdbf3982bd,False,False,True
12岁男孩咳嗽,1,2026search_rand,True,Mf607d735963,False,False,True
12岁男孩舌苔厚白是怎么回事,1,2026search_rand,True,Mf4bc283ee30,False,False,True
12岁的孩子补牙有什么影响吗?,1,2025search_rand,True,Mae7105e17f6,False,False,True
12岁的孩子起床之后说脖子疼,1,assistant_voice,True,M77a75ace5b9,False,False,True
12岁的小男孩睡觉流口水是什么原因,1,2025search_rand,True,M2b056d99b64,False,False,True
12岁的男孩身高多少才正常,2,"2025search,2026search",True,M176a812e93a,False,False,True
12指肠出血是啥引起的？,1,assistant_random,True,Md3f4dffc8e5,True,False,True
12指肠溃疡严重嘛,1,2025search_rand,True,M0976349ef35,False,False,False
131821染色体分辨男女准吗,1,2025search_rand,True,M488ec3844bd,False,False,False
13三体综合症表现,1,2026search_rand,True,M99ab89dc2f6,False,False,False
13价肺炎疫苗有没有必要打,1,2025search,True,M64d9bd7237f,False,False,False
"13号月经,排卵期哪天",1,2026search_rand,True,Mda780515b28,False,False,False
13周岁快14了。,1,assistant_random,True,M280ad3636d6,False,False,True
13周岁男生大便上面有粘液然后屁眼疼是怎么回事,1,2026search_rand,True,M9492d3b3573,False,False,True
13岁70斤160,1,2025search_rand,True,M1f69e2b06de,False,False,True
13岁女孩出尿口,1,2026search_rand,True,M30021a9067b,False,False,True
"13岁女孩腋毛有点长,还会长高吗?",1,2025search_rand,True,M5d9c9f05970,False,False,True
13岁小孩检查生殖发育挂哪个科,1,2025search_rand,False,M7359bbb097c,False,False,True
13岁小阴唇肿大疼怎么办,1,2025search_rand,True,Mb4c5b4aaaa2,False,False,True
13岁男孩左胸疼怎么回事,1,2025search_rand,False,M73d6b9f3e41,False,False,True
13岁男孩标准身高,2,"2025search,2026search",True,M10c4f8584c6,False,False,True
1459414住院号,1,2026search_rand,True,Maab0ca9193a,False,False,False
14天中药冷冻行不行,1,2025search_rand,True,Ma3fc63e2954,False,False,False
14岁一天睡几个小时最好,1,2025search_rand,True,Mb27bef0b651,False,False,True
14岁初中生取精最简单方法,1,2025search_rand,True,M7f76b9d04de,True,False,True
14岁女孩坐着站起来会晕,1,2026search_rand,True,M528fbdfaee0,False,False,True
"14岁女孩对性产生好奇,将东西赛进身体要看心理医生吗",1,2026search_rand,True,Mcc03ce1410e,False,False,True
"14岁女孩赶冒以后鼻子眼痒,经常用手去揉去,这是啥原因,用啥药",1,2026search_rand,True,M1e7824ffa7f,False,False,True
14岁女生偶尔尿床是怎么回事,1,2026search_rand,True,Mb38a0c53270,False,False,True
14岁女生多高算正常,1,2026search_rand,True,Mf59e25aa7bc,False,False,True
14岁孩子脸发黄什么原因,1,2025search_rand,True,M75ffea61150,False,False,True
14岁孩检查B族维生素能吃益生菌吗,1,2026search_rand,False,M49e8d383026,False,False,True
14岁心口疼闷堵是怎么回事,1,2026search_rand,True,Med67ac67396,False,False,True
14岁怀孕的前兆,1,2025search_rand,False,M4a3d88387a6,False,False,True
14岁男孩身高标准表,1,2026search,True,Me3bc7f68d8c,False,False,True
14岁美女孕妇怀孕8个月要生了,1,2026search_rand,False,M276eb72143f,False,False,True
14岁角膜厚度英文缩写,1,2026search_rand,True,M3878578d5ff,False,False,True
150女标准体重 四十岁,1,2025search_rand,True,Mef332103c63,False,False,True
150度角躺着好吗,1,2025search_rand,True,Mec33cbae32d,False,False,False
153105血压高吗,1,2025search_rand,True,M891c3d912ae,False,False,False
158cm女生标准体重是多少,2,"2025search,2026search",True,M96791fbeaa9,False,False,True
15、甲状腺性甲亢中最多见的是(1分)⚑标记存疑A多结节性毒性甲状腺肿B弥漫,1,2026search_rand,True,M7988d5d310b,False,False,True
15个月的宝宝晚上出汗体温35.5正常吗,1,2025search_rand,True,M6e7ba1e2a5a,False,False,True
15岁165cm女生标准体重,1,2026search_rand,True,Mf6f09607e5a,False,False,True
15岁一个月没来月经 还老犯困怎么回事,1,2025search_rand,True,Mf8abd6fb556,False,False,True
15岁大姨妈疼怎么缓解,1,2026search_rand,True,M5294c8012d4,False,False,True
15岁女孩感冒吃布洛芬漏尿正常吗,1,2025search_rand,True,M841c565a739,False,False,True
15岁男孩肚子疼拉稀什么毛病,1,2026search_rand,True,M0b7176c084d,False,False,True
15岁男孩腿疼是缺钙吗,1,2026search_rand,False,M4cf6f3f4389,False,False,True
15岁男生身高1.7米体重50公斤算清瘦吗,1,assistant_random,True,Madbc1a12e03,False,False,True
160cm女生标准体重,2,"2025search,2026search",True,Ma4175ede047,False,False,True
163体重110斤胖吗,1,2026search_rand,True,M47443ddf08b,False,False,False
165厘米，感觉还是挺矮的吧,1,assistant_random,True,Maee1676179e,False,False,True
166cm女生标准体重,1,2026search_rand,True,M7515d6b4276,False,False,True
168厘米的男生标准体重是多少,1,2026search_rand,True,M72ad05f132b,False,False,False
16岁女孩能查内分泌吗怎么查,1,2026search_rand,True,M57f591a4144,False,False,True
16岁来月经不走是怎么回事,1,2026search_rand,True,M4d7870eab26,False,False,True
16岁男孩可以吃阿胶吗,1,2026search_rand,False,M53a6df76352,False,False,True
16岁男孩左边乳腺肿疼,1,2026search_rand,True,M1c633b76ab2,False,False,True
175cm标准体重 男,2,"2025search,2026search",True,M278ac6f2ac9,False,False,False
17个半月的宝宝天天抠抠鼻子天天抠鼻子什么原因,1,assistant_voice,True,M6b8798a0d5c,False,False,True
17个月宝宝额头摔个包,1,2025search_rand,False,M278d34566df,False,False,True
17号排卵期喝中药怀孕有影响吗,1,2025search_rand,True,Maa6ccdce6af,False,False,True
17岁女孩阴道长蛆,1,2025search_rand,True,M4edc3924d08,False,False,True
17草名字,1,2025search,True,M11e54e470fc,False,False,False
184cm250斤,1,2025search_rand,True,M2c57d9ff20e,False,False,False
187的标准体重是多少斤,1,2026search_rand,True,Md46b9a026f0,False,False,False
188医院,1,2025search_rand,True,M64f47abdfcc,False,False,True
18个月宝宝头后面有两个会动的疙瘩,1,2025search_rand,True,M86a46328c38,False,False,True
18岁以上高血压患病率,1,2025search_rand,True,M8da66dc95e5,False,False,True
18岁女生晚上睡不着都有哪几种原因,1,assistant_voice_top,True,M0cb714aeaa3,False,False,True
18岁男孩标准身高,1,2025search_rand,True,M0b2317c0b93,False,False,True
18岁男孩脾大双肾双肾弥漫性病变嗯定义什么定义呢定义什么病呢,1,assistant_voice,False,M089de2a4025,False,False,True
18岁腺样体肥大需要做手术吗,1,2025search_rand,True,Md7a677f2cb9,False,False,True
18种氨基酸过敏率高吗,1,2026search_rand,True,Mbadc98d01e4,False,False,False
19周是怀孕几个月,1,2025search,True,M3294b13e722,False,False,True
19岁女两只乳房都有硬块,1,assistant_voice_top,True,Mcd94ca45b90,False,False,True
"19岁女孩大便出血,但身体没有感觉,是怎么回事",1,2025search_rand,True,M41fe0fca973,False,False,True
19岁有白发什么原因,1,2026search_rand,True,M3bdebcb25fb,False,False,True
19岁男孩小便有泡沫是怎么回事,1,2026search_rand,True,Mc8b95d2e462,False,False,True
1个月吃一次乳果糖清肠可以吗,1,2026search_rand,True,M296aa2d30c9,False,False,True
1个毛孔里长了4根毛,1,2025search_rand,True,Me05c7f586a5,False,False,False
1几岁张老年斑怎么回事,1,2026search_rand,True,Mcfee5190bb7,False,False,True
1号是a打头的是中药还是西药,1,2026search_rand,True,Mf03c1822fe7,False,False,False
1型糖尿病和2型糖尿病的区别,1,2026search,True,Med53e5edb39,False,False,False
1天半之内反复发烧需要输液吗,1,2025search_rand,True,Md89d8750594,False,False,False
1岁4个月宝宝吃什么钙好,1,2026search_rand,True,Mdce8fbd751d,False,False,True
1岁5个月宝宝发烧39.5度严重吗?,1,2025search_rand,False,Mb456955b0ec,False,False,True
1岁5个月的宝宝发烧 从肚皮以上发烧,1,2026search_rand,True,M8fe847941d0,False,False,True
1岁8个月宝宝耳朵有分泌物,1,2026search_rand,True,M407c8ac484b,False,False,True
1岁半宝宝可以注射头孢呋辛注射作用和功效与作用,1,2026search_rand,True,Md27dd541a09,False,False,True
1岁婴儿咳嗽呕吐是什么原因,1,2025search_rand,True,M8d3ffc226e5,False,False,True
1岁宝宝用霍香正气水洗澡可以吗,1,2025search_rand,True,Mc51253b68c1,False,False,True
1心肌缺血吃维生素C和维生b6可以吗,1,2026search_rand,True,M05f43699f80,False,False,False
1月龄宝宝吃益生菌吐怎么回事,1,2026search_rand,True,M07a7fb850bb,False,False,True
1点到3点醒是什么原因怎样调理,1,2026search_rand,True,Md1655168bbe,False,False,False
1省中医院,1,2025search_rand,True,M30d2c46da60,False,False,True
1级烫伤严重吗,1,2026search_rand,False,M13118888924,False,False,False
1级高血压外侧动脉,1,2025search_rand,True,Mbc7f5383188,False,False,False
2 [判断题]感觉神经系统是将中枢发出的神经冲动传至外周效应器的神经纤维。,1,2025search_rand,True,M0de2629b3ad,False,False,False
2%的碳酸氢钠溶液可以用于敌敌畏的洗胃吗,1,2026search_rand,False,Mf83a6a2dabc,False,False,False
2. 皮肤纤维瘤,1,2025search_rand,True,M3776963bee6,False,False,False
2.4×0.66可以做人流,1,2026search_rand,False,M618586da7fd,False,False,False
2.5ml,1,2026search_rand,True,M6e07bc0d84d,False,False,False
20%水杨酸酒精溶液可以治疗疣吗治疗效果怎么样,1,assistant_voice,True,Mb8a2be0a16d,False,False,True
200克香蕉的热量是多少?,1,2025search_rand,True,M9454a6daf7f,False,False,False
2025妇科肿瘤年会,1,2025search_rand,True,M7bf32b8ede3,False,False,False
2025年国家医保药品目录完整pdf,1,2026search_rand,True,M18170c57060,False,False,False
2025年甲乙丙类药各多少种,1,2025search_rand,True,M5d54bc7b84e,False,False,False
2025辟谷时间表,1,2025search_rand,True,Mc7ca488c519,False,False,False
2026乙肝筛查是强制的吗,1,2026search_rand,True,M756f83ce3f7,False,False,False
2026新版献血操作规程血红蛋白是多少,1,2026search_rand,True,M4c53c3b9fc7,False,False,False
2026黑龙江两癌筛查年龄范围,1,2026search_rand,True,Ma70d074f58b,False,False,False
202医院韩田凤,1,2026search_rand,True,M4ce1cde2d92,False,False,True
202医院骨科主任是谁,1,2026search_rand,True,M8f69864e7e1,False,False,True
"20g绿豆,10g红豆,10g黄豆,10g银耳,9g红枣,热量蛋白质",1,2026search_rand,True,Ma03d2f376f0,False,False,False
20个李子的热量,1,2025search_rand,True,M6d9aea0501a,False,False,False
20克花生米含多少蛋白质,1,2026search_rand,True,M59acd440bf7,False,False,False
20岁掉头发特别厉害什么原因,1,2026search_rand,True,M305a7f8412a,False,False,True
20松花粉,1,assistant_voice,True,M1ccb5b95d60,False,False,True
21三体0.067,1,2025search_rand,True,Mfe14a048831,False,False,False
21个月宝宝得了手足口长了很多泡,1,assistant_voice,True,Mc556001c2ff,False,False,True
21体三体综合征出现并发症儿童去那个医院看病,1,2026search_rand,True,M322f5991658,False,False,True
21天打一次的免疫针副作用大吗,1,2025search_rand,True,M0c975ec7116,False,False,False
