key,类目,快照,方向,该快照条数,该快照n,该快照占比%,其余快照合并占比%,最弱一对的区间端点pp,对比了几个快照
NAME_ONLY_DISAMBIGUATION,仅产品名消歧,2026搜索,显著高于其余全部,2917,9999,29.173,24.679,1.09,3
NAME_ONLY_DISAMBIGUATION,仅产品名消歧,助手随机1k,显著低于其余全部,60,984,6.098,27.699,-12.072,3
REACH_NAMED_PAGE_OR_PROFILE,直达指定页面或账号主页,2026搜索,显著高于其余全部,628,9999,6.281,4.547,0.517,3
GENERATE_SOCIAL_COPY,获取社交文案与发布素材,2025搜索,显著高于其余全部,603,9997,6.032,4.747,0.368,3
CIRCUMVENTION_ACCESS,获取翻墙工具或访问被限制的境外服务,2026搜索,显著高于其余全部,556,9999,5.561,3.951,0.34,3
REACH_OFFICIAL_ENTRY,打开官方网页或网页版入口,助手随机1k,显著低于其余全部,2,984,0.203,3.797,-1.901,3
COMPLETE_TASK_HOWTO,完成设置或操作步骤,助手头部1k,显著低于其余全部,40,940,4.255,11.673,-2.924,3
COMPLETE_TASK_HOWTO,完成设置或操作步骤,助手随机1k,显著高于其余全部,239,984,24.289,10.747,8.28,3
DOWNLOAD_INSTALL_NAMED_APP,下载并安装指定软件,2026搜索,显著高于其余全部,1995,9999,19.952,15.502,0.86,3
DOWNLOAD_INSTALL_NAMED_APP,下载并安装指定软件,助手头部1k,显著低于其余全部,16,940,1.702,18.241,-0.145,3
PLATFORM_RULES_VERDICT,平台规则与能力裁决,助手随机1k,显著高于其余全部,176,984,17.886,2.393,12.509,3
GET_ADULT_CONTENT_OR_APP,获取成人内容或成人应用,2025搜索,显著高于其余全部,123,9997,1.23,0.788,0.056,3
EDIT_IMAGE_COMMAND,直接编辑或生成图像,助手头部1k,显著高于其余全部,434,940,46.17,1.663,18.087,3
CANCEL_SUBSCRIPTION_OR_AUTHORIZATION,取消持续扣费或授权,助手头部1k,显著低于其余全部,0,940,0.0,0.653,-0.008,3
FIX_MALFUNCTION_TROUBLESHOOT,排查并修复故障,助手头部1k,显著低于其余全部,0,940,0.0,1.134,-0.325,3
FIX_MALFUNCTION_TROUBLESHOOT,排查并修复故障,助手随机1k,显著高于其余全部,29,984,2.947,0.998,0.696,3
SOCIAL_RELATIONSHIP_STATUS,判断社交关系状态与可见性,助手随机1k,显著高于其余全部,20,984,2.033,0.511,0.361,3
LOOKUP_INPUT_CODE,查询汉字输入编码,2026搜索,显著高于其余全部,679,9999,6.791,4.698,0.541,3
NON_CONSENSUAL_EXPLICIT_IMAGE_EDIT,生成露骨性图像编辑,助手头部1k,显著高于其余全部,33,940,3.511,0.086,0.236,3
