key,类目,全语料条数,2025搜索_n,2025搜索_置信度均值,2025搜索_意图歧义%,2025搜索_聚类歧义%,2026搜索_n,2026搜索_置信度均值,2026搜索_意图歧义%,2026搜索_聚类歧义%,助手头部1k_n,助手头部1k_置信度均值,助手头部1k_意图歧义%,助手头部1k_聚类歧义%,助手随机1k_n,助手随机1k_置信度均值,助手随机1k_意图歧义%,助手随机1k_聚类歧义%,置信度最低快照,置信度极差,全语料置信度均值
26,查询微信QQ好友删除拉黑状态及恢复联系方法,444,227,0.7289,0.88,22.03,151,0.7357,1.32,19.87,6,0.8107,0.0,16.67,60,0.6192,1.67,33.33,助手随机1k,0.1165,0.7175
17,复制网址并用浏览器打开,694,301,0.743,1.0,20.93,294,0.7159,2.38,20.07,20,0.5335,5.0,40.0,79,0.6751,5.06,36.71,助手头部1k,0.2095,0.7178
14,按要求编辑处理图片,513,28,0.7535,0.0,53.57,21,0.6785,0.0,57.14,219,0.761,0.91,7.76,245,0.6798,1.63,9.39,2026搜索,0.0825,0.7185
42,查询软件及工具信息,812,375,0.722,2.4,17.6,382,0.7325,2.62,17.54,18,0.7626,5.56,11.11,37,0.5789,2.7,27.03,助手随机1k,0.1536,0.7213
38,图片编辑与绘图软件查询,609,271,0.7383,1.85,23.62,249,0.7348,2.01,26.51,55,0.6659,0.0,29.09,34,0.584,0.0,58.82,助手随机1k,0.1543,0.7217
40,删除或清理不需要的内容,301,57,0.7332,7.02,7.02,43,0.6319,6.98,4.65,153,0.7845,1.96,2.61,48,0.7364,4.17,14.58,2026搜索,0.1526,0.7453
41,QQ官网查询,649,314,0.738,1.59,30.89,307,0.7613,1.63,30.62,16,0.7988,0.0,18.75,12,0.5657,0.0,50.0,2025搜索,0.0233,0.7473
31,查找AI软件与工具,483,162,0.7693,1.85,8.64,207,0.7971,0.97,7.25,76,0.7119,3.95,2.63,38,0.6274,5.26,13.16,助手随机1k,0.1697,0.761
32,微信下载与使用支持查询,537,255,0.7517,1.57,20.0,254,0.7783,0.79,17.72,13,0.825,0.0,30.77,15,0.6989,0.0,60.0,2025搜索,0.0266,0.7646
4,软件应用及安卓商店下载查询,1145,539,0.7712,1.48,23.38,594,0.7783,0.84,24.24,4,0.636,0.0,0.0,8,0.5907,12.5,25.0,2025搜索,0.0071,0.7731
5,Excel表格操作与制作查询,423,231,0.8307,0.87,5.19,111,0.8035,1.8,8.11,19,0.4708,5.26,10.53,62,0.6745,3.23,19.35,助手随机1k,0.1562,0.7845
28,论坛社区入口查询,1866,835,0.7942,1.2,18.2,954,0.7841,1.15,17.4,49,0.7758,2.04,26.53,28,0.5455,3.57,28.57,助手随机1k,0.2487,0.7848
22,软件下载地址与安装包查询,747,349,0.7913,0.86,20.06,392,0.7857,1.79,20.15,0,,,,6,0.7367,0.0,33.33,2026搜索,0.0056,0.788
34,豆包App下载及功能查询,269,61,0.8163,0.0,6.56,154,0.8143,2.6,2.6,38,0.697,0.0,7.89,16,0.6794,6.25,12.5,助手头部1k,0.1193,0.7902
29,万能遥控器与WiFi万能钥匙下载,204,105,0.7855,0.95,7.62,91,0.8103,1.1,5.49,5,0.7933,0.0,0.0,3,0.349,0.0,0.0,2025搜索,0.0248,0.7903
36,查询软件应用版本与下载渠道,710,306,0.7978,1.96,39.87,393,0.7906,0.51,43.51,1,0.9823,0.0,100.0,10,0.6224,0.0,30.0,2026搜索,0.0072,0.7916
2,微信功能操作与设置查询,2372,1286,0.8274,1.24,10.65,894,0.8268,0.89,10.63,34,0.7458,0.0,20.59,158,0.7389,0.63,22.78,助手随机1k,0.0885,0.8201
39,网络加速器查询下载,1953,900,0.8268,0.67,29.33,1005,0.8228,0.8,32.84,35,0.8025,0.0,54.29,13,0.6388,0.0,61.54,助手头部1k,0.0243,0.823
33,应用商店客户端下载,430,204,0.8231,0.49,22.06,220,0.8264,0.91,22.27,5,0.9022,0.0,20.0,1,0.7633,0.0,0.0,2025搜索,0.0033,0.8256
35,去除图片视频水印,280,77,0.7917,1.3,2.6,73,0.7532,1.37,4.11,104,0.9315,0.0,1.92,26,0.8474,0.0,11.54,2026搜索,0.1783,0.8387
16,应用软件下载安装查询,995,484,0.8449,1.24,21.07,497,0.8592,1.01,22.13,2,0.8711,0.0,50.0,12,0.6987,8.33,33.33,2025搜索,0.0143,0.8503
1,查询软件介绍与使用信息,1447,705,0.8607,0.85,29.65,697,0.8665,0.29,29.7,21,0.8237,0.0,14.29,24,0.5629,8.33,33.33,助手随机1k,0.3036,0.858
24,APP下载获取,1227,572,0.8949,1.05,21.33,643,0.888,0.62,17.42,6,0.7738,0.0,0.0,6,0.6911,0.0,33.33,2026搜索,0.0069,0.8897
3,微信朋友圈与聊天界面素材及发布方法查询,1304,682,0.9033,0.44,6.3,542,0.8993,0.37,5.17,41,0.7729,2.44,4.88,39,0.719,2.56,17.95,助手随机1k,0.1843,0.8921
19,查找VPN软件与服务,261,110,0.9156,0.91,5.45,150,0.9261,0.67,2.0,0,,,,1,0.9513,0.0,0.0,2025搜索,0.0105,0.9218
0,汉字五笔打法查询,1245,561,0.9867,0.0,0.18,681,0.9863,0.0,0.29,0,,,,3,0.6552,0.0,0.0,2026搜索,0.0004,0.9857
