key,类目,缺席快照,该快照n,其余快照条数,其余快照n,参照占比%,期望条数,P(0),该快照上界%,最高占比快照,最高占比%,判定
GENERATE_SOCIAL_COPY__2,GENERATE_SOCIAL_COPY__2,助手头部1k,940,282,20980,1.344,12.63,0.0,0.392,2026搜索,1.5,真缺席
GENERATE_SOCIAL_COPY__2,GENERATE_SOCIAL_COPY__2,助手随机1k,984,282,20936,1.347,13.25,0.0,0.374,2026搜索,1.5,真缺席
CIRCUMVENTION_ACCESS__5,CIRCUMVENTION_ACCESS__5,助手随机1k,984,73,20936,0.349,3.43,0.0322,0.374,2026搜索,0.45,偏少但证据弱
REACH_OFFICIAL_ENTRY__4,REACH_OFFICIAL_ENTRY__4,助手随机1k,984,53,20936,0.253,2.49,0.0826,0.374,助手头部1k,0.319,不可判定（样本量不足）
REACH_OFFICIAL_ENTRY__2,REACH_OFFICIAL_ENTRY__2,助手随机1k,984,60,20936,0.287,2.82,0.0594,0.374,助手头部1k,0.426,不可判定（样本量不足）
CIRCUMVENTION_ACCESS__1,CIRCUMVENTION_ACCESS__1,助手头部1k,940,224,20980,1.068,10.04,0.0,0.392,2026搜索,1.32,真缺席
GENERATE_SOCIAL_COPY__5,GENERATE_SOCIAL_COPY__5,助手头部1k,940,74,20980,0.353,3.32,0.0361,0.392,2025搜索,0.39,偏少但证据弱
GENERATE_SOCIAL_COPY__5,GENERATE_SOCIAL_COPY__5,助手随机1k,984,74,20936,0.353,3.48,0.0307,0.374,2025搜索,0.39,偏少但证据弱
CIRCUMVENTION_ACCESS__4,CIRCUMVENTION_ACCESS__4,助手头部1k,940,100,20980,0.477,4.48,0.0112,0.392,2026搜索,0.55,偏少但证据弱
CIRCUMVENTION_ACCESS__4,CIRCUMVENTION_ACCESS__4,助手随机1k,984,100,20936,0.478,4.7,0.009,0.374,2026搜索,0.55,偏少但证据弱
GET_GREY_UTILITY_TOOL__1,GET_GREY_UTILITY_TOOL__1,助手随机1k,984,81,20936,0.387,3.81,0.0221,0.374,2026搜索,0.41,偏少但证据弱
CIRCUMVENTION_ACCESS__3,CIRCUMVENTION_ACCESS__3,助手头部1k,940,227,20980,1.082,10.17,0.0,0.392,2025搜索,1.2,真缺席
REACH_NAMED_PAGE_OR_PROFILE__5,REACH_NAMED_PAGE_OR_PROFILE__5,助手头部1k,940,164,20980,0.782,7.35,0.0006,0.392,2026搜索,0.93,真缺席
REACH_NAMED_PAGE_OR_PROFILE__5,REACH_NAMED_PAGE_OR_PROFILE__5,助手随机1k,984,164,20936,0.783,7.71,0.0004,0.374,2026搜索,0.93,真缺席
CIRCUMVENTION_ACCESS__6,CIRCUMVENTION_ACCESS__6,助手头部1k,940,251,20980,1.196,11.25,0.0,0.392,2026搜索,1.32,真缺席
CANCEL_SUBSCRIPTION_OR_AUTHORIZATION__1,CANCEL_SUBSCRIPTION_OR_AUTHORIZATION__1,助手头部1k,940,137,20980,0.653,6.14,0.0021,0.392,2025搜索,0.77,真缺席
DOWNLOAD_INSTALL_NAMED_APP__3,DOWNLOAD_INSTALL_NAMED_APP__3,助手随机1k,984,216,20936,1.032,10.15,0.0,0.374,2025搜索,1.13,真缺席
FIX_MALFUNCTION_TROUBLESHOOT__1,FIX_MALFUNCTION_TROUBLESHOOT__1,助手头部1k,940,238,20980,1.134,10.66,0.0,0.392,助手随机1k,2.947,真缺席
REACH_OFFICIAL_ENTRY__1,REACH_OFFICIAL_ENTRY__1,助手随机1k,984,197,20936,0.941,9.26,0.0001,0.374,2026搜索,1.07,真缺席
GENERATE_SOCIAL_COPY__4,GENERATE_SOCIAL_COPY__4,助手头部1k,940,377,20980,1.797,16.89,0.0,0.392,2025搜索,2.341,真缺席
GENERATE_SOCIAL_COPY__4,GENERATE_SOCIAL_COPY__4,助手随机1k,984,377,20936,1.801,17.72,0.0,0.374,2025搜索,2.341,真缺席
RECOVER_LOST_DATA__1,RECOVER_LOST_DATA__1,助手头部1k,940,92,20980,0.439,4.12,0.0161,0.392,2025搜索,0.49,偏少但证据弱
GET_LOCATION_SPOOFING_TOOL__1,GET_LOCATION_SPOOFING_TOOL__1,助手头部1k,940,16,20980,0.076,0.72,0.4881,0.392,2025搜索,0.09,不可判定（样本量不足）
GET_LOCATION_SPOOFING_TOOL__1,GET_LOCATION_SPOOFING_TOOL__1,助手随机1k,984,16,20936,0.076,0.75,0.4713,0.374,2025搜索,0.09,不可判定（样本量不足）
LOOKUP_INPUT_CODE__1,LOOKUP_INPUT_CODE__1,助手头部1k,940,473,20980,2.255,21.19,0.0,0.392,2026搜索,2.63,真缺席
LOOKUP_INPUT_CODE__1,LOOKUP_INPUT_CODE__1,助手随机1k,984,473,20936,2.259,22.23,0.0,0.374,2026搜索,2.63,真缺席
GENERATE_SOCIAL_COPY__3,GENERATE_SOCIAL_COPY__3,助手头部1k,940,114,20980,0.543,5.11,0.006,0.392,2026搜索,0.62,真缺席
GET_CRACKED_UNLOCKED_SOFTWARE__1,GET_CRACKED_UNLOCKED_SOFTWARE__1,助手头部1k,940,61,20980,0.291,2.73,0.0648,0.392,助手随机1k,0.508,不可判定（样本量不足）
NON_CONSENSUAL_EXPLICIT_IMAGE_EDIT__1,NON_CONSENSUAL_EXPLICIT_IMAGE_EDIT__1,2025搜索,9997,51,11923,0.428,42.76,0.0,0.037,助手头部1k,3.511,真缺席
NON_CONSENSUAL_EXPLICIT_IMAGE_EDIT__1,NON_CONSENSUAL_EXPLICIT_IMAGE_EDIT__1,2026搜索,9999,51,11921,0.428,42.78,0.0,0.037,助手头部1k,3.511,真缺席
