key,类目,定义,全语料条数,全语料占比%,2025搜索_条数,2025搜索_占比%,2025搜索_95CI低%,2025搜索_95CI高%,2025搜索_流量占比%,2026搜索_条数,2026搜索_占比%,2026搜索_95CI低%,2026搜索_95CI高%,2026搜索_流量占比%,助手头部1k_条数,助手头部1k_占比%,助手头部1k_95CI低%,助手头部1k_95CI高%,助手头部1k_流量占比%,助手随机1k_条数,助手随机1k_占比%,助手随机1k_95CI低%,助手随机1k_95CI高%,助手随机1k_流量占比%,2025搜索_均衡归属%,2025搜索_指数,2025搜索_均衡指数,2026搜索_均衡归属%,2026搜索_指数,2026搜索_均衡指数,助手头部1k_均衡归属%,助手头部1k_指数,助手头部1k_均衡指数,助手随机1k_均衡归属%,助手随机1k_指数,助手随机1k_均衡指数,出现快照数,缺席快照,独占快照,最高快照,最低快照,极差pp,最高比最低倍数,2025搜索_排名,2026搜索_排名,助手头部1k_排名,助手随机1k_排名,主导意图,主导意图占比%,盲评一致性,风险标注,user_need
36,网络加速器查询下载,用户想找到可用的网络加速器（尤其是安卓免费版）或同类工具应用的官网、下载或使用入口，获得对应结果即满足。,1953,8.91,900,9.003,8.457,9.58,10.035,1005,10.051,9.477,10.656,10.79,35,3.723,2.689,5.134,4.036,13,1.321,0.774,2.247,1.552,37.36,1.0104,1.4943,41.71,1.1281,1.6683,15.45,0.4179,0.618,5.48,0.1483,0.2193,4,,,2026搜索,助手随机1k,8.73,7.61,1,1,8,20,仅产品名消歧,73.1,3.0,True,用户想找到可用的网络加速器（尤其是安卓免费版）或同类工具应用的官网、下载或使用入口，获得对应结果即满足。
35,论坛社区入口查询,用户想知道某个论坛、贴吧或社区的官网、入口或访问方式，获得对应链接或入口后即满足。,1866,8.513,835,8.353,7.826,8.911,10.25,954,9.541,8.981,10.132,9.912,49,5.213,3.965,6.825,6.375,28,2.846,1.976,4.082,2.291,32.18,0.9812,1.2874,36.76,1.1208,1.4706,20.09,0.6123,0.8035,10.96,0.3343,0.4386,4,,,2026搜索,助手随机1k,6.695,3.35,2,2,6,12,直达指定页面或账号主页,49.0,4.0,,用户想知道某个论坛、贴吧或社区的官网、入口或访问方式，获得对应链接或入口后即满足。
0,汉字五笔打法查询,用户想知道某个汉字用五笔输入法怎么拆字、敲哪些键；得到该字对应的五笔编码或键位说明即满足。,1245,5.68,561,5.612,5.177,6.08,2.145,681,6.811,6.333,7.321,2.79,0,0.0,0.0,0.407,0.0,3,0.305,0.104,0.893,0.222,44.09,0.988,1.7637,53.51,1.1991,2.1405,0.0,0.0,0.0,2.4,0.0537,0.0958,3,助手头部1k,,2026搜索,助手头部1k,6.811,inf,4,3,32,29,查询汉字输入编码,99.4,4.0,,用户想知道某个汉字用五笔输入法怎么拆字、敲哪些键；得到该字对应的五笔编码或键位说明即满足。
22,APP下载获取,用户想要获得某个APP（或APP的官方/免费版本）的下载链接、官方下载渠道或安装包；获得这些后用户即可下载安装该APP。,1227,5.598,572,5.722,5.283,6.194,3.719,643,6.431,5.966,6.928,3.543,6,0.638,0.293,1.386,0.396,6,0.61,0.28,1.324,0.517,42.7,1.0222,1.7079,47.99,1.1488,1.9195,4.76,0.114,0.1905,4.55,0.1089,0.182,4,,,2026搜索,助手随机1k,5.821,10.55,3,4,20,25,下载并安装指定软件,75.1,4.0,,用户想要获得某个APP（或APP的官方/免费版本）的下载链接、官方下载渠道或安装包；获得这些后用户即可下载安装该APP。
26,下载安装应用软件,用户得到所查询应用或软件的官方、正版或免费下载安装入口及安装包，并能按设备完成安装，即满意。,995,4.539,484,4.841,4.438,5.28,3.444,497,4.97,4.562,5.414,3.351,2,0.213,0.058,0.772,0.122,12,1.22,0.699,2.119,0.961,43.06,1.0666,1.7223,44.2,1.095,1.7682,1.89,0.0469,0.0757,10.85,0.2687,0.4338,4,,,2026搜索,助手头部1k,4.758,23.36,5,5,26,21,下载并安装指定软件,83.0,4.0,True,用户得到所查询应用或软件的官方、正版或免费下载安装入口及安装包，并能按设备完成安装，即满意。
37,查询软件工具信息,用户输入某个软件、应用或在线服务的名称或缩写后，获得该工具的官方介绍、下载/访问入口或使用方法即满足。,838,3.823,398,3.981,3.615,4.382,4.328,425,4.25,3.872,4.664,4.967,10,1.064,0.579,1.947,0.754,5,0.508,0.217,1.184,0.443,40.61,1.0414,1.6244,43.36,1.1118,1.7342,10.85,0.2783,0.4341,5.18,0.1329,0.2073,4,,,2026搜索,助手随机1k,3.742,8.36,6,6,18,28,仅产品名消歧,88.1,4.0,True,用户输入某个软件、应用或在线服务的名称或缩写后，获得该工具的官方介绍、下载/访问入口或使用方法即满足。
25,查询软件及工具信息,用户获得了所需软件或工具的下载安装渠道、功能用途说明、名称或对比推荐后即满足。,812,3.704,375,3.751,3.396,4.142,2.476,382,3.82,3.462,4.214,3.018,18,1.915,1.215,3.007,1.867,37,3.76,2.74,5.14,4.582,28.32,1.0126,1.1327,28.84,1.0313,1.1536,14.46,0.5169,0.5782,28.39,1.0151,1.1354,4,,,2026搜索,助手头部1k,1.905,2.0,7,10,12,9,按功能求推荐软件,39.8,4.0,,用户获得了所需软件或工具的下载安装渠道、功能用途说明、名称或对比推荐后即满足。
38,软件与应用下载查询,用户输入某款软件、应用或下载需求后，获得该对象的官方、免费或可用版本的下载链接、安装包或获取渠道即满足。,748,3.412,352,3.521,3.177,3.901,2.629,386,3.86,3.5,4.256,2.78,4,0.426,0.166,1.089,1.013,6,0.61,0.28,1.324,0.443,41.83,1.0318,1.6734,45.87,1.1313,1.8346,5.06,0.1247,0.2022,7.24,0.1787,0.2898,4,,,2026搜索,助手头部1k,3.435,9.07,8,9,24,25,下载并安装指定软件,85.2,4.0,True,用户输入某款软件、应用或下载需求后，获得该对象的官方、免费或可用版本的下载链接、安装包或获取渠道即满足。
27,软件下载查询,用户输入某款软件或应用名称（可能附带官方、旧版本或破解要求），希望获得该软件可用的下载地址、安装包或下载方法。,747,3.408,349,3.491,3.149,3.869,2.299,392,3.92,3.557,4.319,2.89,0,0.0,0.0,0.407,0.0,6,0.61,0.28,1.324,0.517,43.52,1.0244,1.7409,48.88,1.1504,1.955,0.0,0.0,0.0,7.6,0.1789,0.3041,3,助手头部1k,,2026搜索,助手头部1k,3.92,inf,9,8,32,25,下载并安装指定软件,76.3,4.0,True,用户输入某款软件或应用名称（可能附带官方、旧版本或破解要求），希望获得该软件可用的下载地址、安装包或下载方法。
6,查询软件应用版本与下载渠道,用户输入某款软件、应用或工具名称（可能附带免费版、正版、官网、版本号等要求），得到该软件对应的官方或可用版本说明、下载来源或功能信息即满足。,710,3.239,306,3.061,2.741,3.417,2.255,393,3.93,3.567,4.329,2.717,1,0.106,0.019,0.6,0.062,10,1.016,0.553,1.861,1.626,37.72,0.945,1.509,48.44,1.2134,1.9376,1.31,0.0328,0.0524,12.52,0.3138,0.501,4,,,2026搜索,助手头部1k,3.824,36.95,12,7,28,23,仅产品名消歧,79.6,5.0,True,用户输入某款软件、应用或工具名称（可能附带免费版、正版、官网、版本号等要求），得到该软件对应的官方或可用版本说明、下载来源或功能信息即满足。
