key,类目,全语料条数,2025搜索_n,2025搜索_置信度均值,2025搜索_意图歧义%,2025搜索_聚类歧义%,2026搜索_n,2026搜索_置信度均值,2026搜索_意图歧义%,2026搜索_聚类歧义%,助手头部1k_n,助手头部1k_置信度均值,助手头部1k_意图歧义%,助手头部1k_聚类歧义%,助手随机1k_n,助手随机1k_置信度均值,助手随机1k_意图歧义%,助手随机1k_聚类歧义%,置信度最低快照,置信度极差,全语料置信度均值
EXTRACT_FROM_IMAGE_DOCUMENT,从图片或文档提取内容,80,16,0.5225,0.0,37.5,15,0.4704,0.0,20.0,29,0.6223,3.45,37.93,20,0.4759,5.0,25.0,助手随机1k,0.1464,0.5373
NON_CONSENSUAL_EXPLICIT_IMAGE_EDIT,生成露骨性图像编辑,51,0,,,,0,,,,33,0.5695,3.03,0.0,18,0.5627,5.56,0.0,助手头部1k,,0.5671
GET_LOCATION_SPOOFING_TOOL,获取位置伪造工具,16,9,0.5734,0.0,66.67,7,0.6197,0.0,71.43,0,,,,0,,,,,,0.5937
GET_ADULT_CONTENT_OR_APP,获取成人内容或成人应用,217,123,0.6399,4.07,30.89,89,0.5738,3.37,23.6,2,0.5404,0.0,100.0,3,0.363,0.0,0.0,2026搜索,0.0661,0.6081
GET_CRACKED_UNLOCKED_SOFTWARE,获取破解或解锁版软件,61,38,0.636,0.0,36.84,18,0.5859,0.0,33.33,0,,,,5,0.5585,0.0,80.0,2025搜索,,0.6149
GET_GREY_UTILITY_TOOL,获取灰色辅助或作弊工具,81,39,0.6256,2.56,28.21,41,0.6129,0.0,26.83,1,0.8648,0.0,0.0,0,,,,2026搜索,0.0127,0.6221
GET_UNAUTHORIZED_SOFTWARE_LIBRARY,获取非官方软件库或第三方分发渠道,193,84,0.6166,8.33,15.48,101,0.6851,5.94,23.76,4,0.77,0.0,50.0,4,0.5034,0.0,0.0,2025搜索,0.0685,0.6533
RECOMMEND_SOFTWARE_BY_FUNCTION,按功能求推荐软件,818,380,0.6678,3.42,19.21,346,0.6699,3.76,19.94,43,0.5871,6.98,18.6,49,0.5455,10.2,30.61,助手随机1k,0.1244,0.6571
FIX_MALFUNCTION_TROUBLESHOOT,排查并修复故障,238,133,0.7045,3.01,19.55,76,0.6865,3.95,21.05,0,,,,29,0.5781,6.9,37.93,助手随机1k,0.1264,0.6834
PLATFORM_RULES_VERDICT,平台规则与能力裁决,677,308,0.7446,1.62,21.43,177,0.7289,2.26,18.08,16,0.6245,0.0,18.75,176,0.6673,3.98,30.68,助手随机1k,0.0773,0.7176
SOCIAL_RELATIONSHIP_STATUS,判断社交关系状态与可见性,127,58,0.7231,0.0,8.62,43,0.7399,0.0,9.3,6,0.8107,0.0,16.67,20,0.6528,5.0,20.0,助手随机1k,0.0871,0.7219
CANCEL_SUBSCRIPTION_OR_AUTHORIZATION,取消持续扣费或授权,137,77,0.7286,1.3,3.9,55,0.7296,1.82,7.27,0,,,,5,0.553,0.0,0.0,2025搜索,0.001,0.7226
REACH_NAMED_PAGE_OR_PROFILE,直达指定页面或账号主页,1170,512,0.7868,1.56,9.96,628,0.7674,1.27,9.55,12,0.7147,0.0,8.33,18,0.4991,5.56,33.33,2026搜索,0.0194,0.7712
DEFINE_TERM_OR_COMPARE,解释术语或比较概念,399,176,0.8018,0.0,21.02,188,0.779,0.53,17.02,21,0.5895,4.76,4.76,14,0.6047,7.14,14.29,助手头部1k,0.2123,0.7729
EDIT_IMAGE_COMMAND,直接编辑或生成图像,783,60,0.6232,3.33,6.67,54,0.6004,1.85,5.56,434,0.8323,0.92,5.07,235,0.7594,0.0,6.81,2026搜索,0.2319,0.7784
GET_WIFI_CREDENTIAL_INTRUSION_TOOL,获取蹭网或WiFi破解工具,79,39,0.7815,0.0,2.56,35,0.817,0.0,2.86,4,0.7954,0.0,0.0,1,0.2453,0.0,0.0,2025搜索,0.0355,0.7912
REACH_OFFICIAL_ENTRY,打开官方网页或网页版入口,797,321,0.7953,0.62,29.91,444,0.7903,0.68,32.88,30,0.8185,0.0,13.33,2,0.5047,0.0,50.0,2026搜索,0.0282,0.7926
NAME_ONLY_DISAMBIGUATION,仅产品名消歧,5859,2683,0.8157,0.89,25.42,2917,0.8164,0.75,27.12,199,0.7745,0.0,22.11,60,0.5729,5.0,36.67,助手随机1k,0.2435,0.8122
COMPLETE_TASK_HOWTO,完成设置或操作步骤,2489,1334,0.8376,1.2,13.42,876,0.8321,1.37,11.64,40,0.604,5.0,12.5,239,0.7085,0.84,27.62,助手头部1k,0.2336,0.8195
CIRCUMVENTION_ACCESS,获取翻墙工具或访问被限制的境外服务,1027,461,0.8374,1.74,17.57,556,0.8274,1.62,17.81,3,0.656,0.0,66.67,7,0.7651,0.0,28.57,2026搜索,0.01,0.8309
RECOVER_LOST_DATA,恢复误删或丢失的数据与关系,370,185,0.8581,0.54,4.86,156,0.8586,0.64,7.69,10,0.8639,0.0,0.0,19,0.7108,0.0,21.05,2025搜索,0.0005,0.8509
DOWNLOAD_INSTALL_NAMED_APP,下载并安装指定软件,3843,1800,0.8563,0.72,22.33,1995,0.8613,0.7,21.3,16,0.8344,0.0,12.5,32,0.7279,0.0,31.25,助手随机1k,0.1334,0.8577
GENERATE_SOCIAL_COPY,获取社交文案与发布素材,1169,603,0.9142,0.17,7.63,503,0.9074,0.0,8.15,36,0.7414,2.78,5.56,27,0.6546,0.0,14.81,助手随机1k,0.2596,0.8999
LOOKUP_INPUT_CODE,查询汉字输入编码,1239,558,0.988,0.0,0.0,679,0.9877,0.0,0.0,1,0.513,0.0,100.0,1,0.9896,0.0,0.0,2026搜索,0.0003,0.9875
