key,类目,全语料条数,2025搜索_n,2025搜索_置信度均值,2025搜索_意图歧义%,2025搜索_聚类歧义%,2026搜索_n,2026搜索_置信度均值,2026搜索_意图歧义%,2026搜索_聚类歧义%,助手头部1k_n,助手头部1k_置信度均值,助手头部1k_意图歧义%,助手头部1k_聚类歧义%,助手随机1k_n,助手随机1k_置信度均值,助手随机1k_意图歧义%,助手随机1k_聚类歧义%,置信度最低快照,置信度极差,全语料置信度均值
EXTRACT_FROM_IMAGE_DOCUMENT__1,EXTRACT_FROM_IMAGE_DOCUMENT__1,80,16,0.5225,0.0,37.5,15,0.4704,0.0,20.0,29,0.6223,3.45,37.93,20,0.4759,5.0,25.0,助手随机1k,0.1464,0.5373
REACH_NAMED_PAGE_OR_PROFILE__4,REACH_NAMED_PAGE_OR_PROFILE__4,191,67,0.5202,10.45,22.39,108,0.557,6.48,25.0,4,0.6826,0.0,0.0,12,0.4378,0.0,41.67,2025搜索,0.0368,0.5392
NON_CONSENSUAL_EXPLICIT_IMAGE_EDIT__1,NON_CONSENSUAL_EXPLICIT_IMAGE_EDIT__1,51,0,,,,0,,,,33,0.5695,3.03,0.0,18,0.5627,5.56,0.0,助手头部1k,,0.5671
RECOMMEND_SOFTWARE_BY_FUNCTION__2,RECOMMEND_SOFTWARE_BY_FUNCTION__2,195,94,0.5783,6.38,27.66,84,0.6022,4.76,27.38,8,0.3943,12.5,12.5,9,0.4446,11.11,44.44,2025搜索,0.0239,0.5748
GET_LOCATION_SPOOFING_TOOL__1,GET_LOCATION_SPOOFING_TOOL__1,16,9,0.5734,0.0,66.67,7,0.6197,0.0,71.43,0,,,,0,,,,,,0.5937
PLATFORM_RULES_VERDICT__2,PLATFORM_RULES_VERDICT__2,247,68,0.6259,2.94,30.88,51,0.5848,3.92,21.57,14,0.6439,0.0,21.43,114,0.6018,6.14,31.58,2026搜索,0.0411,0.6073
GET_ADULT_CONTENT_OR_APP__1,GET_ADULT_CONTENT_OR_APP__1,217,123,0.6399,4.07,30.89,89,0.5738,3.37,23.6,2,0.5404,0.0,100.0,3,0.363,0.0,0.0,2026搜索,0.0661,0.6081
GET_CRACKED_UNLOCKED_SOFTWARE__1,GET_CRACKED_UNLOCKED_SOFTWARE__1,61,38,0.636,0.0,36.84,18,0.5859,0.0,33.33,0,,,,5,0.5585,0.0,80.0,2025搜索,,0.6149
GET_GREY_UTILITY_TOOL__1,GET_GREY_UTILITY_TOOL__1,81,39,0.6256,2.56,28.21,41,0.6129,0.0,26.83,1,0.8648,0.0,0.0,0,,,,2026搜索,0.0127,0.6221
GET_UNAUTHORIZED_SOFTWARE_LIBRARY__1,GET_UNAUTHORIZED_SOFTWARE_LIBRARY__1,193,84,0.6166,8.33,15.48,101,0.6851,5.94,23.76,4,0.77,0.0,50.0,4,0.5034,0.0,0.0,2025搜索,0.0685,0.6533
RECOMMEND_SOFTWARE_BY_FUNCTION__1,RECOMMEND_SOFTWARE_BY_FUNCTION__1,353,163,0.6808,1.84,15.95,166,0.6744,3.61,17.47,4,0.6606,25.0,25.0,20,0.589,10.0,20.0,助手随机1k,0.0918,0.6723
FIX_MALFUNCTION_TROUBLESHOOT__1,FIX_MALFUNCTION_TROUBLESHOOT__1,238,133,0.7045,3.01,19.55,76,0.6865,3.95,21.05,0,,,,29,0.5781,6.9,37.93,助手随机1k,0.1264,0.6834
RECOMMEND_SOFTWARE_BY_FUNCTION__3,RECOMMEND_SOFTWARE_BY_FUNCTION__3,270,123,0.7191,3.25,17.07,96,0.7215,3.12,17.71,31,0.6274,3.23,19.35,20,0.5473,10.0,35.0,助手随机1k,0.1742,0.6967
CIRCUMVENTION_ACCESS__6,CIRCUMVENTION_ACCESS__6,251,116,0.7162,5.17,31.03,132,0.6993,6.06,37.12,0,,,,3,0.6293,0.0,33.33,2026搜索,0.0169,0.7063
SOCIAL_RELATIONSHIP_STATUS__1,SOCIAL_RELATIONSHIP_STATUS__1,127,58,0.7231,0.0,8.62,43,0.7399,0.0,9.3,6,0.8107,0.0,16.67,20,0.6528,5.0,20.0,助手随机1k,0.0871,0.7219
