外层,a,b,n_a,n_b,内层TVD,同源噪声上界,超出噪声,a主导内层,a主导占比%,b主导内层,b主导占比%,主导是否相同
仅产品名消歧,2025搜索,2026搜索,2683,2917,0.0509,0.0574,False,网络加速器查询下载,24.23,网络加速器查询下载,25.27,True
仅产品名消歧,2025搜索,助手头部1k,2683,199,0.4046,0.1595,True,网络加速器查询下载,24.23,查找AI软件与工具,16.08,False
仅产品名消歧,2025搜索,助手随机1k,2683,60,0.3319,0.2759,True,网络加速器查询下载,24.23,网络加速器查询下载,16.67,True
仅产品名消歧,2026搜索,助手头部1k,2917,199,0.4173,0.1594,True,网络加速器查询下载,25.27,查找AI软件与工具,16.08,False
仅产品名消歧,2026搜索,助手随机1k,2917,60,0.34,0.2675,True,网络加速器查询下载,25.27,网络加速器查询下载,16.67,True
仅产品名消歧,助手头部1k,助手随机1k,199,60,0.3162,0.3282,False,查找AI软件与工具,16.08,网络加速器查询下载,16.67,False
直达指定页面或账号主页,2025搜索,2026搜索,512,628,0.0324,0.0641,False,论坛社区入口查询,79.3,论坛社区入口查询,78.18,True
获取社交文案与发布素材,2025搜索,2026搜索,603,503,0.1629,0.1038,True,朋友圈文案句子查询,32.5,七月朋友圈文案查询,26.44,False
获取社交文案与发布素材,2025搜索,助手头部1k,603,36,0.8445,0.2823,True,朋友圈文案句子查询,32.5,朋友圈发布方法查询,69.44,False
获取社交文案与发布素材,2026搜索,助手头部1k,503,36,0.8827,0.3027,True,七月朋友圈文案查询,26.44,朋友圈发布方法查询,69.44,False
获取翻墙工具或访问被限制的境外服务,2025搜索,2026搜索,461,556,0.1073,0.1143,False,网络加速器查询下载,23.64,查找VPN软件与服务,26.26,False
打开官方网页或网页版入口,2025搜索,2026搜索,321,444,0.1298,0.1544,False,QQ官网查询,21.81,网络加速器查询下载,18.69,False
打开官方网页或网页版入口,2025搜索,助手头部1k,321,30,0.5174,0.3729,True,QQ官网查询,21.81,论坛社区入口查询,40.0,False
打开官方网页或网页版入口,2026搜索,助手头部1k,444,30,0.5459,0.3664,True,网络加速器查询下载,18.69,论坛社区入口查询,40.0,False
完成设置或操作步骤,2025搜索,2026搜索,1334,876,0.094,0.0912,True,微信功能设置与操作查询,18.14,微信功能设置与操作查询,17.81,True
完成设置或操作步骤,2025搜索,助手头部1k,1334,40,0.5024,0.3275,True,微信功能设置与操作查询,18.14,Excel表格操作与制作查询,25.0,False
完成设置或操作步骤,2025搜索,助手随机1k,1334,239,0.3043,0.1541,True,微信功能设置与操作查询,18.14,复制网址并用浏览器打开,17.57,False
完成设置或操作步骤,2026搜索,助手头部1k,876,40,0.5576,0.3343,True,微信功能设置与操作查询,17.81,Excel表格操作与制作查询,25.0,False
完成设置或操作步骤,2026搜索,助手随机1k,876,239,0.3312,0.1638,True,微信功能设置与操作查询,17.81,复制网址并用浏览器打开,17.57,False
完成设置或操作步骤,助手头部1k,助手随机1k,40,239,0.4733,0.3648,True,Excel表格操作与制作查询,25.0,复制网址并用浏览器打开,17.57,False
下载并安装指定软件,2025搜索,2026搜索,1800,1995,0.0442,0.0604,False,APP下载获取,24.5,APP下载获取,23.86,True
下载并安装指定软件,2025搜索,助手随机1k,1800,32,0.4236,0.3187,True,APP下载获取,24.5,下载安装应用软件,25.0,False
下载并安装指定软件,2026搜索,助手随机1k,1995,32,0.4143,0.3251,True,APP下载获取,23.86,下载安装应用软件,25.0,False
获取蹭网或WiFi破解工具,2025搜索,2026搜索,39,35,0.0513,0.0857,False,万能遥控器与WiFi万能钥匙下载,94.87,万能遥控器与WiFi万能钥匙下载,97.14,True
平台规则与能力裁决,2025搜索,2026搜索,308,177,0.1025,0.1818,False,微信账号与支付功能关闭及解限方法查询,23.05,微信账号与支付功能关闭及解限方法查询,23.16,True
平台规则与能力裁决,2025搜索,助手随机1k,308,176,0.3856,0.1981,True,微信账号与支付功能关闭及解限方法查询,23.05,微信账号与支付功能关闭及解限方法查询,13.64,True
平台规则与能力裁决,2026搜索,助手随机1k,177,176,0.3871,0.2299,True,微信账号与支付功能关闭及解限方法查询,23.16,微信账号与支付功能关闭及解限方法查询,13.64,True
获取非官方软件库或第三方分发渠道,2025搜索,2026搜索,84,101,0.1259,0.2547,False,查询软件及工具信息,33.33,查询软件及工具信息,33.66,True
恢复误删或丢失的数据与关系,2025搜索,2026搜索,185,156,0.0352,0.085,False,微信聊天记录恢复查询,88.11,微信聊天记录恢复查询,89.74,True
获取成人内容或成人应用,2025搜索,2026搜索,123,89,0.2634,0.2461,True,下载安装应用软件,34.96,论坛社区入口查询,22.47,False
获取灰色辅助或作弊工具,2025搜索,2026搜索,39,41,0.2214,0.3715,False,网络加速器查询下载,33.33,网络加速器查询下载,43.9,True
直接编辑或生成图像,2025搜索,2026搜索,60,54,0.0778,0.2594,False,去除图片视频水印,40.0,图片编辑与绘图软件查询,40.74,False
直接编辑或生成图像,2025搜索,助手头部1k,60,434,0.5758,0.1944,True,去除图片视频水印,40.0,按要求编辑处理图片,37.56,False
直接编辑或生成图像,2025搜索,助手随机1k,60,235,0.7436,0.1911,True,去除图片视频水印,40.0,按要求编辑处理图片,72.77,False
直接编辑或生成图像,2026搜索,助手头部1k,54,434,0.5269,0.1996,True,图片编辑与绘图软件查询,40.74,按要求编辑处理图片,37.56,False
直接编辑或生成图像,2026搜索,助手随机1k,54,235,0.7099,0.1834,True,图片编辑与绘图软件查询,40.74,按要求编辑处理图片,72.77,False
直接编辑或生成图像,助手头部1k,助手随机1k,434,235,0.354,0.1073,True,按要求编辑处理图片,37.56,按要求编辑处理图片,72.77,True
解释术语或比较概念,2025搜索,2026搜索,176,188,0.1285,0.1831,False,查询软件定义与用途,45.45,查询软件定义与用途,47.34,True
取消持续扣费或授权,2025搜索,2026搜索,77,55,0.0597,0.1273,False,微信账号与支付功能关闭及解限方法查询,83.12,微信账号与支付功能关闭及解限方法查询,89.09,True
排查并修复故障,2025搜索,2026搜索,133,76,0.1823,0.2501,False,微信语音与声音设置查询,30.08,查询微信好友删除拉黑状态及恢复联系方法,28.95,False
判断社交关系状态与可见性,2025搜索,2026搜索,58,43,0.0225,0.1403,False,查询微信好友删除拉黑状态及恢复联系方法,86.21,查询微信好友删除拉黑状态及恢复联系方法,88.37,True
按功能求推荐软件,2025搜索,2026搜索,380,346,0.0889,0.1339,False,查询软件及工具信息,39.74,查询软件及工具信息,42.77,True
按功能求推荐软件,2025搜索,助手头部1k,380,43,0.5271,0.2892,True,查询软件及工具信息,39.74,查找AI软件与工具,44.19,False
按功能求推荐软件,2025搜索,助手随机1k,380,49,0.2649,0.2683,False,查询软件及工具信息,39.74,查询软件及工具信息,36.73,True
按功能求推荐软件,2026搜索,助手头部1k,346,43,0.5135,0.3001,True,查询软件及工具信息,42.77,查找AI软件与工具,44.19,False
按功能求推荐软件,2026搜索,助手随机1k,346,49,0.2857,0.2789,True,查询软件及工具信息,42.77,查询软件及工具信息,36.73,True
按功能求推荐软件,助手头部1k,助手随机1k,43,49,0.5316,0.3802,True,查找AI软件与工具,44.19,查询软件及工具信息,36.73,False
查询汉字输入编码,2025搜索,2026搜索,558,679,0.0,0.0,False,汉字五笔打法查询,100.0,汉字五笔打法查询,100.0,True
