key,类目,缺席快照,该快照n,其余快照条数,其余快照n,参照占比%,期望条数,P(0),该快照上界%,最高占比快照,最高占比%,判定
16,七月朋友圈文案查询,助手头部1k,940,258,20980,1.23,11.56,0.0,0.392,2026搜索,1.36,真缺席
16,七月朋友圈文案查询,助手随机1k,984,258,20936,1.232,12.13,0.0,0.374,2026搜索,1.36,真缺席
4,查找VPN软件与服务,助手头部1k,940,261,20980,1.244,11.69,0.0,0.392,2026搜索,1.5,真缺席
21,毕业发朋友圈文案查询,助手头部1k,940,79,20980,0.377,3.54,0.0288,0.392,2025搜索,0.42,偏少但证据弱
21,毕业发朋友圈文案查询,助手随机1k,984,79,20936,0.377,3.71,0.0242,0.374,2025搜索,0.42,偏少但证据弱
27,软件下载查询,助手头部1k,940,747,20980,3.561,33.47,0.0,0.392,2026搜索,3.92,真缺席
39,安卓应用及商店下载查询,助手头部1k,940,397,20980,1.892,17.79,0.0,0.392,2026搜索,2.08,真缺席
18,朋友圈文案句子查询,助手头部1k,940,312,20980,1.487,13.98,0.0,0.392,2025搜索,1.971,真缺席
18,朋友圈文案句子查询,助手随机1k,984,312,20936,1.49,14.66,0.0,0.374,2025搜索,1.971,真缺席
20,建党节朋友圈文案查询,助手头部1k,940,66,20980,0.315,2.96,0.0517,0.392,2026搜索,0.36,不可判定（样本量不足）
0,汉字五笔打法查询,助手头部1k,940,1245,20980,5.934,55.78,0.0,0.392,2026搜索,6.811,真缺席
