key,类目,全语料条数,2025搜索_n,2025搜索_置信度均值,2025搜索_意图歧义%,2025搜索_聚类歧义%,2026搜索_n,2026搜索_置信度均值,2026搜索_意图歧义%,2026搜索_聚类歧义%,助手头部1k_n,助手头部1k_置信度均值,助手头部1k_意图歧义%,助手头部1k_聚类歧义%,助手随机1k_n,助手随机1k_置信度均值,助手随机1k_意图歧义%,助手随机1k_聚类歧义%,置信度最低快照,置信度极差,全语料置信度均值
12,查询微信好友删除拉黑状态及恢复联系方法,444,227,0.7289,0.88,22.03,151,0.7357,1.32,19.87,6,0.8107,0.0,16.67,60,0.6192,1.67,33.33,助手随机1k,0.1165,0.7175
33,复制网址并用浏览器打开,694,301,0.743,1.0,20.93,294,0.7159,2.38,20.07,20,0.5335,5.0,40.0,79,0.6751,5.06,36.71,助手头部1k,0.2095,0.7178
31,按要求编辑处理图片,513,28,0.7535,0.0,53.57,21,0.6785,0.0,57.14,219,0.761,0.91,7.76,245,0.6798,1.63,9.39,2026搜索,0.0825,0.7185
25,查询软件及工具信息,812,375,0.722,2.4,17.6,382,0.7325,2.62,17.54,18,0.7626,5.56,11.11,37,0.5789,2.7,27.03,助手随机1k,0.1536,0.7213
34,图片编辑与绘图软件查询,609,271,0.7383,1.85,23.62,249,0.7348,2.01,26.51,55,0.6659,0.0,29.09,34,0.584,0.0,58.82,助手随机1k,0.1543,0.7217
39,安卓应用及商店下载查询,397,187,0.7205,3.21,26.74,208,0.7347,1.44,29.81,0,,,,2,0.7829,0.0,50.0,2025搜索,0.0142,0.7283
30,删除或清理不需要的内容,301,57,0.7332,7.02,7.02,43,0.6319,6.98,4.65,153,0.7845,1.96,2.61,48,0.7364,4.17,14.58,2026搜索,0.1526,0.7453
2,QQ官网查询,649,314,0.738,1.59,30.89,307,0.7613,1.63,30.62,16,0.7988,0.0,18.75,12,0.5657,0.0,50.0,2025搜索,0.0233,0.7473
13,微信账号注册与手机号绑定查询,371,197,0.757,2.03,16.75,128,0.7719,0.0,21.88,3,0.6168,0.0,0.0,43,0.6656,0.0,25.58,助手随机1k,0.1063,0.7504
8,微信账号与支付功能关闭及解限方法查询,540,284,0.7525,2.11,16.55,195,0.7382,2.05,16.41,12,0.763,0.0,50.0,49,0.7862,2.04,24.49,2026搜索,0.048,0.7506
15,查询微信朋友圈与聊天背景图,217,98,0.7538,1.02,21.43,116,0.7536,0.86,17.24,1,0.8206,0.0,0.0,2,0.6414,0.0,100.0,2026搜索,0.0002,0.753
1,查找AI软件与工具,483,162,0.7693,1.85,8.64,207,0.7971,0.97,7.25,76,0.7119,3.95,2.63,38,0.6274,5.26,13.16,助手随机1k,0.1697,0.761
7,微信下载与使用支持查询,537,255,0.7517,1.57,20.0,254,0.7783,0.79,17.72,13,0.825,0.0,30.77,15,0.6989,0.0,60.0,2025搜索,0.0266,0.7646
29,Excel表格操作与制作查询,423,231,0.8307,0.87,5.19,111,0.8035,1.8,8.11,19,0.4708,5.26,10.53,62,0.6745,3.23,19.35,助手随机1k,0.1562,0.7845
35,论坛社区入口查询,1866,835,0.7942,1.2,18.2,954,0.7841,1.15,17.4,49,0.7758,2.04,26.53,28,0.5455,3.57,28.57,助手随机1k,0.2487,0.7848
27,软件下载查询,747,349,0.7913,0.86,20.06,392,0.7857,1.79,20.15,0,,,,6,0.7367,0.0,33.33,2026搜索,0.0056,0.788
28,豆包App下载及功能查询,269,61,0.8163,0.0,6.56,154,0.8143,2.6,2.6,38,0.697,0.0,7.89,16,0.6794,6.25,12.5,助手头部1k,0.1193,0.7902
24,万能遥控器与WiFi万能钥匙下载,204,105,0.7855,0.95,7.62,91,0.8103,1.1,5.49,5,0.7933,0.0,0.0,3,0.349,0.0,0.0,2025搜索,0.0248,0.7903
6,查询软件应用版本与下载渠道,710,306,0.7978,1.96,39.87,393,0.7906,0.51,43.51,1,0.9823,0.0,100.0,10,0.6224,0.0,30.0,2026搜索,0.0072,0.7916
38,软件与应用下载查询,748,352,0.798,0.57,21.59,386,0.8017,0.52,21.24,4,0.636,0.0,0.0,6,0.5266,16.67,16.67,2025搜索,0.0037,0.7969
5,查询软件定义与用途,609,307,0.8103,1.63,23.45,272,0.8128,0.74,26.47,11,0.8071,0.0,18.18,19,0.5705,5.26,26.32,2025搜索,0.0025,0.8039
19,朋友圈发布方法查询,293,149,0.8289,1.34,8.05,77,0.847,1.3,3.9,33,0.7727,0.0,6.06,34,0.7355,2.94,11.76,助手随机1k,0.1115,0.8165
36,网络加速器查询下载,1953,900,0.8268,0.67,29.33,1005,0.8228,0.8,32.84,35,0.8025,0.0,54.29,13,0.6388,0.0,61.54,助手头部1k,0.0243,0.823
23,应用商店下载,430,204,0.8231,0.49,22.06,220,0.8264,0.91,22.27,5,0.9022,0.0,20.0,1,0.7633,0.0,0.0,2025搜索,0.0033,0.8256
32,去除图片视频水印,280,77,0.7917,1.3,2.6,73,0.7532,1.37,4.11,104,0.9315,0.0,1.92,26,0.8474,0.0,11.54,2026搜索,0.1783,0.8387
11,微信语音与声音设置查询,195,110,0.8443,0.0,5.45,76,0.8596,0.0,1.32,1,0.5247,0.0,0.0,8,0.646,0.0,12.5,2025搜索,0.0153,0.8405
9,微信聊天记录恢复查询,447,223,0.8549,1.35,3.14,188,0.8473,0.53,5.32,15,0.7585,0.0,0.0,21,0.7512,0.0,14.29,助手随机1k,0.1037,0.8436
26,下载安装应用软件,995,484,0.8449,1.24,21.07,497,0.8592,1.01,22.13,2,0.8711,0.0,50.0,12,0.6987,8.33,33.33,2025搜索,0.0143,0.8503
