层级,a,b,n_a,n_b,秩相关rho,前5重合个数,首位是否相同,TVD,TVD低,TVD高,同源噪声上界,超出噪声,CramersV
自上而下 L1 意图,2025搜索,2026搜索,9983,9982,0.6319,4,True,0.2561,0.244,0.2664,0.0303,True,0.3041
自上而下 L1 意图,2025搜索,助手头部1k,9983,889,0.8125,3,True,0.2247,0.1947,0.2612,0.1014,True,0.2253
自上而下 L1 意图,2025搜索,助手随机1k,9983,950,0.7453,3,False,0.6428,0.623,0.6701,0.1116,True,0.4925
自上而下 L1 意图,2026搜索,助手头部1k,9982,889,0.4427,3,True,0.3086,0.2905,0.3311,0.1036,True,0.3161
自上而下 L1 意图,2026搜索,助手随机1k,9982,950,0.2985,3,False,0.6823,0.6581,0.707,0.1137,True,0.5668
自上而下 L1 意图,助手头部1k,助手随机1k,889,950,0.7591,3,False,0.4638,0.4377,0.5118,0.1172,True,0.5312
自上而下 L2 子意图,2025搜索,2026搜索,9983,9982,0.5197,5,True,0.2614,0.2524,0.2762,0.0431,True,0.3196
自上而下 L2 子意图,2025搜索,助手头部1k,9983,889,0.6541,3,True,0.261,0.2344,0.2969,0.1464,True,0.2779
自上而下 L2 子意图,2025搜索,助手随机1k,9983,950,0.5753,0,False,0.6722,0.6476,0.6997,0.1453,True,0.5742
自上而下 L2 子意图,2026搜索,助手头部1k,9982,889,0.1923,3,True,0.3536,0.3297,0.3814,0.1396,True,0.3558
自上而下 L2 子意图,2026搜索,助手随机1k,9982,950,0.0121,0,False,0.7153,0.6915,0.7422,0.1474,True,0.6466
自上而下 L2 子意图,助手头部1k,助手随机1k,889,950,0.7633,1,False,0.493,0.4688,0.5392,0.1509,True,0.555
自下而上 家族,2025搜索,2026搜索,9983,9982,0.4475,4,True,0.1397,0.1303,0.1524,0.0369,True,0.2361
自下而上 家族,2025搜索,助手头部1k,9983,889,0.6938,2,True,0.2918,0.2604,0.3283,0.1261,True,0.286
自下而上 家族,2025搜索,助手随机1k,9983,950,0.3727,1,False,0.7233,0.7037,0.7529,0.1305,True,0.6633
自下而上 家族,2026搜索,助手头部1k,9982,889,0.3906,1,True,0.3269,0.2984,0.3656,0.1284,True,0.3455
自下而上 家族,2026搜索,助手随机1k,9982,950,0.048,1,False,0.7461,0.7289,0.7723,0.1326,True,0.724
自下而上 家族,助手头部1k,助手随机1k,889,950,0.7355,2,False,0.5519,0.5253,0.5977,0.1348,True,0.601
自下而上 叶,2025搜索,2026搜索,9983,9982,0.3961,4,True,0.1397,0.13,0.1528,0.0381,True,0.2363
自下而上 叶,2025搜索,助手头部1k,9983,889,0.7154,2,True,0.2918,0.2653,0.3312,0.1285,True,0.286
自下而上 叶,2025搜索,助手随机1k,9983,950,0.4045,1,False,0.7245,0.7044,0.7523,0.1263,True,0.6663
自下而上 叶,2026搜索,助手头部1k,9982,889,0.3397,1,True,0.3269,0.2981,0.3602,0.1284,True,0.3455
自下而上 叶,2026搜索,助手随机1k,9982,950,0.0026,1,False,0.7461,0.7262,0.7727,0.1305,True,0.724
自下而上 叶,助手头部1k,助手随机1k,889,950,0.7162,2,False,0.5542,0.5308,0.6006,0.1347,True,0.6036
