key,类目,全语料条数,2025搜索_n,2025搜索_置信度均值,2025搜索_意图歧义%,2025搜索_聚类歧义%,2026搜索_n,2026搜索_置信度均值,2026搜索_意图歧义%,2026搜索_聚类歧义%,助手头部1k_n,助手头部1k_置信度均值,助手头部1k_意图歧义%,助手头部1k_聚类歧义%,助手随机1k_n,助手随机1k_置信度均值,助手随机1k_意图歧义%,助手随机1k_聚类歧义%,置信度最低快照,置信度极差,全语料置信度均值
MEME_OR_PHRASE_EXPLAINER,人物相关梗与说法解释,48,16,0.3417,6.25,37.5,13,0.3583,23.08,38.46,12,0.3213,0.0,33.33,7,0.3466,0.0,42.86,,,0.3418
DEFAMATION_AND_SCANDAL,黑料绯闻炒作查询,28,11,0.44,0.0,27.27,2,0.2111,0.0,0.0,11,0.3741,0.0,18.18,4,0.3219,0.0,0.0,,,0.3809
CLAIM_VERIFICATION,人物相关说法核实,165,35,0.4936,2.86,11.43,8,0.4284,12.5,0.0,11,0.4445,0.0,18.18,111,0.4266,4.5,5.41,助手随机1k,0.067,0.4421
WORK_CONTENT_RETRIEVAL,作品本体获取,42,25,0.5576,8.0,20.0,14,0.4048,14.29,0.0,1,0.2444,0.0,0.0,2,0.4383,0.0,0.0,2025搜索,,0.4935
PERSON_RECENT_EVENT_LOOKUP,人物近期事件状态查询,351,121,0.5336,6.61,23.14,66,0.5154,10.61,42.42,79,0.5276,1.27,18.99,85,0.3929,9.41,18.82,助手随机1k,0.1407,0.4947
PERSONNEL_EVENT_LOOKUP,人事任免事件查询,220,114,0.6061,1.75,14.04,39,0.4949,0.0,46.15,6,0.4482,33.33,16.67,61,0.4246,4.92,22.95,助手随机1k,0.1815,0.5317
REVERSE_PERSON_RESOLUTION,作品角色反查人物,137,58,0.6408,5.17,22.41,34,0.6708,2.94,17.65,15,0.4825,0.0,0.0,30,0.3511,13.33,23.33,助手随机1k,0.3197,0.5675
OUT_OF_DOMAIN_NON_PERSON,垂类外非人物查询,1175,553,0.6453,2.53,30.38,358,0.6133,3.07,31.84,84,0.6218,2.38,15.48,180,0.5263,5.0,21.11,助手随机1k,0.119,0.6156
NAVIGATE_TO_PERSON_PAGE,跳转人物站外主页,121,31,0.547,0.0,41.94,89,0.6745,2.25,50.56,1,0.1438,100.0,0.0,0,,,,2025搜索,0.1275,0.6375
RELATIONSHIP_AND_FAMILY_STATUS,私人家世与感情关系查询,381,168,0.7027,4.76,15.48,97,0.7022,2.06,7.22,47,0.687,0.0,10.64,69,0.5513,4.35,11.59,助手随机1k,0.1514,0.6732
GROUP_ROSTER_ENUMERATION,群体名单枚举,592,209,0.7196,2.39,18.18,254,0.7742,0.79,11.81,22,0.4834,4.55,9.09,107,0.5333,9.35,10.28,助手头部1k,0.2908,0.7006
PERSON_ATTRIBUTE_LOOKUP,人物单项属性查询,456,155,0.7106,2.58,10.32,194,0.8449,0.0,8.25,28,0.5467,3.57,7.14,79,0.5477,3.8,6.33,助手头部1k,0.2982,0.7295
SEXUALIZED_BROWSE_NON_PERSON,性化类目浏览或非具体人物浏览,222,105,0.7497,2.86,9.52,94,0.7727,1.06,6.38,17,0.6967,0.0,5.88,6,0.7671,0.0,33.33,2025搜索,0.023,0.7558
OFFICE_HOLDER_LOOKUP,公共职务现任者查询,541,305,0.8277,0.66,3.61,190,0.8114,0.53,5.26,12,0.7638,8.33,0.0,34,0.5517,5.88,14.71,助手随机1k,0.276,0.8032
PERSON_IMAGE_REQUEST,人物肖像图片获取,315,77,0.7802,0.0,15.58,215,0.9051,0.0,24.65,7,0.547,14.29,14.29,16,0.7374,0.0,6.25,2025搜索,0.1249,0.8581
FAN_ENGAGEMENT_ACTION,粉丝打榜投票入口,147,11,0.7593,0.0,0.0,135,0.8787,0.0,2.22,1,0.6649,0.0,0.0,0,,,,2026搜索,,0.8683
ENTERTAINER_POPULARITY_METRIC_LOOKUP,艺人平台热度数值查询,249,0,,,,247,0.9077,0.0,0.4,1,0.9554,0.0,0.0,1,0.6305,0.0,0.0,2026搜索,,0.9068
BARE_NAME_IDENTITY_LOOKUP,裸名人物身份识别,12458,6913,0.9258,0.27,22.64,4952,0.928,0.26,22.01,486,0.9396,0.21,16.46,107,0.6747,4.67,28.04,助手随机1k,0.2649,0.9251
BIO_PROFILE_LOOKUP,人物档案调阅,4156,1076,0.96,0.28,17.57,2981,0.954,0.3,24.66,48,0.7698,6.25,16.67,51,0.6043,5.88,19.61,助手随机1k,0.3557,0.9491
