key,类目,缺席快照,该快照n,其余快照条数,其余快照n,参照占比%,期望条数,P(0),该快照上界%,最高占比快照,最高占比%,判定
16,查询鹿晗关晓彤近况与感情动态,助手随机1k,950,63,20854,0.302,2.87,0.0565,0.388,2025搜索,0.561,不可判定（样本量不足）
35,肖战个人资料简介查询,助手随机1k,950,146,20854,0.7,6.65,0.0013,0.388,2026搜索,1.312,真缺席
21,省级党委书记任免查询,助手头部1k,889,96,20915,0.459,4.08,0.0167,0.414,2025搜索,0.942,偏少但证据弱
49,鞠婧祎资料与送花影响力查询,助手随机1k,950,116,20854,0.556,5.28,0.005,0.388,2026搜索,1.082,真缺席
10,百度送花明星影响力查询,助手随机1k,950,220,20854,1.055,10.02,0.0,0.388,2026搜索,2.064,真缺席
24,查询人物个人资料简历,助手随机1k,950,207,20854,0.993,9.43,0.0001,0.388,2026搜索,1.342,真缺席
59,查询习近平总书记个人信息与讲话,助手头部1k,889,17,20915,0.081,0.72,0.4853,0.414,2026搜索,0.14,不可判定（样本量不足）
59,查询习近平总书记个人信息与讲话,助手随机1k,950,17,20854,0.082,0.77,0.4608,0.388,2026搜索,0.14,不可判定（样本量不足）
14,七一勋章获得者信息查询,助手头部1k,889,90,20915,0.43,3.83,0.0216,0.414,2026搜索,0.872,偏少但证据弱
9,明星百度影响力查询,2025搜索,9983,149,11821,1.26,125.83,0.0,0.037,2026搜索,1.443,真缺席
9,明星百度影响力查询,助手头部1k,889,149,20915,0.712,6.33,0.0017,0.414,2026搜索,1.443,真缺席
