key,类目,定义,全语料条数,全语料占比%,2025搜索_条数,2025搜索_占比%,2025搜索_95CI低%,2025搜索_95CI高%,2025搜索_流量占比%,2026搜索_条数,2026搜索_占比%,2026搜索_95CI低%,2026搜索_95CI高%,2026搜索_流量占比%,助手头部1k_条数,助手头部1k_占比%,助手头部1k_95CI低%,助手头部1k_95CI高%,助手头部1k_流量占比%,助手随机1k_条数,助手随机1k_占比%,助手随机1k_95CI低%,助手随机1k_95CI高%,助手随机1k_流量占比%,2025搜索_均衡归属%,2025搜索_指数,2025搜索_均衡指数,2026搜索_均衡归属%,2026搜索_指数,2026搜索_均衡指数,助手头部1k_均衡归属%,助手头部1k_指数,助手头部1k_均衡指数,助手随机1k_均衡归属%,助手随机1k_指数,助手随机1k_均衡指数,出现快照数,缺席快照,独占快照,最高快照,最低快照,极差pp,最高比最低倍数,2025搜索_排名,2026搜索_排名,助手头部1k_排名,助手随机1k_排名,主导叶,主导叶占比%,代表串(流量最高，仅供辨识)
BARE_NAME_IDENTITY_LOOKUP__2,BARE_NAME_IDENTITY_LOOKUP__2,,6421,29.449,3549,35.55,34.617,36.495,50.045,2587,25.917,25.066,26.785,33.571,259,29.134,26.242,32.205,30.431,26,2.737,1.874,3.98,13.145,38.09,1.2072,1.5235,27.77,0.8801,1.1107,31.21,0.9893,1.2485,2.93,0.0929,0.1173,4,,,2025搜索,助手随机1k,32.814,12.99,1,1,1,16,人物资料查询,98.6,陈小江 / 谭凯 / 马兴瑞
BARE_NAME_IDENTITY_LOOKUP__3,BARE_NAME_IDENTITY_LOOKUP__3,,4121,18.9,2337,23.41,22.59,24.251,20.977,1601,16.039,15.332,16.772,19.1,130,14.623,12.453,17.098,14.15,53,5.579,4.29,7.225,6.156,39.24,1.2386,1.5698,26.89,0.8486,1.0755,24.51,0.7737,0.9806,9.35,0.2952,0.3741,4,,,2025搜索,助手随机1k,17.831,4.2,2,3,2,6,人物资料查询,42.0,习近平 / 习近平 / 主持人名字
BIO_PROFILE_LOOKUP__1,BIO_PROFILE_LOOKUP__1,,2625,12.039,722,7.232,6.74,7.757,4.826,1825,18.283,17.537,19.053,11.433,36,4.049,2.939,5.555,3.846,42,4.421,3.287,5.922,3.993,21.28,0.6007,0.8512,53.8,1.5186,2.1518,11.92,0.3364,0.4766,13.01,0.3672,0.5203,4,,,2026搜索,助手头部1k,14.233,4.51,4,2,6,8,人物资料查询,76.8,习近平简历 / 叶建春的背景和经历 / 孙宇晨的简介
BARE_NAME_IDENTITY_LOOKUP__1,BARE_NAME_IDENTITY_LOOKUP__1,,1916,8.787,1027,10.287,9.707,10.899,8.308,764,7.654,7.148,8.192,7.263,97,10.911,9.027,13.131,12.685,28,2.947,2.047,4.227,3.494,32.35,1.1707,1.294,24.07,0.871,0.9627,34.31,1.2417,1.3725,9.27,0.3354,0.3707,4,,,助手头部1k,助手随机1k,7.964,3.7,3,5,3,14,人物资料查询,36.0,景甜 / 汪小菲 / 我的女友景甜
BIO_PROFILE_LOOKUP__2,BIO_PROFILE_LOOKUP__2,,1531,7.022,354,3.546,3.201,3.927,2.084,1156,11.581,10.968,12.223,11.675,12,1.35,0.774,2.344,1.913,9,0.947,0.499,1.791,1.248,20.35,0.505,0.8141,66.46,1.6493,2.6586,7.75,0.1922,0.3099,5.44,0.1349,0.2175,4,,,2026搜索,助手随机1k,10.633,12.22,5,4,15,21,人物资料查询,83.3,景甜个人简介 / 田栩宁的个人生活如何 / 自拟一位身为渡羽门的二师姐黄发少女详细介绍
OUT_OF_DOMAIN_NON_PERSON__1,OUT_OF_DOMAIN_NON_PERSON__1,,422,1.935,245,2.454,2.168,2.776,1.377,136,1.362,1.153,1.609,0.818,9,1.012,0.534,1.913,0.907,32,3.368,2.396,4.716,3.744,29.94,1.268,1.1975,16.62,0.704,0.6648,12.35,0.5231,0.494,41.09,1.7404,1.6436,4,,,助手随机1k,助手头部1k,2.356,3.33,6,8,19,11,专名信息查询,71.1,高岗与饶漱石 / 小兄弟 / 男生
OUT_OF_DOMAIN_NON_PERSON__2,OUT_OF_DOMAIN_NON_PERSON__2,,322,1.477,178,1.783,1.541,2.062,1.039,111,1.112,0.924,1.337,0.556,19,2.137,1.372,3.314,1.592,14,1.474,0.88,2.458,1.331,27.41,1.2074,1.0962,17.09,0.753,0.6837,32.85,1.4472,1.314,22.65,0.9979,0.9061,4,,,助手头部1k,2026搜索,1.025,1.92,7,11,11,20,名称含义查询,45.3,菩珠 蓬莱客 / 她叫什么名字 / 景甜一夜涨粉3.1万
OUT_OF_DOMAIN_NON_PERSON__4,OUT_OF_DOMAIN_NON_PERSON__4,,302,1.385,64,0.641,0.502,0.818,0.268,59,0.591,0.459,0.762,0.265,48,5.399,4.096,7.086,6.748,131,13.789,11.742,16.128,10.982,3.14,0.4629,0.1256,2.89,0.4267,0.1158,26.44,3.8982,1.0576,67.53,9.9558,2.701,4,,,助手随机1k,2026搜索,13.198,23.33,18,18,4,1,查询人物背景与个人生活,25.8,这是谁？ / 请问图中是哪位名人？ / 这个人是谁？
OFFICE_HOLDER_LOOKUP__1,OFFICE_HOLDER_LOOKUP__1,,293,1.344,129,1.292,1.089,1.533,0.804,125,1.252,1.052,1.49,1.12,8,0.9,0.457,1.766,0.666,31,3.263,2.308,4.595,2.745,19.26,0.9616,0.7706,18.67,0.9319,0.7468,13.42,0.6697,0.5366,48.65,2.4283,1.946,4,,,助手随机1k,助手头部1k,2.363,3.63,9,10,20,12,查询中国中央党政军领导成员名单与职务,26.6,叶群锋现在担任什么职务 / 毛东东现任什么职务 / 张评现在联席区生态环境局担任什么职务？
GROUP_ROSTER_ENUMERATION__2,GROUP_ROSTER_ENUMERATION__2,,286,1.312,98,0.982,0.806,1.195,0.635,82,0.821,0.662,1.018,0.488,18,2.025,1.285,3.178,1.972,88,9.263,7.58,11.274,7.82,7.5,0.7484,0.3,6.28,0.6263,0.251,15.47,1.5436,0.6187,70.76,7.062,2.8304,4,,,助手随机1k,2026搜索,8.442,11.28,13,15,12,3,查询人物背景与个人生活,22.7,杨幂孙俪获年度女演员 / 鲁迅长孙周令飞出席文学周 / 赵雅芝墨镜酷拽大片
ENTERTAINER_POPULARITY_METRIC_LOOKUP__1,ENTERTAINER_POPULARITY_METRIC_LOOKUP__1,,249,1.142,0,0.0,0.0,0.038,0.0,247,2.474,2.188,2.798,1.933,1,0.112,0.02,0.634,0.047,1,0.105,0.019,0.594,0.083,0.0,0.0,0.0,91.91,2.1668,3.6765,4.18,0.0985,0.1671,3.91,0.0922,0.1564,3,2025搜索,,2026搜索,2025搜索,2.474,inf,36,6,27,29,明星百度影响力查询,57.4,这些外籍明星里谁最有影响力 / 梓渝的百度送花影响力 / 田栩宁百度送花影响力
OFFICE_HOLDER_LOOKUP__2,OFFICE_HOLDER_LOOKUP__2,,248,1.137,176,1.763,1.523,2.04,1.416,65,0.651,0.511,0.829,0.356,4,0.45,0.175,1.151,0.21,3,0.316,0.107,0.924,0.25,55.44,1.55,2.2177,20.48,0.5725,0.8191,14.15,0.3956,0.566,9.93,0.2776,0.3972,4,,,2025搜索,助手随机1k,1.447,5.58,8,16,25,25,党委书记及常委任职查询,66.5,委内瑞拉总统 / 副省级城市 / 黔西南州州长
