key,类目,快照,方向,该快照条数,该快照n,该快照占比%,其余快照合并占比%,最弱一对的区间端点pp,对比了几个快照
BARE_NAME_IDENTITY_LOOKUP__2,BARE_NAME_IDENTITY_LOOKUP__2,2025搜索,显著高于其余全部,3549,9983,35.55,24.296,3.206,3
BARE_NAME_IDENTITY_LOOKUP__2,BARE_NAME_IDENTITY_LOOKUP__2,助手随机1k,显著低于其余全部,26,950,2.737,30.666,-21.674,3
BARE_NAME_IDENTITY_LOOKUP__3,BARE_NAME_IDENTITY_LOOKUP__3,2025搜索,显著高于其余全部,2337,9983,23.41,15.092,6.179,3
BARE_NAME_IDENTITY_LOOKUP__3,BARE_NAME_IDENTITY_LOOKUP__3,助手随机1k,显著低于其余全部,53,950,5.579,19.507,-6.32,3
SEXUALIZED_BROWSE_NON_PERSON__1,SEXUALIZED_BROWSE_NON_PERSON__1,助手头部1k,显著高于其余全部,17,889,1.912,0.98,0.112,3
PERSONNEL_EVENT_LOOKUP__1,PERSONNEL_EVENT_LOOKUP__1,助手随机1k,显著高于其余全部,61,950,6.421,0.762,3.871,3
BARE_NAME_IDENTITY_LOOKUP__1,BARE_NAME_IDENTITY_LOOKUP__1,助手随机1k,显著低于其余全部,28,950,2.947,9.053,-3.331,3
BIO_PROFILE_LOOKUP__1,BIO_PROFILE_LOOKUP__1,2026搜索,显著高于其余全部,1825,9982,18.283,6.767,10.139,3
CLAIM_VERIFICATION__1,CLAIM_VERIFICATION__1,2026搜索,显著低于其余全部,8,9982,0.08,1.328,-0.145,3
CLAIM_VERIFICATION__1,CLAIM_VERIFICATION__1,助手随机1k,显著高于其余全部,111,950,11.684,0.259,8.325,3
OFFICE_HOLDER_LOOKUP__2,OFFICE_HOLDER_LOOKUP__2,2025搜索,显著高于其余全部,176,9983,1.763,0.609,0.572,3
BIO_PROFILE_LOOKUP__2,BIO_PROFILE_LOOKUP__2,2026搜索,显著高于其余全部,1156,9982,11.581,3.172,7.313,3
RELATIONSHIP_AND_FAMILY_STATUS__3,RELATIONSHIP_AND_FAMILY_STATUS__3,2026搜索,显著低于其余全部,44,9982,0.441,1.184,-0.069,3
GROUP_ROSTER_ENUMERATION__1,GROUP_ROSTER_ENUMERATION__1,助手随机1k,显著高于其余全部,19,950,2.0,1.065,0.148,3
RELATIONSHIP_AND_FAMILY_STATUS__2,RELATIONSHIP_AND_FAMILY_STATUS__2,2026搜索,显著低于其余全部,35,9982,0.351,1.091,-0.252,3
GROUP_ROSTER_ENUMERATION__2,GROUP_ROSTER_ENUMERATION__2,助手随机1k,显著高于其余全部,88,950,9.263,0.949,5.198,3
FAN_ENGAGEMENT_ACTION__1,FAN_ENGAGEMENT_ACTION__1,2026搜索,显著高于其余全部,135,9982,1.352,0.102,0.678,3
NAVIGATE_TO_PERSON_PAGE__1,NAVIGATE_TO_PERSON_PAGE__1,2026搜索,显著高于其余全部,89,9982,0.892,0.271,0.231,3
OFFICE_HOLDER_LOOKUP__1,OFFICE_HOLDER_LOOKUP__1,助手随机1k,显著高于其余全部,31,950,3.263,1.256,0.986,3
PERSON_ATTRIBUTE_LOOKUP__4,PERSON_ATTRIBUTE_LOOKUP__4,2026搜索,显著低于其余全部,43,9982,0.431,1.243,-0.034,3
PERSON_ATTRIBUTE_LOOKUP__4,PERSON_ATTRIBUTE_LOOKUP__4,助手随机1k,显著高于其余全部,58,950,6.105,0.633,1.793,3
PERSON_IMAGE_REQUEST__1,PERSON_IMAGE_REQUEST__1,2026搜索,显著高于其余全部,170,9982,1.703,0.203,1.018,3
PERSON_RECENT_EVENT_LOOKUP__2,PERSON_RECENT_EVENT_LOOKUP__2,2026搜索,显著低于其余全部,15,9982,0.15,1.04,-0.097,3
DEFAMATION_AND_SCANDAL__1,DEFAMATION_AND_SCANDAL__1,2026搜索,显著低于其余全部,2,9982,0.02,0.22,-0.018,3
REVERSE_PERSON_RESOLUTION__1,REVERSE_PERSON_RESOLUTION__1,2026搜索,显著低于其余全部,34,9982,0.341,0.871,-0.052,3
REVERSE_PERSON_RESOLUTION__1,REVERSE_PERSON_RESOLUTION__1,助手随机1k,显著高于其余全部,30,950,3.158,0.513,0.042,3
OUT_OF_DOMAIN_NON_PERSON__4,OUT_OF_DOMAIN_NON_PERSON__4,助手随机1k,显著高于其余全部,131,950,13.789,0.82,5.738,3
PERSON_ATTRIBUTE_LOOKUP__2,PERSON_ATTRIBUTE_LOOKUP__2,2026搜索,显著高于其余全部,54,9982,0.541,0.237,0.083,3
PERSON_ATTRIBUTE_LOOKUP__3,PERSON_ATTRIBUTE_LOOKUP__3,助手随机1k,显著高于其余全部,18,950,1.895,0.403,0.169,3
GROUP_ROSTER_ENUMERATION__3,GROUP_ROSTER_ENUMERATION__3,2026搜索,显著高于其余全部,62,9982,0.621,0.025,0.17,3
ENTERTAINER_POPULARITY_METRIC_LOOKUP__1,ENTERTAINER_POPULARITY_METRIC_LOOKUP__1,2025搜索,显著低于其余全部,0,9983,0.0,2.106,-0.01,3
ENTERTAINER_POPULARITY_METRIC_LOOKUP__1,ENTERTAINER_POPULARITY_METRIC_LOOKUP__1,2026搜索,显著高于其余全部,247,9982,2.474,0.017,1.766,3
