key,类目,全语料条数,2025搜索_n,2025搜索_置信度均值,2025搜索_意图歧义%,2025搜索_聚类歧义%,2026搜索_n,2026搜索_置信度均值,2026搜索_意图歧义%,2026搜索_聚类歧义%,助手头部1k_n,助手头部1k_置信度均值,助手头部1k_意图歧义%,助手头部1k_聚类歧义%,助手随机1k_n,助手随机1k_置信度均值,助手随机1k_意图歧义%,助手随机1k_聚类歧义%,置信度最低快照,置信度极差,全语料置信度均值
12,列举特定对象的重要成果与相关条目,153,18,0.7227,0.0,5.56,8,0.6622,0.0,0.0,12,0.4033,0.0,0.0,115,0.416,10.43,1.74,助手随机1k,,0.4639
13,查询人物背景与个人生活,547,145,0.5242,4.14,34.48,69,0.5048,5.8,33.33,64,0.485,3.12,17.19,269,0.4687,5.2,22.68,助手随机1k,0.0555,0.4899
17,人物及机构基本信息查询,249,81,0.5476,6.17,2.47,43,0.5789,6.98,0.0,33,0.6303,6.06,6.06,92,0.4342,7.61,4.35,助手随机1k,0.1961,0.5221
45,查询明星娱乐八卦动态,351,116,0.5764,4.31,38.79,98,0.5597,3.06,46.94,94,0.4747,4.26,12.77,43,0.4711,11.63,37.21,助手随机1k,0.1053,0.5316
18,查询个人背景与任职信息,144,25,0.8678,0.0,0.0,21,0.8607,0.0,9.52,3,0.6306,0.0,0.0,95,0.4683,5.26,5.26,助手随机1k,0.3995,0.5982
59,查询习近平总书记个人信息与讲话,17,3,0.3403,33.33,0.0,14,0.6674,7.14,0.0,0,,,,0,,,,,,0.6097
51,查询女性人物及角色信息,142,63,0.6388,1.59,3.17,56,0.6649,0.0,1.79,15,0.4392,6.67,0.0,8,0.5611,0.0,25.0,2025搜索,0.0261,0.6236
16,查询鹿晗关晓彤近况与感情动态,63,56,0.6448,0.0,0.0,6,0.7651,0.0,0.0,1,0.959,0.0,0.0,0,,,,2025搜索,,0.6612
34,查询对象身份,235,92,0.6854,4.35,3.26,59,0.6958,1.69,1.69,42,0.6637,2.38,0.0,42,0.5795,4.76,0.0,助手随机1k,0.1163,0.6652
15,查询人物身份与归属信息,134,52,0.7051,0.0,7.69,31,0.7554,0.0,3.23,15,0.7231,0.0,0.0,36,0.5545,5.56,2.78,助手随机1k,0.2009,0.6783
21,省级党委书记任免查询,96,94,0.6945,0.0,2.13,1,0.4815,0.0,0.0,0,,,,1,0.2741,0.0,0.0,2025搜索,,0.6879
14,七一勋章获得者信息查询,90,2,0.4753,0.0,0.0,87,0.6992,4.6,0.0,0,,,,1,0.5234,0.0,0.0,2026搜索,,0.6923
43,查询人物图片,184,90,0.7234,2.22,3.33,64,0.6784,1.56,9.38,15,0.5519,0.0,6.67,15,0.7049,6.67,13.33,2026搜索,0.045,0.6923
19,人物年龄及属性查询,98,29,0.662,10.34,3.45,40,0.7832,2.5,0.0,2,0.4874,0.0,50.0,27,0.6394,0.0,3.7,助手随机1k,0.1438,0.7017
39,名称含义查询,821,491,0.7233,1.63,28.51,294,0.7462,1.36,30.61,28,0.7522,0.0,7.14,8,0.6557,0.0,50.0,2025搜索,0.0289,0.7318
