key,类目,定义,全语料条数,全语料占比%,2025搜索_条数,2025搜索_占比%,2025搜索_95CI低%,2025搜索_95CI高%,2025搜索_流量占比%,2026搜索_条数,2026搜索_占比%,2026搜索_95CI低%,2026搜索_95CI高%,2026搜索_流量占比%,助手头部1k_条数,助手头部1k_占比%,助手头部1k_95CI低%,助手头部1k_95CI高%,助手头部1k_流量占比%,助手随机1k_条数,助手随机1k_占比%,助手随机1k_95CI低%,助手随机1k_95CI高%,助手随机1k_流量占比%,2025搜索_均衡归属%,2025搜索_指数,2025搜索_均衡指数,2026搜索_均衡归属%,2026搜索_指数,2026搜索_均衡指数,助手头部1k_均衡归属%,助手头部1k_指数,助手头部1k_均衡指数,助手随机1k_均衡归属%,助手随机1k_指数,助手随机1k_均衡指数,出现快照数,缺席快照,独占快照,最高快照,最低快照,极差pp,最高比最低倍数,2025搜索_排名,2026搜索_排名,助手头部1k_排名,助手随机1k_排名,主导意图,主导意图占比%,盲评一致性,风险标注,user_need
1,人物资料查询,获得所查人物的个人简介、资料或百科介绍后，用户满意。,12670,58.109,5835,58.449,57.48,59.413,62.555,6339,63.504,62.555,64.443,64.162,414,46.569,43.312,49.856,45.526,82,8.632,7.008,10.588,19.052,32.99,1.0059,1.3197,35.85,1.0929,1.4339,26.29,0.8014,1.0515,4.87,0.1485,0.1949,4,,,2026搜索,助手随机1k,54.873,7.36,1,1,1,5,裸名人物身份识别,69.1,4.0,,获得所查人物的个人简介、资料或百科介绍后，用户满意。
0,专名信息查询,用户在输入一个简短名称（主要是人名、角色名或作品/概念专名）后，获得该名称所指对象的基本介绍，包括身份、来源或相关背景等足以判断“这是谁/这是什么”的信息。,2024,9.283,1210,12.121,11.495,12.775,7.273,744,7.453,6.954,7.985,5.216,36,4.049,2.939,5.555,3.255,34,3.579,2.572,4.96,3.993,44.56,1.3057,1.7823,27.4,0.8029,1.096,14.89,0.4362,0.5955,13.16,0.3856,0.5263,4,,,2025搜索,助手随机1k,8.542,3.39,2,2,6,9,裸名人物身份识别,78.6,4.0,True,用户在输入一个简短名称（主要是人名、角色名或作品/概念专名）后，获得该名称所指对象的基本介绍，包括身份、来源或相关背景等足以判断“这是谁/这是什么”的信息。
39,名称含义查询,用户输入一个名称或名词短语后，获得该名称所指的人物、角色、作品、地点、概念或事物的基本介绍和背景说明，即被满足。,821,3.765,491,4.918,4.511,5.36,3.37,294,2.945,2.631,3.296,1.871,28,3.15,2.188,4.514,2.529,8,0.842,0.427,1.653,0.832,41.49,1.3062,1.6595,24.84,0.7822,0.9937,26.57,0.8365,1.0627,7.1,0.2236,0.2841,4,,,2025搜索,助手随机1k,4.076,5.84,3,3,8,16,裸名人物身份识别,64.7,4.0,True,用户输入一个名称或名词短语后，获得该名称所指的人物、角色、作品、地点、概念或事物的基本介绍和背景说明，即被满足。
50,人物角色资料查询,用户输入人名或角色名后，希望获得该人物或角色的基本资料、图片、代表作品或相关新闻。,585,2.683,316,3.165,2.84,3.527,1.874,247,2.474,2.188,2.798,1.696,13,1.462,0.857,2.486,0.936,9,0.947,0.499,1.791,0.998,39.32,1.1798,1.573,30.74,0.9223,1.2296,18.17,0.545,0.7267,11.77,0.3531,0.4708,4,,,2025搜索,助手随机1k,2.218,3.34,4,4,12,14,裸名人物身份识别,90.4,4.0,True,用户输入人名或角色名后，希望获得该人物或角色的基本资料、图片、代表作品或相关新闻。
13,查询人物背景与个人生活,用户想了解某个具体人物（或人物群体）的个人生活、家庭关系、经历背景、现状或相关事实，获得关于该人物的准确、具体信息后即满足。,547,2.509,145,1.452,1.236,1.707,0.994,69,0.691,0.547,0.874,0.349,64,7.199,5.678,9.089,6.217,269,28.316,25.543,31.264,25.624,3.86,0.579,0.1543,1.84,0.2755,0.0734,19.12,2.8696,0.7647,75.19,11.287,3.0076,4,,,助手随机1k,2026搜索,27.625,40.96,8,17,3,1,人物近期事件状态查询,17.4,4.0,,用户想了解某个具体人物（或人物群体）的个人生活、家庭关系、经历背景、现状或相关事实，获得关于该人物的准确、具体信息后即满足。
52,人名信息查询,用户输入一个人名后，希望获得该人物的基本介绍或相关公开信息。,420,1.926,214,2.144,1.877,2.447,2.866,163,1.633,1.402,1.901,2.176,38,4.274,3.13,5.813,3.754,5,0.526,0.225,1.226,0.582,24.99,1.1129,0.9997,19.04,0.8477,0.7615,49.83,2.2191,1.9934,6.14,0.2732,0.2454,4,,,助手头部1k,助手随机1k,3.748,8.12,5,7,5,19,裸名人物身份识别,90.0,4.0,,用户输入一个人名后，希望获得该人物的基本介绍或相关公开信息。
26,查询中国中央党政军领导成员名单与职务,用户查询中国中央党政军领导机构（国家主席、副主席、中央政治局常委、中央军委委员、全国政协主席等）的现任或历届成员名单及职务信息，获得准确名单或任职信息后即满足。,372,1.706,156,1.563,1.337,1.825,1.964,190,1.903,1.653,2.191,3.61,13,1.462,0.857,2.486,1.7,13,1.368,0.801,2.327,1.331,24.82,0.9159,0.9927,30.23,1.1157,1.2091,23.22,0.8571,0.9289,21.73,0.8021,0.8693,4,,,2026搜索,助手随机1k,0.535,1.39,6,6,12,12,群体名单枚举,43.5,3.0,,用户查询中国中央党政军领导机构（国家主席、副主席、中央政治局常委、中央军委委员、全国政协主席等）的现任或历届成员名单及职务信息，获得准确名单或任职信息后即满足。
45,查询明星娱乐八卦动态,当用户获得所查询明星的八卦、关系动态、图片或相关娱乐资讯时，即得到满足。,351,1.61,116,1.162,0.97,1.392,0.667,98,0.982,0.806,1.195,0.635,94,10.574,8.719,12.767,12.96,43,4.526,3.378,6.041,3.744,6.74,0.7218,0.2695,5.69,0.6099,0.2277,61.32,6.5683,2.4528,26.25,2.8117,1.05,4,,,助手头部1k,2026搜索,9.592,10.77,9,14,2,6,人物近期事件状态查询,27.1,3.0,True,当用户获得所查询明星的八卦、关系动态、图片或相关娱乐资讯时，即得到满足。
17,人物及机构基本信息查询,当用户给出某个人物、机构或群体名称后，得到关于该对象的基本事实（身份、背景、职务、关系、生卒、原名、生肖、联系方式等）的直接回答即满足。,249,1.142,81,0.811,0.653,1.007,0.424,43,0.431,0.32,0.58,0.206,33,3.712,2.655,5.167,3.816,92,9.684,7.963,11.73,8.07,5.54,0.7105,0.2217,2.94,0.3772,0.1177,25.36,3.2505,1.0143,66.16,8.4801,2.6462,4,,,助手随机1k,2026搜索,9.253,22.48,14,25,7,4,人物单项属性查询,28.1,4.0,True,当用户给出某个人物、机构或群体名称后，得到关于该对象的基本事实（身份、背景、职务、关系、生卒、原名、生肖、联系方式等）的直接回答即满足。
34,查询对象身份,用户提供一个名称、形象、描述、角色或号码后，希望得到该对象所对应的具体人物或主体的身份答案；得到明确的“是谁”即满足。,235,1.078,92,0.922,0.752,1.129,0.628,59,0.591,0.459,0.762,0.348,42,4.724,3.514,6.324,5.616,42,4.421,3.287,5.922,3.744,8.65,0.8551,0.3459,5.55,0.5484,0.2218,44.33,4.3834,1.7731,41.48,4.102,1.6592,4,,,助手头部1k,2026搜索,4.133,7.99,12,20,4,7,作品角色反查人物,31.9,4.0,True,用户提供一个名称、形象、描述、角色或号码后，希望得到该对象所对应的具体人物或主体的身份答案；得到明确的“是谁”即满足。
