外层,a,b,n_a,n_b,内层TVD,同源噪声上界,超出噪声,a主导内层,a主导占比%,b主导内层,b主导占比%,主导是否相同
裸名人物身份识别,2025搜索,2026搜索,6913,4952,0.0294,0.0254,True,人物资料查询,69.65,人物资料查询,71.08,True
裸名人物身份识别,2025搜索,助手头部1k,6913,486,0.1518,0.0642,True,人物资料查询,69.65,人物资料查询,76.13,True
裸名人物身份识别,2025搜索,助手随机1k,6913,107,0.3481,0.1284,True,人物资料查询,69.65,人物资料查询,41.12,True
裸名人物身份识别,2026搜索,助手头部1k,4952,486,0.1319,0.0641,True,人物资料查询,71.08,人物资料查询,76.13,True
裸名人物身份识别,2026搜索,助手随机1k,4952,107,0.3571,0.135,True,人物资料查询,71.08,人物资料查询,41.12,True
裸名人物身份识别,助手头部1k,助手随机1k,486,107,0.4433,0.1696,True,人物资料查询,76.13,人物资料查询,41.12,True
性化类目浏览或非具体人物浏览,2025搜索,2026搜索,105,94,0.0701,0.1929,False,美女图片查询,45.71,美女图片查询,51.06,True
人事任免事件查询,2025搜索,2026搜索,114,39,0.6579,0.3523,True,省级党委书记任免查询,41.23,人物资料查询,56.41,False
人事任免事件查询,2025搜索,助手随机1k,114,61,0.7156,0.295,True,省级党委书记任免查询,41.23,查询人物背景与个人生活,27.87,False
人事任免事件查询,2026搜索,助手随机1k,39,61,0.7406,0.3801,True,人物资料查询,56.41,查询人物背景与个人生活,27.87,False
人物近期事件状态查询,2025搜索,2026搜索,121,66,0.4036,0.3059,True,查询人物背景与个人生活,26.45,人物资料查询,30.3,False
人物近期事件状态查询,2025搜索,助手头部1k,121,79,0.4405,0.2589,True,查询人物背景与个人生活,26.45,查询明星娱乐八卦动态,49.37,False
人物近期事件状态查询,2025搜索,助手随机1k,121,85,0.5543,0.2642,True,查询人物背景与个人生活,26.45,查询人物背景与个人生活,45.88,True
人物近期事件状态查询,2026搜索,助手头部1k,66,79,0.4189,0.2849,True,人物资料查询,30.3,查询明星娱乐八卦动态,49.37,False
人物近期事件状态查询,2026搜索,助手随机1k,66,85,0.6535,0.3086,True,人物资料查询,30.3,查询人物背景与个人生活,45.88,False
人物近期事件状态查询,助手头部1k,助手随机1k,79,85,0.5062,0.2401,True,查询明星娱乐八卦动态,49.37,查询人物背景与个人生活,45.88,False
人物档案调阅,2025搜索,2026搜索,1076,2981,0.1015,0.0405,True,人物资料查询,77.23,人物资料查询,81.28,True
人物档案调阅,2025搜索,助手头部1k,1076,48,0.3323,0.1629,True,人物资料查询,77.23,人物资料查询,52.08,True
人物档案调阅,2025搜索,助手随机1k,1076,51,0.6315,0.1829,True,人物资料查询,77.23,人物资料查询,25.49,True
人物档案调阅,2026搜索,助手头部1k,2981,48,0.3956,0.1501,True,人物资料查询,81.28,人物资料查询,52.08,True
人物档案调阅,2026搜索,助手随机1k,2981,51,0.6707,0.136,True,人物资料查询,81.28,人物资料查询,25.49,True
人物档案调阅,助手头部1k,助手随机1k,48,51,0.3725,0.3078,True,人物资料查询,52.08,人物资料查询,25.49,True
垂类外非人物查询,2025搜索,2026搜索,553,358,0.1279,0.1371,False,专名信息查询,40.14,专名信息查询,31.56,True
垂类外非人物查询,2025搜索,助手头部1k,553,84,0.5726,0.2433,True,专名信息查询,40.14,查询对象身份,20.24,False
垂类外非人物查询,2025搜索,助手随机1k,553,180,0.7169,0.1801,True,专名信息查询,40.14,查询人物背景与个人生活,38.89,False
垂类外非人物查询,2026搜索,助手头部1k,358,84,0.5339,0.2597,True,专名信息查询,31.56,查询对象身份,20.24,False
垂类外非人物查询,2026搜索,助手随机1k,358,180,0.669,0.2034,True,专名信息查询,31.56,查询人物背景与个人生活,38.89,False
垂类外非人物查询,助手头部1k,助手随机1k,84,180,0.4833,0.2763,True,查询对象身份,20.24,查询人物背景与个人生活,38.89,False
人物相关说法核实,2025搜索,助手随机1k,35,111,0.6185,0.3133,True,查询人物背景与个人生活,40.0,查询个人背景与任职信息,53.15,False
公共职务现任者查询,2025搜索,2026搜索,305,190,0.2304,0.1527,True,党委书记及常委任职查询,40.98,党委书记及常委任职查询,32.11,True
公共职务现任者查询,2025搜索,助手随机1k,305,34,0.7253,0.2939,True,党委书记及常委任职查询,40.98,查询对象身份,26.47,False
公共职务现任者查询,2026搜索,助手随机1k,190,34,0.6994,0.3212,True,党委书记及常委任职查询,32.11,查询对象身份,26.47,False
私人家世与感情关系查询,2025搜索,2026搜索,168,97,0.2909,0.2345,True,查询人物配偶及亲属关系,22.62,查询习近平个人资料与讲话,17.53,False
私人家世与感情关系查询,2025搜索,助手头部1k,168,47,0.5756,0.2973,True,查询人物配偶及亲属关系,22.62,查询明星娱乐八卦动态,42.55,False
私人家世与感情关系查询,2025搜索,助手随机1k,168,69,0.536,0.2669,True,查询人物配偶及亲属关系,22.62,查询人物背景与个人生活,52.17,False
私人家世与感情关系查询,2026搜索,助手头部1k,97,47,0.6984,0.3042,True,查询习近平个人资料与讲话,17.53,查询明星娱乐八卦动态,42.55,False
