key,类目,缺席快照,该快照n,其余快照条数,其余快照n,参照占比%,期望条数,P(0),该快照上界%,最高占比快照,最高占比%,判定
PERSON_RECENT_EVENT_LOOKUP__1,PERSON_RECENT_EVENT_LOOKUP__1,助手随机1k,950,30,20854,0.144,1.37,0.2547,0.388,2025搜索,0.27,不可判定（样本量不足）
FAN_ENGAGEMENT_ACTION__1,FAN_ENGAGEMENT_ACTION__1,助手随机1k,950,147,20854,0.705,6.7,0.0012,0.388,2026搜索,1.352,真缺席
NAVIGATE_TO_PERSON_PAGE__1,NAVIGATE_TO_PERSON_PAGE__1,助手随机1k,950,121,20854,0.58,5.51,0.004,0.388,2026搜索,0.892,真缺席
RELATIONSHIP_AND_FAMILY_STATUS__1,RELATIONSHIP_AND_FAMILY_STATUS__1,助手头部1k,889,33,20915,0.158,1.4,0.2457,0.414,2026搜索,0.18,不可判定（样本量不足）
RELATIONSHIP_AND_FAMILY_STATUS__1,RELATIONSHIP_AND_FAMILY_STATUS__1,助手随机1k,950,33,20854,0.158,1.5,0.2221,0.388,2026搜索,0.18,不可判定（样本量不足）
PERSON_ATTRIBUTE_LOOKUP__2,PERSON_ATTRIBUTE_LOOKUP__2,助手头部1k,889,82,20915,0.392,3.49,0.0304,0.414,2026搜索,0.541,偏少但证据弱
PERSON_ATTRIBUTE_LOOKUP__2,PERSON_ATTRIBUTE_LOOKUP__2,助手随机1k,950,82,20854,0.393,3.74,0.0237,0.388,2026搜索,0.541,偏少但证据弱
PERSON_ATTRIBUTE_LOOKUP__1,PERSON_ATTRIBUTE_LOOKUP__1,助手头部1k,889,82,20915,0.392,3.49,0.0304,0.414,2026搜索,0.581,偏少但证据弱
GROUP_ROSTER_ENUMERATION__3,GROUP_ROSTER_ENUMERATION__3,助手头部1k,889,65,20915,0.311,2.76,0.0628,0.414,2026搜索,0.621,不可判定（样本量不足）
GROUP_ROSTER_ENUMERATION__3,GROUP_ROSTER_ENUMERATION__3,助手随机1k,950,65,20854,0.312,2.96,0.0515,0.388,2026搜索,0.621,不可判定（样本量不足）
ENTERTAINER_POPULARITY_METRIC_LOOKUP__1,ENTERTAINER_POPULARITY_METRIC_LOOKUP__1,2025搜索,9983,249,11821,2.106,210.28,0.0,0.037,2026搜索,2.474,真缺席
